Name,Code,"Changes (-1 means terminus, NaN means 2+ changes)"
Abbey Wood,ABW,nan
Aber,ABE,nan
Abercynon,ACY,nan
Aberdare,ABA,nan
Aberdeen,ABD,0.0
Aberdour,AUR,1.0
Aberdovey,AVY,1.0
Abererch,ABH,1.0
Abergavenny,AGV,1.0
Abergele & Pensarn,AGL,1.0
Aberystwyth,AYW,1.0
Accrington,ACR,0.0
Achanalt,AAT,nan
Achnasheen,ACN,nan
Achnashellach,ACH,nan
Acklington,ACK,1.0
Acle,ACL,nan
Acocks Green,ACG,nan
Acton Bridge (Cheshire),ACB,1.0
Acton Central,ACC,nan
Acton Main Line,AML,nan
Adderley Park,ADD,1.0
Addiewell,ADW,1.0
Addlestone,ASN,nan
Adisham,ADM,nan
Adlington (Cheshire),ADC,1.0
Adlington (Lancs),ADL,1.0
Adwick,AWK,0.0
Aigburth,AIG,nan
Ainsdale,ANS,1.0
Aintree,AIN,nan
Airbles,AIR,1.0
Airdrie,ADR,1.0
Albany Park,AYP,nan
Albrighton,ALB,1.0
Alderley Edge,ALD,1.0
Aldermaston,AMT,nan
Aldershot,AHT,nan
Aldrington,AGT,nan
Alexandra Palace,AAP,1.0
Alexandra Parade,AXP,nan
Alexandria,ALX,nan
Alfreton,ALF,0.0
Allens West,ALW,1.0
Alloa,ALO,nan
Alness,ASS,nan
Alnmouth,ALM,0.0
Alresford (Essex),ALR,nan
Alsager,ASG,nan
Althorne (Essex),ALN,nan
Althorpe,ALP,1.0
Altnabreac,ABC,nan
Alton,AON,nan
Altrincham,ALT,1.0
Alvechurch,ALV,1.0
Ambergate,AMB,1.0
Amberley,AMY,nan
Amersham,AMR,nan
Ammanford,AMF,nan
Ancaster,ANC,1.0
Anderston,AND,1.0
Andover,ADV,nan
Anerley,ANZ,nan
Angel Road,AGR,nan
Angmering,ANG,nan
Annan,ANN,1.0
Anniesland,ANL,nan
Ansdell & Fairhaven,AFV,1.0
Apperley Bridge,APY,0.0
Appleby,APP,0.0
Appledore (Kent),APD,nan
Appleford,APF,1.0
Appley Bridge,APB,0.0
Apsley,APS,nan
Arbroath,ARB,0.0
Ardgay,ARD,nan
Ardlui,AUI,nan
Ardrossan Harbour,ADS,1.0
Ardrossan South Beach,ASB,nan
Ardrossan Town,ADN,1.0
Ardwick,ADK,1.0
Argyle Street,AGS,nan
Arisaig,ARG,nan
Arlesey,ARL,1.0
Armadale (West Lothian),ARM,1.0
Armathwaite,AWT,0.0
Arnside,ARN,1.0
Arram,ARR,1.0
Arrochar & Tarbet,ART,nan
Arundel,ARU,nan
Ascot (Berks),ACT,nan
Ascott-under-Wychwood,AUW,1.0
Ash,ASH,nan
Ash Vale,AHV,nan
Ashburys,ABY,1.0
Ashchurch for Tewkesbury,ASC,1.0
Ashfield,ASF,nan
Ashford (Surrey),AFS,nan
Ashford International,AFK,nan
Ashford International (Eurostar),ASI,nan
Ashley,ASY,1.0
Ashtead,AHD,nan
Ashton-under-Lyne,AHN,1.0
Ashurst (Kent),AHS,nan
Ashurst New Forest,ANF,1.0
Ashwell & Morden,AWM,1.0
Askam,ASK,1.0
Aslockton,ALK,1.0
Aspatria,ASP,1.0
Aspley Guise,APG,nan
Aston,AST,1.0
Atherstone,ATH,1.0
Atherton,ATN,0.0
Attadale,ATT,nan
Attenborough,ATB,1.0
Attleborough,ATL,1.0
Auchinleck,AUK,1.0
Audley End,AUD,1.0
Aughton Park,AUG,nan
Aviemore,AVM,1.0
Avoncliff,AVF,1.0
Avonmouth,AVN,1.0
Axminster,AXM,1.0
Aylesbury,AYS,nan
Aylesbury Vale Parkway,AVP,nan
Aylesford,AYL,nan
Aylesham,AYH,nan
Ayr,AYR,1.0
Bache,BAC,1.0
Baglan,BAJ,1.0
Bagshot,BAG,nan
Baildon,BLD,1.0
Baillieston,BIO,1.0
Balcombe,BAB,nan
Baldock,BDK,1.0
Balham,BAL,nan
Balloch,BHC,nan
Balmossie,BSI,1.0
Bamber Bridge,BMB,0.0
Bamford,BAM,1.0
Banavie,BNV,nan
Banbury,BAN,0.0
Bangor (Gwynedd),BNG,nan
Bank Hall,BAH,nan
Banstead,BAD,nan
Barassie,BSS,nan
Barbican,ZBB,1.0
Bardon Mill,BLL,1.0
Bare Lane,BAR,0.0
Bargeddie,BGI,1.0
Bargoed,BGD,nan
Barking,BKG,nan
Barlaston,BRT,nan
Barming,BMG,nan
Barmouth,BRM,1.0
Barnehurst,BNH,nan
Barnes,BNS,nan
Barnes Bridge,BNI,nan
Barnetby,BTB,1.0
Barnham,BAA,nan
Barnhill,BNL,nan
Barnsley,BNY,0.0
Barnstaple,BNP,1.0
Barnt Green,BTG,1.0
Barrhead,BRR,1.0
Barrhill,BRL,nan
Barrow Haven,BAV,nan
Barrow-in-Furness,BIF,1.0
Barrow-Upon-Soar,BWS,1.0
Barry,BRY,nan
Barry Docks,BYD,nan
Barry Island,BYI,nan
Barry Links,BYL,1.0
Barton-on-Humber,BAU,nan
Basildon,BSO,nan
Basingstoke,BSK,0.0
Bat & Ball,BBL,nan
Bath Spa,BTH,1.0
Bathgate,BHG,1.0
Batley,BTL,0.0
Battersby,BTT,1.0
Battersea Park,BAK,nan
Battle,BAT,nan
Battlesbridge,BLB,nan
Bayford,BAY,1.0
Beaconsfield,BCF,nan
Bearley,BER,nan
Bearsden,BRN,nan
Bearsted,BSD,nan
Beasdale,BSL,nan
Beaulieu Road,BEU,1.0
Beauly,BEL,nan
Bebington,BEB,1.0
Beccles,BCC,nan
Beckenham Hill,BEC,nan
Beckenham Junction,BKJ,nan
Bedford,BDM,0.0
Bedford St Johns,BSJ,1.0
Bedhampton,BDH,nan
Bedminster,BMT,1.0
Bedworth,BEH,nan
Bedwyn,BDW,1.0
Beeston,BEE,0.0
Bekesbourne,BKS,nan
Belle Vue,BLV,1.0
Bellgrove,BLG,nan
Bellingham,BGM,nan
Bellshill,BLH,nan
Belmont,BLM,nan
Belper,BLP,1.0
Beltring,BEG,nan
Belvedere,BVD,nan
Bempton,BEM,1.0
Ben Rhydding,BEY,0.0
Benfleet,BEF,nan
Bentham,BEN,0.0
Bentley (Hants),BTY,nan
Bentley (South Yorks),BYK,0.0
Bere Alston,BAS,1.0
Bere Ferrers,BFE,1.0
Berkhamsted,BKM,nan
Berkswell,BKW,1.0
Bermuda Park,BEP,nan
Berney Arms,BYA,nan
Berry Brow,BBW,1.0
Berrylands,BRS,nan
Berwick (Sussex),BRK,nan
Berwick-upon-Tweed,BWK,0.0
Bescar Lane,BES,1.0
Bescot Stadium,BSC,1.0
Betchworth,BTO,nan
Bethnal Green,BET,nan
Betws-y-Coed,BYC,nan
Beverley,BEV,1.0
Bexhill,BEX,nan
Bexley,BXY,nan
Bexleyheath,BXH,nan
Bicester North,BCS,1.0
Bicester Village,BIT,nan
Bickley,BKL,nan
Bidston,BID,1.0
Biggleswade,BIW,1.0
Bilbrook,BBK,1.0
Billericay,BIC,nan
Billingham (Cleveland),BIL,1.0
Billingshurst,BIG,nan
Bingham,BIN,1.0
Bingley,BIY,0.0
Birchgrove,BCG,nan
Birchington-on-sea,BCH,nan
Birchwood,BWD,1.0
Birkbeck,BIK,nan
Birkdale,BDL,1.0
Birkenhead Central,BKC,1.0
Birkenhead Hamilton Square,BKQ,1.0
Birkenhead North,BKN,1.0
Birkenhead Park,BKP,1.0
Birmingham International,BHI,1.0
Birmingham Moor Street,BMO,1.0
Birmingham New Street,BHM,0.0
Birmingham Snow Hill,BSW,1.0
