Name,Code,"Changes (-1 means terminus, NaN means 2+ changes)"
Abbey Wood,ABW,nan
Aber,ABE,1.0
Abercynon,ACY,1.0
Aberdare,ABA,1.0
Aberdeen,ABD,1.0
Aberdour,AUR,1.0
Aberdovey,AVY,1.0
Abererch,ABH,1.0
Abergavenny,AGV,0.0
Abergele & Pensarn,AGL,0.0
Aberystwyth,AYW,1.0
Accrington,ACR,0.0
Achanalt,AAT,nan
Achnasheen,ACN,nan
Achnashellach,ACH,nan
Acklington,ACK,1.0
Acle,ACL,1.0
Acocks Green,ACG,nan
Acton Bridge (Cheshire),ACB,1.0
Acton Central,ACC,nan
Acton Main Line,AML,nan
Adderley Park,ADD,1.0
Addiewell,ADW,1.0
Addlestone,ASN,nan
Adisham,ADM,nan
Adlington (Cheshire),ADC,0.0
Adlington (Lancs),ADL,0.0
Adwick,AWK,1.0
Aigburth,AIG,1.0
Ainsdale,ANS,1.0
Aintree,AIN,1.0
Airbles,AIR,1.0
Airdrie,ADR,1.0
Albany Park,AYP,nan
Albrighton,ALB,1.0
Alderley Edge,ALD,0.0
Aldermaston,AMT,1.0
Aldershot,AHT,nan
Aldrington,AGT,nan
Alexandra Palace,AAP,nan
Alexandra Parade,AXP,nan
Alexandria,ALX,nan
Alfreton,ALF,0.0
Allens West,ALW,1.0
Alloa,ALO,nan
Alness,ASS,nan
Alnmouth,ALM,1.0
Alresford (Essex),ALR,nan
Alsager,ASG,1.0
Althorne (Essex),ALN,nan
Althorpe,ALP,0.0
Altnabreac,ABC,nan
Alton,AON,nan
Altrincham,ALT,0.0
Alvechurch,ALV,1.0
Ambergate,AMB,nan
Amberley,AMY,nan
Amersham,AMR,nan
Ammanford,AMF,1.0
Ancaster,ANC,1.0
Anderston,AND,1.0
Andover,ADV,1.0
Anerley,ANZ,nan
Angel Road,AGR,nan
Angmering,ANG,nan
Annan,ANN,1.0
Anniesland,ANL,1.0
Ansdell & Fairhaven,AFV,1.0
Apperley Bridge,APY,1.0
Appleby,APP,1.0
Appledore (Kent),APD,nan
Appleford,APF,1.0
Appley Bridge,APB,0.0
Apsley,APS,1.0
Arbroath,ARB,1.0
Ardgay,ARD,nan
Ardlui,AUI,nan
Ardrossan Harbour,ADS,1.0
Ardrossan South Beach,ASB,1.0
Ardrossan Town,ADN,1.0
Ardwick,ADK,0.0
Argyle Street,AGS,1.0
Arisaig,ARG,nan
Arlesey,ARL,nan
Armadale (West Lothian),ARM,1.0
Armathwaite,AWT,1.0
Arnside,ARN,0.0
Arram,ARR,1.0
Arrochar & Tarbet,ART,nan
Arundel,ARU,nan
Ascot (Berks),ACT,1.0
Ascott-under-Wychwood,AUW,1.0
Ash,ASH,1.0
Ash Vale,AHV,nan
Ashburys,ABY,0.0
Ashchurch for Tewkesbury,ASC,1.0
Ashfield,ASF,nan
Ashford (Surrey),AFS,1.0
Ashford International,AFK,nan
Ashford International (Eurostar),ASI,nan
Ashley,ASY,0.0
Ashtead,AHD,nan
Ashton-under-Lyne,AHN,0.0
Ashurst (Kent),AHS,nan
Ashurst New Forest,ANF,1.0
Ashwell & Morden,AWM,nan
Askam,ASK,1.0
Aslockton,ALK,0.0
Aspatria,ASP,1.0
Aspley Guise,APG,nan
Aston,AST,1.0
Atherstone,ATH,1.0
Atherton,ATN,0.0
Attadale,ATT,nan
Attenborough,ATB,1.0
Attleborough,ATL,0.0
Auchinleck,AUK,1.0
Audley End,AUD,1.0
Aughton Park,AUG,1.0
Aviemore,AVM,1.0
Avoncliff,AVF,1.0
Avonmouth,AVN,1.0
Axminster,AXM,1.0
Aylesbury,AYS,nan
Aylesbury Vale Parkway,AVP,nan
Aylesford,AYL,nan
Aylesham,AYH,nan
Ayr,AYR,1.0
Bache,BAC,1.0
Baglan,BAJ,0.0
Bagshot,BAG,nan
Baildon,BLD,1.0
Baillieston,BIO,1.0
Balcombe,BAB,nan
Baldock,BDK,nan
Balham,BAL,1.0
Balloch,BHC,nan
Balmossie,BSI,nan
Bamber Bridge,BMB,1.0
Bamford,BAM,0.0
Banavie,BNV,nan
Banbury,BAN,0.0
Bangor (Gwynedd),BNG,0.0
Bank Hall,BAH,nan
Banstead,BAD,nan
Barassie,BSS,1.0
Barbican,ZBB,1.0
Bardon Mill,BLL,1.0
Bare Lane,BAR,1.0
Bargeddie,BGI,1.0
Bargoed,BGD,1.0
Barking,BKG,nan
Barlaston,BRT,nan
Barming,BMG,nan
Barmouth,BRM,1.0
Barnehurst,BNH,nan
Barnes,BNS,nan
Barnes Bridge,BNI,nan
Barnetby,BTB,0.0
Barnham,BAA,1.0
Barnhill,BNL,nan
Barnsley,BNY,1.0
Barnstaple,BNP,1.0
Barnt Green,BTG,1.0
Barrhead,BRR,1.0
Barrhill,BRL,nan
Barrow Haven,BAV,1.0
Barrow-in-Furness,BIF,0.0
Barrow-Upon-Soar,BWS,1.0
Barry,BRY,1.0
Barry Docks,BYD,1.0
Barry Island,BYI,1.0
Barry Links,BYL,nan
Barton-on-Humber,BAU,nan
Basildon,BSO,nan
Basingstoke,BSK,0.0
Bat & Ball,BBL,nan
Bath Spa,BTH,1.0
Bathgate,BHG,1.0
Batley,BTL,0.0
Battersby,BTT,1.0
Battersea Park,BAK,nan
Battle,BAT,nan
Battlesbridge,BLB,nan
Bayford,BAY,nan
Beaconsfield,BCF,1.0
Bearley,BER,1.0
Bearsden,BRN,1.0
Bearsted,BSD,nan
Beasdale,BSL,nan
Beaulieu Road,BEU,1.0
Beauly,BEL,nan
Bebington,BEB,1.0
Beccles,BCC,nan
Beckenham Hill,BEC,nan
Beckenham Junction,BKJ,nan
Bedford,BDM,1.0
Bedford St Johns,BSJ,nan
Bedhampton,BDH,nan
Bedminster,BMT,1.0
Bedworth,BEH,1.0
Bedwyn,BDW,1.0
Beeston,BEE,1.0
Bekesbourne,BKS,nan
Belle Vue,BLV,0.0
Bellgrove,BLG,nan
Bellingham,BGM,nan
Bellshill,BLH,1.0
Belmont,BLM,nan
Belper,BLP,nan
Beltring,BEG,nan
Belvedere,BVD,nan
Bempton,BEM,1.0
Ben Rhydding,BEY,1.0
Benfleet,BEF,nan
Bentham,BEN,1.0
Bentley (Hants),BTY,nan
Bentley (South Yorks),BYK,1.0
Bere Alston,BAS,nan
Bere Ferrers,BFE,nan
Berkhamsted,BKM,1.0
Berkswell,BKW,1.0
Bermuda Park,BEP,nan
Berney Arms,BYA,nan
Berry Brow,BBW,1.0
Berrylands,BRS,nan
Berwick (Sussex),BRK,nan
Berwick-upon-Tweed,BWK,1.0
Bescar Lane,BES,0.0
Bescot Stadium,BSC,1.0
Betchworth,BTO,1.0
Bethnal Green,BET,nan
Betws-y-Coed,BYC,1.0
Beverley,BEV,1.0
Bexhill,BEX,nan
Bexley,BXY,nan
Bexleyheath,BXH,nan
Bicester North,BCS,1.0
Bicester Village,BIT,1.0
Bickley,BKL,nan
Bidston,BID,1.0
Biggleswade,BIW,nan
Bilbrook,BBK,1.0
Billericay,BIC,nan
Billingham (Cleveland),BIL,1.0
Billingshurst,BIG,nan
Bingham,BIN,0.0
Bingley,BIY,1.0
Birchgrove,BCG,1.0
Birchington-on-sea,BCH,nan
Birchwood,BWD,0.0
Birkbeck,BIK,nan
Birkdale,BDL,1.0
Birkenhead Central,BKC,1.0
Birkenhead Hamilton Square,BKQ,1.0
Birkenhead North,BKN,1.0
Birkenhead Park,BKP,1.0
Birmingham International,BHI,0.0
Birmingham Moor Street,BMO,1.0
Birmingham New Street,BHM,0.0
Birmingham Snow Hill,BSW,1.0
Bishop Auckland,BIA,1.0
Bishopbriggs,BBG,nan
Bishops Stortford,BIS,nan
Bishopstone (Sussex),BIP,nan
Bishopton (Strathclyde),BPT,1.0
Bitterne,BTE,1.0
Blackburn,BBN,0.0
Blackheath,BKH,nan
Blackhorse Road,BHO,1.0
Blackpool North,BPN,0.0
Blackpool Pleasure Beach,BPB,1.0
Blackpool South,BPS,1.0
Blackridge,BKR,1.0
Blackrod,BLK,0.0
Blackwater,BAW,1.0
Blaenau Ffestiniog,BFF,1.0
Blair Atholl,BLA,1.0
Blairhill,BAI,1.0
Blake Street,BKT,1.0
Blakedown,BKD,nan
Blantyre,BLT,1.0
Blaydon,BLO,1.0
Bleasby,BSB,1.0
Bletchley,BLY,1.0
Bloxwich,BLX,1.0
Bloxwich North,BWN,1.0
Blundellsands & Crosby,BLN,nan
Blythe Bridge,BYB,1.0
Bodmin Parkway,BOD,0.0
Bodorgan,BOR,1.0
Bognor Regis,BOG,nan
Bogston,BGS,1.0
Bolton,BON,0.0
Bolton-Upon-Dearne,BTD,1.0
Bookham,BKA,nan
Bootle (Cumbria),BOC,1.0
Bootle New Strand,BNW,nan
Bootle Oriel Road,BOT,nan
Bordesley,BBS,nan
Borough Green & Wrotham,BRG,nan
Borth,BRH,1.0
Bosham,BOH,nan
Boston,BSN,1.0
Botley,BOE,1.0
Bottesford,BTF,0.0
Bourne End,BNE,nan
Bournemouth,BMH,0.0
Bournville,BRV,1.0
Bow Brickhill,BWB,nan
Bowes Park,BOP,nan
Bowling,BWG,nan
Box Hill & Westhumble,BXW,nan
Bracknell,BCE,1.0
Bradford Forster Square,BDQ,1.0
Bradford Interchange,BDI,0.0
Bradford-on-Avon,BOA,1.0
Brading,BDN,nan
Braintree,BTR,nan
Braintree Freeport,BTP,nan
Bramhall,BML,0.0
Bramley (Hants),BMY,1.0
Bramley (W Yorks),BLE,0.0
Brampton (Cumbria),BMP,1.0
Brampton (Suffolk),BRP,nan
Branchton,BCN,1.0
Brandon,BND,1.0
Branksome,BSM,1.0
Braystones (Cumbria),BYS,1.0
Bredbury,BDY,0.0
Breich,BRC,1.0
Brentford,BFD,nan
Brentwood,BRE,nan
Bricket Wood,BWO,nan
Bridge of Allan,BEA,1.0
Bridge of Orchy,BRO,nan
Bridgend,BGN,0.0
Bridgeton,BDG,1.0
Bridgwater,BWT,1.0
Bridlington,BDT,1.0
Brierfield,BRF,1.0
Brigg,BGG,nan
Brighouse,BGH,0.0
Brighton (East Sussex),BTN,nan
Brimsdown,BMD,nan
Brinnington,BNT,0.0
Bristol Parkway,BPW,0.0
Bristol Temple Meads,BRI,0.0
Brithdir,BHD,1.0
