stop_id,stop_name,routes
AAP,"Alexandra Palace",120
ABD,Aberdeen,5
ABW,"Abbey Wood (London)",56
ACB,"Acton Bridge",24
ACT,Ascot,7
ADD,"Adderley Park",2
ADM,Adisham,3
ADR,Airdrie,2
ADV,Andover,18
AFK,"Ashford International",41
AFS,"Ashford (Surrey)",12
AGL,"Abergele & Pensarn",3
AGR,"Angel Road",2
AGT,Aldrington,4
AHD,Ashtead,16
AHS,"Ashurst (Kent)",3
AHT,Aldershot,5
AHV,"Ash Vale",5
ALD,"Alderley Edge",2
ALF,Alfreton,8
ALM,Alnmouth,21
ALN,Althorne,2
ALR,"Alresford (Essex)",4
AML,"Acton Main Line",6
AMR,Amersham,10
AMT,Aldermaston,3
AMY,Amberley,18
ANF,"Ashurst New Forest",8
ANG,Angmering,15
ANZ,Anerley,13
AON,Alton,2
APF,Appleford,1
APS,Apsley,12
ARB,Arbroath,5
ARL,Arlesey,11
ART,"Arrochar & Tarbet",2
ARU,Arundel,20
ASC,"Ashchurch for Tewkesbury",2
ASG,Alsager,4
ASH,Ash,1
ASN,Addlestone,7
AST,Aston,6
ATH,Atherstone,2
AUD,"Audley End",8
AUI,Ardlui,2
AUW,"Ascott-under-Wychwood",12
AVM,Aviemore,4
AVP,"Aylesbury Vale Parkway",2
AWK,Adwick,13
AWM,"Ashwell & Morden",15
AXM,Axminster,9
AYH,Aylesham,3
AYP,"Albany Park",20
AYS,Aylesbury,10
BAA,Barnham,18
BAB,Balcombe,13
BAD,Banstead,4
BAG,Bagshot,3
BAK,"Battersea Park",58
BAL,Balham,74
BAN,Banbury,15
BAT,Battle,9
BAY,Bayford,9
BBL,"Bat & Ball",4
BCE,Bracknell,2
BCF,Beaconsfield,24
BCH,"Birchington-on-Sea",19
BCS,"Bicester North",17
BCU,Brockenhurst,8
BCV,"Bruce Grove",4
BCY,Brockley,20
BDH,Bedhampton,10
BDI,"Bradford Interchange",2
BDK,Baldock,20
BDM,Bedford,42
BDQ,"Bradford Forster Square",2
BDW,Bedwyn,31
BEC,"Beckenham Hill",14
BEE,Beeston,6
BEF,Benfleet,9
BER,Bearley,2
BET,"Bethnal Green",62
BEU,"Beaulieu Road",7
BEV,Beverley,2
BEX,Bexhill,7
BFD,Brentford,27
BFN,"Byfleet & New Haw",34
BGH,Brighouse,3
BGM,Bellingham,42
BGN,Bridgend,6
BHG,Bathgate,2
BHI,"Birmingham International",25
BHK,"Bush Hill Park",2
BHM,"Birmingham New Street",19
BIC,Billericay,3
BIG,Billingshurst,24
BIK,Birkbeck,2
BIP,Bishopstone,2
BIS,"Bishops Stortford",12
BIT,"Bicester Village",3
BIW,Biggleswade,65
BKA,Bookham,8
BKD,Blakedown,2
BKG,Barking,15
BKH,Blackheath,37
BKJ,"Beckenham Junction",39
BKL,Bickley,18
BKM,Berkhamsted,13
BKO,Brookwood,17
BKS,Bekesbourne,3
BKW,Berkswell,20
BLA,"Blair Atholl",4
BLB,Battlesbridge,2
BLG,Bellgrove,2
BLM,Belmont,4
BLP,Belper,1
BLY,Bletchley,54
BMD,Brimsdown,18
BMG,Barming,8
BMH,Bournemouth,7
BMO,"Birmingham Moor Street",8
BMS,"Bromley South",57
BMT,Bedminster,1
