Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,172.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aber,ABE,1.0,153.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abercynon,ACY,1.0,171.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdare,ABA,1.0,209.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdeen,ABD,1.0,418.0,159.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aberdour,AUR,1.0,291.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdovey,AVY,0.0,179.0,53.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abererch,ABH,0.0,303.0,58.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergavenny,AGV,1.0,136.0,74.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergele & Pensarn,AGL,1.0,149.0,18.3,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberystwyth,AYW,0.0,180.0,55.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Accrington,ACR,1.0,173.0,17.9,NORTHERN,ANYTIME DAY S,0.0
Achanalt,AAT,2.0,690.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnasheen,ACN,2.0,699.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnashellach,ACH,2.0,719.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acklington,ACK,1.0,268.0,88.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Acle,ACL,2.0,250.0,115.8,VIRGIN WEST COAST,ANYTIME S,200.0
Acocks Green,ACG,0.0,13.0,39.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Acton Bridge (Cheshire),ACB,0.0,81.0,7.9,WEST MIDLANDS TRAINS,ANYTIME DAY S,254.0
Acton Central,ACC,2.0,130.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Main Line,AML,2.0,153.0,162.5,VIRGIN WEST COAST,ANYTIME S,700.0
Adderley Park,ADD,0.0,5.0,39.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Addiewell,ADW,1.0,297.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Addlestone,ASN,2.0,189.0,110.55,VIRGIN WEST COAST,ANYTIME S,200.0
Adisham,ADM,2.0,250.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,123.0,25.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Adlington (Lancs),ADL,1.0,188.0,13.8,NORTHERN,ANYTIME DAY S,0.0
Adwick,AWK,1.0,545.0,38.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,79.0
Aigburth,AIG,1.0,116.0,3.3,MERSEYRAIL,ANYTIME DAY S,0.0
Ainsdale,ANS,3.0,184.0,6.25,MERSEYRAIL,ANYTIME DAY S,1000.0
Aintree,AIN,1.0,162.0,3.75,MERSEYRAIL,ANYTIME DAY S,1000.0
