Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,1.0,51.4910605627019,0.121394025366647,52.1940653655991,0.137456461171047,78.22720966167549,122.0,27.2,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0,0.3477051030918418,0.22295081967213115,0.6412066365711105,1.5595596535737022
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,52.1940653655991,0.137456461171047,241.8433061109336,363.0,141.5,GWR,ANYTIME S,0.0,0.5850895866230588,0.38980716253443526,0.6662350030604232,1.5009718723969634
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,52.1940653655991,0.137456461171047,246.04385147143674,385.0,141.5,GWR,ANYTIME S,0.0,0.5751007357175384,0.36753246753246754,0.6390749388868486,1.564761719090122
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,52.1940653655991,0.137456461171047,251.82872815273197,404.0,141.5,GWR,ANYTIME S,0.0,0.5618898250329146,0.3502475247524752,0.6233384360216138,1.6042649421434454
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,52.1940653655991,0.137456461171047,569.4755741758489,468.0,177.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.31081227716598075,0.3782051282051282,1.216828149948395,0.821808732845644
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.1940653655991,0.137456461171047,484.80153577535185,385.0,160.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.33106330767560266,0.41688311688311686,1.2592247682476672,0.794139398474187
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,52.1940653655991,0.137456461171047,288.29539050413905,379.0,210.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.7284195547933502,0.554089709762533,0.7606738535729263,1.3146238631746654
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,52.1940653655991,0.137456461171047,315.88539325564733,490.0,216.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6837923012957751,0.44081632653061226,0.644664067868668,1.5511954983098601
Abergavenny,AGV,2.0,51.8166930409601,-3.00964730040687,52.1940653655991,0.137456461171047,220.13346122902172,309.0,133.5,GWR,ANYTIME S,0.0,0.6064502836354793,0.4320388349514563,0.7124060233948923,1.4036939149315588
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,52.1940653655991,0.137456461171047,279.4420149829088,399.0,185.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.6638228686239094,0.4649122807017544,0.7003559272754607,1.427845415530673
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,52.1940653655991,0.137456461171047,288.8067058447528,380.0,212.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.7340549776360109,0.5578947368421052,0.7600176469598758,1.3157589221777555
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,52.1940653655991,0.137456461171047,241.7580500701878,294.0,215.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.8893188869515645,0.7312925170068028,0.8223062927557409,1.2160918733198136
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,52.1940653655991,0.137456461171047,683.9961501057192,693.0,180.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2638903741959684,0.26046176046176045,0.9870074316099844,1.0131635973285658
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,52.1940653655991,0.137456461171047,685.9548267721576,702.0,180.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2631368611390408,0.2571225071225071,0.9771436278805664,1.02339100564879
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,52.1940653655991,0.137456461171047,685.1185386022988,722.0,185.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2700262649109102,0.2562326869806094,0.9489176434934887,1.0538322338685253
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.1940653655991,0.137456461171047,366.003051317444,323.0,149.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,54.0,0.4084665399970525,0.4628482972136223,1.1331363817877522,0.8825063038063409
Acle,ACL,1.0,52.6346777628319,1.54391497575916,52.1940653655991,0.137456461171047,107.52433943377767,117.0,29.8,GREATER ANGLIA,ANYTIME S,0.0,0.2771465526496286,0.2547008547008547,0.9190114481519459,1.0881257268458573
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,52.1940653655991,0.137456461171047,136.38433754796742,207.0,124.0,CROSSCOUNTRY,ANYTIME S,0.0,0.9091953095888906,0.5990338164251208,0.6588615340481517,1.5177695893943577
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,52.1940653655991,0.137456461171047,220.247806710642,305.0,167.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.7605070057294998,0.5491803278688525,0.7221239564283345,1.3848038014775967
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,52.1940653655991,0.137456461171047,81.0930896706651,132.0,27.2,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0,0.33541698941875964,0.20606060606060606,0.6143415884141294,1.6277589192380981
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.1940653655991,0.137456461171047,80.29743787381788,121.0,27.2,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0,0.3387405715577501,0.22479338842975205,0.6636151890398172,1.5068973955326384
