Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,86.0,21.5,GREATER ANGLIA,ANYTIME DAY S,0.0
Aber,ABE,3.0,270.0,133.5,GWR,ANYTIME S,0.0
Abercynon,ACY,3.0,272.0,133.5,GWR,ANYTIME S,0.0
Aberdare,ABA,3.0,330.0,133.5,GWR,ANYTIME S,0.0
Aberdeen,ABD,2.0,522.0,189.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdour,AUR,3.0,452.0,171.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdovey,AVY,3.0,359.0,196.0,VIRGIN WEST COAST,ANYTIME S,0.0
Abererch,ABH,3.0,478.0,199.5,VIRGIN WEST COAST,ANYTIME S,0.0
Abergavenny,AGV,3.0,258.0,128.5,GWR,ANYTIME S,0.0
Abergele & Pensarn,AGL,3.0,272.0,168.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aberystwyth,AYW,4.0,389.0,198.0,VIRGIN WEST COAST,ANYTIME S,0.0
Accrington,ACR,3.0,262.0,202.5,VIRGIN WEST COAST,ANYTIME S,0.0
Achanalt,AAT,4.0,747.0,198.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnasheen,ACN,4.0,756.0,198.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnashellach,ACH,4.0,776.0,209.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acklington,ACK,3.0,323.0,165.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acle,ACL,1.0,113.0,45.6,GREATER ANGLIA,ANYTIME S,0.0
Acocks Green,ACG,3.0,225.0,109.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Bridge (Cheshire),ACB,3.0,201.0,154.0,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Central,ACC,1.0,88.0,19.3,GREATER ANGLIA,ANYTIME DAY S,0.0
Acton Main Line,AML,2.0,106.0,20.4,GREATER ANGLIA,ANYTIME DAY S,0.0
Adderley Park,ADD,3.0,180.0,109.5,VIRGIN WEST COAST,ANYTIME S,0.0
Addiewell,ADW,3.0,435.0,167.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Addlestone,ASN,2.0,177.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Adisham,ADM,2.0,207.0,43.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Adlington (Cheshire),ADC,3.0,222.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Adlington (Lancs),ADL,3.0,266.0,202.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adwick,AWK,3.0,225.0,127.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aigburth,AIG,4.0,252.0,182.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ainsdale,ANS,4.0,312.0,186.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aintree,AIN,4.0,268.0,182.5,VIRGIN WEST COAST,ANYTIME S,0.0
Airbles,AIR,3.0,406.0,199.0,VIRGIN WEST COAST,ANYTIME S,0.0
Airdrie,ADR,3.0,412.0,204.0,VIRGIN WEST COAST,ANYTIME S,0.0
Albany Park,AYP,2.0,105.0,22.7,GREATER ANGLIA,ANYTIME DAY S,0.0
Albrighton,ALB,3.0,211.0,112.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alderley Edge,ALD,3.0,225.0,177.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aldermaston,AMT,2.0,148.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Aldershot,AHT,2.0,150.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Aldrington,AGT,3.0,167.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Alexandra Palace,AAP,2.0,86.0,20.4,GREATER ANGLIA,ANYTIME DAY S,0.0
Alexandra Parade,AXP,4.0,636.0,199.0,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandria,ALX,4.0,445.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alfreton,ALF,3.0,247.0,123.1,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Allens West,ALW,3.0,293.0,162.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alloa,ALO,3.0,443.0,171.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alness,ASS,3.0,608.0,198.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alnmouth,ALM,2.0,302.0,165.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alresford (Essex),ALR,1.0,53.0,11.2,GREATER ANGLIA,ANYTIME DAY S,1000.0
Alsager,ASG,2.0,228.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0
Althorne (Essex),ALN,1.0,54.0,10.9,GREATER ANGLIA,ANYTIME DAY S,51.0
Althorpe,ALP,3.0,233.0,128.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Altnabreac,ABC,4.0,844.0,209.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alton,AON,2.0,178.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Altrincham,ALT,3.0,217.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alvechurch,ALV,3.0,233.0,112.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ambergate,AMB,3.0,249.0,120.7,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Amberley,AMY,2.0,178.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Amersham,AMR,2.0,134.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Ammanford,AMF,3.0,542.0,151.0,GWR,ANYTIME S,0.0
Ancaster,ANC,3.0,187.0,86.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Anderston,AND,3.0,382.0,199.0,VIRGIN WEST COAST,ANYTIME S,0.0
Andover,ADV,2.0,166.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Anerley,ANZ,2.0,97.0,21.5,GREATER ANGLIA,ANYTIME DAY S,0.0
Angel Road,AGR,1.0,53.0,20.1,GREATER ANGLIA,ANYTIME DAY S,0.0
Angmering,ANG,2.0,194.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Annan,ANN,3.0,322.0,196.5,VIRGIN WEST COAST,ANYTIME S,0.0
Anniesland,ANL,3.0,393.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
