Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,380.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Aber,ABE,2.0,452.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0
Abercynon,ACY,2.0,457.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0
Aberdare,ABA,2.0,449.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0
Aberdeen,ABD,0.0,142.0,36.6,SCOTRAIL,ANYTIME S,0.0
Aberdour,AUR,0.0,36.0,6.5,SCOTRAIL,ANYTIME DAY S,0.0
Aberdovey,AVY,1.0,407.0,149.0,VIRGIN WEST COAST,ANYTIME S,287.0
Abererch,ABH,1.0,533.0,154.5,VIRGIN WEST COAST,ANYTIME S,287.0
Abergavenny,AGV,1.0,371.0,201.05,CROSSCOUNTRY,ANYTIME S,0.0
Abergele & Pensarn,AGL,1.0,293.0,109.0,VIRGIN WEST COAST,ANYTIME S,275.0
Aberystwyth,AYW,1.0,410.0,151.0,VIRGIN WEST COAST,ANYTIME S,287.0
Accrington,ACR,1.0,205.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achanalt,AAT,1.0,350.0,92.1,SCOTRAIL,ANYTIME DAY S,0.0
Achnasheen,ACN,1.0,359.0,92.1,SCOTRAIL,ANYTIME DAY S,0.0
Achnashellach,ACH,1.0,379.0,98.3,SCOTRAIL,ANYTIME DAY S,0.0
Acklington,ACK,1.0,161.0,61.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acle,ACL,2.0,405.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Acocks Green,ACG,2.0,280.0,126.55,CROSSCOUNTRY,ANYTIME S,0.0
Acton Bridge (Cheshire),ACB,1.0,258.0,93.0,VIRGIN WEST COAST,ANYTIME S,275.0
Acton Central,ACC,2.0,322.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acton Main Line,AML,2.0,319.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adderley Park,ADD,1.0,294.0,126.55,CROSSCOUNTRY,ANYTIME S,0.0
Addiewell,ADW,0.0,42.0,6.5,SCOTRAIL,ANYTIME DAY S,1000.0
Addlestone,ASN,2.0,401.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adisham,ADM,3.0,401.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,254.0,77.5,CROSSCOUNTRY,ANYTIME S,95.0
Adlington (Lancs),ADL,1.0,195.0,127.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adwick,AWK,1.0,275.0,116.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aigburth,AIG,2.0,272.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ainsdale,ANS,3.0,232.0,71.0,VIRGIN WEST COAST,ANYTIME S,275.0
Aintree,AIN,2.0,244.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Airbles,AIR,1.0,72.0,17.1,SCOTRAIL,ANYTIME DAY S,0.0
Airdrie,ADR,0.0,52.0,12.0,SCOTRAIL,ANYTIME DAY S,1000.0
Albany Park,AYP,2.0,334.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Albrighton,ALB,1.0,302.0,139.55,CROSSCOUNTRY,ANYTIME S,0.0
Alderley Edge,ALD,1.0,232.0,93.0,VIRGIN WEST COAST,ANYTIME S,275.0
Aldermaston,AMT,1.0,502.0,172.5,CROSSCOUNTRY,ANYTIME S,0.0
Aldershot,AHT,2.0,375.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aldrington,AGT,3.0,424.0,174.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandra Palace,AAP,1.0,337.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandra Parade,AXP,1.0,78.0,15.5,SCOTRAIL,ANYTIME DAY S,0.0
Alexandria,ALX,1.0,120.0,18.2,SCOTRAIL,ANYTIME DAY S,0.0
Alfreton,ALF,1.0,267.0,137.2,CROSSCOUNTRY,ANYTIME S,0.0
Allens West,ALW,1.0,145.0,77.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
