Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,55.94910381337705,-3.203339129953465,542.3990271832232,380.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0,0.29775127149231606,0.425,1.427365861008482,0.7005912270407436
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,55.94910381337705,-3.203339129953465,486.8460795909763,452.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0,0.4227208734491667,0.4553097345132744,1.077093096440213,0.9284248532508422
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,55.94910381337705,-3.203339129953465,479.152386624672,457.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0,0.42950845231040574,0.450328227571116,1.0484734937082538,0.9537675544502207
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,55.94910381337705,-3.203339129953465,471.51963715785774,449.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0,0.43646114346474446,0.4583518930957684,1.0501550938927788,0.9522402984240538
Aberdeen,ABD,0.0,57.1437058328662,-2.09868538622245,55.94910381337705,-3.203339129953465,149.36510366256425,142.0,36.6,SCOTRAIL,ANYTIME S,0.0,0.24503715461333123,0.2577464788732394,1.0518669272011567,0.9506905998659299
Aberdour,AUR,0.0,56.0545955695197,-3.30056061487314,55.94910381337705,-3.203339129953465,13.219380465814021,36.0,6.5,SCOTRAIL,ANYTIME DAY S,0.0,0.4917023166712937,0.18055555555555555,0.3672050129392784,2.723274369256396
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,55.94910381337705,-3.203339129953465,383.0804897642665,407.0,149.0,VIRGIN WEST COAST,ANYTIME S,287.0,0.3889522019032843,0.36609336609336607,0.9412297045805073,1.062439907212327
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,55.94910381337705,-3.203339129953465,347.9481315123385,533.0,154.5,VIRGIN WEST COAST,ANYTIME S,287.0,0.4440316990020144,0.2898686679174484,0.6528107533064512,1.5318375117674672
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,55.94910381337705,-3.203339129953465,460.12419146694566,371.0,201.05,CROSSCOUNTRY,ANYTIME S,0.0,0.4369472497392979,0.5419137466307278,1.2402269311777512,0.8063040519934319
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,55.94910381337705,-3.203339129953465,296.5052225031915,293.0,109.0,VIRGIN WEST COAST,ANYTIME S,275.0,0.36761578457130467,0.3720136518771331,1.011963216734442,0.9881782099026815
