Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,50.72430636303824,-3.5384669789622065,270.1047109431535,293.0,137.5,GWR,ANYTIME S,842.0,0.5090618357594598,0.46928327645051193,0.9218590817172475,1.0847644936547036
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,50.72430636303824,-3.5384669789622065,97.0697338718326,189.0,53.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.5501199794212628,0.28253968253968254,0.5135964755123418,1.9470538597494131
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,50.72430636303824,-3.5384669789622065,103.45878477274373,211.0,53.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.5161475665628373,0.25308056872037915,0.49032599418361955,2.039459485856904
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,50.72430636303824,-3.5384669789622065,110.4252327593245,249.0,53.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.48358512511707435,0.2144578313253012,0.4434748303587329,2.2549194036357965
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,50.72430636303824,-3.5384669789622065,720.688209641617,653.0,251.5,CROSSCOUNTRY,ANYTIME S,700.0,0.3489719918202431,0.38514548238897395,1.103657288884559,0.9060783724000744
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,50.72430636303824,-3.5384669789622065,593.4359445195606,514.0,234.2,CROSSCOUNTRY,ANYTIME S,817.0,0.3946508501260499,0.4556420233463035,1.154544639143114,0.8661423439999558
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,50.72430636303824,-3.5384669789622065,205.61334191346458,370.0,67.6,CROSSCOUNTRY,ANYTIME S,700.0,0.3287724394288113,0.1827027027027027,0.5557117349012556,1.7994941211340263
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,50.72430636303824,-3.5384669789622065,248.68490910055743,496.0,64.8,CROSSCOUNTRY,ANYTIME S,700.0,0.2605706966070775,0.13064516129032258,0.5013808651220916,1.99449175180726
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,50.72430636303824,-3.5384669789622065,127.01086808768052,177.0,44.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.35036371823929213,0.2514124293785311,0.717575525919099,1.3935815309742632
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,50.72430636303824,-3.5384669789622065,286.0036319246045,398.0,74.4,CROSSCOUNTRY,ANYTIME S,817.0,0.26013655665608165,0.1869346733668342,0.7186020902628254,1.3915907197462432
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,50.72430636303824,-3.5384669789622065,191.73643737133946,373.0,63.1,CROSSCOUNTRY,ANYTIME S,700.0,0.3290975928471701,0.16916890080428953,0.514038706089382,1.9453787976544286
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,50.72430636303824,-3.5384669789622065,346.32319593059464,392.0,127.5,VIRGIN WEST COAST,ANYTIME S,817.0,0.3681532207434116,0.3252551020408163,0.8834775406392721,1.1318906865209204
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,50.72430636303824,-3.5384669789622065,771.5903273880698,874.0,252.25,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3269221905021774,0.28861556064073224,0.882826461542414,1.1327254489550171
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,50.72430636303824,-3.5384669789622065,769.5117474466434,883.0,252.25,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3278052620210201,0.285673839184598,0.8714742326689053,1.1474808577385958
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,50.72430636303824,-3.5384669789622065,761.2183855020365,903.0,252.25,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3313766519625466,0.2793466223698782,0.8429882452957216,1.1862561614357963
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,50.72430636303824,-3.5384669789622065,525.4329185690513,424.0,242.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4605725896638828,0.5707547169811321,1.2392285815307813,0.806953628171431
Acle,ACL,3.0,52.6346777628319,1.54391497575916,50.72430636303824,-3.5384669789622065,410.65577500601825,354.0,189.2,GREATER ANGLIA,ANYTIME S,200.0,0.46072650505700846,0.5344632768361581,1.1600445621638933,0.8620358498423943
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,50.72430636303824,-3.5384669789622065,225.90030740300725,199.0,100.35,CROSSCOUNTRY,ANYTIME S,817.0,0.44422250307510697,0.5042713567839195,1.1351774241357149,0.8809195626501872
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,50.72430636303824,-3.5384669789622065,290.06068355191354,246.0,58.3,CROSSCOUNTRY,ANYTIME S,817.0,0.20099242436476492,0.23699186991869917,1.1791084697232257,0.8480983944036393
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,50.72430636303824,-3.5384669789622065,245.36942471626296,226.0,137.5,GWR,ANYTIME S,842.0,0.5603795181856925,0.6084070796460177,1.0857054190985087,0.9210601535270292
Acton Main Line,AML,1.0,51.5171788796431,-0.266756440210259,50.72430636303824,-3.5384669789622065,245.43884972850066,162.0,131.5,GWR,ANYTIME S,842.0,0.5357750011681629,0.8117283950617284,1.5150546279537078,0.6600422067622995
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,50.72430636303824,-3.5384669789622065,227.75656377392883,193.0,100.35,CROSSCOUNTRY,ANYTIME S,817.0,0.44060201092429285,0.5199481865284974,1.1800858226628437,0.8473959951010317
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,50.72430636303824,-3.5384669789622065,569.7305597539778,515.0,234.2,CROSSCOUNTRY,ANYTIME S,700.0,0.4110715073825998,0.45475728155339806,1.106272931561122,0.9039360644835137
Addlestone,ASN,1.0,51.3730447500684,-0.48445679693337,50.72430636303824,-3.5384669789622065,225.9733424708496,280.0,123.0,GWR,ANYTIME S,830.0,0.5443119912069581,0.4392857142857143,0.8070476516816056,1.2390842076255955
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,50.72430636303824,-3.5384669789622065,337.5590761703378,358.0,161.0,GWR,ANYTIME S,842.0,0.4769535508467762,0.44972067039106145,0.9429024474031782,1.0605551006406575
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,50.72430636303824,-3.5384669789622065,304.4296334653195,255.0,141.9,CROSSCOUNTRY,ANYTIME S,817.0,0.4661175667583793,0.5564705882352942,1.193841699863998,0.83763199100343
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,50.72430636303824,-3.5384669789622065,327.75483793252977,307.0,125.5,VIRGIN WEST COAST,ANYTIME S,700.0,0.38290815413023715,0.40879478827361565,1.0676053352851131,0.9366757236492653
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,50.72430636303824,-3.5384669789622065,355.59138402140485,321.0,205.0,CROSSCOUNTRY,ANYTIME S,0.0,0.5765044070574556,0.6386292834890965,1.1077613209389559,0.9027215349533817
