Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,351.0,191.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aber,ABE,2.0,451.0,159.0,VIRGIN WEST COAST,ANYTIME S,700.0
Abercynon,ACY,2.0,447.0,159.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aberdare,ABA,2.0,481.0,159.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aberdeen,ABD,0.0,157.0,43.1,SCOTRAIL,ANYTIME DAY S,0.0
Aberdour,AUR,1.0,87.0,16.4,SCOTRAIL,ANYTIME DAY S,0.0
Aberdovey,AVY,1.0,467.0,136.7,VIRGIN WEST COAST,ANYTIME S,287.0
Abererch,ABH,1.0,586.0,142.9,VIRGIN WEST COAST,ANYTIME S,287.0
Abergavenny,AGV,1.0,359.0,159.0,VIRGIN WEST COAST,ANYTIME S,307.0
Abergele & Pensarn,AGL,1.0,259.0,115.0,VIRGIN WEST COAST,ANYTIME S,317.0
Aberystwyth,AYW,1.0,465.0,139.3,VIRGIN WEST COAST,ANYTIME S,287.0
Accrington,ACR,1.0,201.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achanalt,AAT,1.0,277.0,108.1,SCOTRAIL,ANYTIME DAY S,0.0
Achnasheen,ACN,1.0,286.0,108.1,SCOTRAIL,ANYTIME DAY S,0.0
Achnashellach,ACH,1.0,306.0,114.0,SCOTRAIL,ANYTIME DAY S,0.0
Acklington,ACK,1.0,393.0,74.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acle,ACL,2.0,568.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Acocks Green,ACG,2.0,280.0,115.5,VIRGIN WEST COAST,ANYTIME S,317.0
Acton Bridge (Cheshire),ACB,1.0,254.0,94.9,VIRGIN WEST COAST,ANYTIME S,275.0
Acton Central,ACC,2.0,326.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Main Line,AML,2.0,327.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adderley Park,ADD,1.0,294.0,115.5,VIRGIN WEST COAST,ANYTIME S,317.0
Addiewell,ADW,0.0,55.0,8.6,SCOTRAIL,ANYTIME DAY S,0.0
Addlestone,ASN,2.0,422.0,196.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adisham,ADM,2.0,442.0,214.0,VIRGIN WEST COAST,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,257.0,78.9,VIRGIN WEST COAST,ANYTIME S,275.0
Adlington (Lancs),ADL,1.0,171.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adwick,AWK,1.0,303.0,121.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aigburth,AIG,3.0,235.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ainsdale,ANS,3.0,224.0,71.2,VIRGIN WEST COAST,ANYTIME S,275.0
Aintree,AIN,2.0,245.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Airbles,AIR,0.0,34.0,4.3,SCOTRAIL,ANYTIME DAY S,0.0
Airdrie,ADR,0.0,27.0,4.3,SCOTRAIL,ANYTIME DAY S,0.0
Albany Park,AYP,2.0,352.0,191.5,VIRGIN WEST COAST,ANYTIME S,0.0
Albrighton,ALB,1.0,294.0,108.5,VIRGIN WEST COAST,ANYTIME S,317.0
Alderley Edge,ALD,1.0,239.0,94.9,VIRGIN WEST COAST,ANYTIME S,275.0
Aldermaston,AMT,2.0,427.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aldershot,AHT,2.0,395.0,209.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aldrington,AGT,3.0,413.0,212.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Palace,AAP,2.0,314.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Parade,AXP,0.0,8.0,2.2,SCOTRAIL,ANYTIME DAY S,0.0
Alexandria,ALX,0.0,48.0,5.6,SCOTRAIL,ANYTIME DAY S,1000.0
Alfreton,ALF,1.0,330.0,101.0,VIRGIN WEST COAST,ANYTIME S,307.0
Allens West,ALW,1.0,244.0,91.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alloa,ALO,0.0,52.0,10.5,SCOTRAIL,ANYTIME DAY S,0.0
Alness,ASS,1.0,281.0,103.9,SCOTRAIL,ANYTIME DAY S,0.0
Alnmouth,ALM,0.0,135.0,74.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alresford (Essex),ALR,2.0,419.0,210.0,VIRGIN WEST COAST,ANYTIME S,0.0
Alsager,ASG,1.0,240.0,90.8,VIRGIN WEST COAST,ANYTIME S,287.0
Althorne (Essex),ALN,2.0,408.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
Althorpe,ALP,1.0,334.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Altnabreac,ABC,1.0,544.0,111.9,SCOTRAIL,ANYTIME DAY S,0.0
Alton,AON,2.0,404.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Altrincham,ALT,1.0,281.0,71.2,VIRGIN WEST COAST,ANYTIME S,275.0
Alvechurch,ALV,1.0,306.0,118.0,VIRGIN WEST COAST,ANYTIME S,317.0
Ambergate,AMB,1.0,416.0,116.5,VIRGIN WEST COAST,ANYTIME S,0.0
Amberley,AMY,2.0,402.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Amersham,AMR,2.0,380.0,129.0,VIRGIN WEST COAST,ANYTIME S,302.0
Ammanford,AMF,1.0,508.0,159.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ancaster,ANC,2.0,410.0,144.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Anderston,AND,0.0,2.0,1.3,SCOTRAIL,ANYTIME DAY S,1000.0
Andover,ADV,2.0,413.0,218.0,VIRGIN WEST COAST,ANYTIME S,0.0
Anerley,ANZ,2.0,349.0,191.5,VIRGIN WEST COAST,ANYTIME S,0.0
Angel Road,AGR,2.0,377.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Angmering,ANG,2.0,441.0,214.0,VIRGIN WEST COAST,ANYTIME S,0.0
Annan,ANN,0.0,130.0,17.6,SCOTRAIL,ANYTIME DAY S,0.0
Anniesland,ANL,0.0,20.0,2.8,SCOTRAIL,ANYTIME DAY S,1000.0
Ansdell & Fairhaven,AFV,1.0,212.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Apperley Bridge,APY,1.0,279.0,124.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appleby,APP,1.0,131.0,37.4,NORTHERN,ANYTIME DAY S,0.0
Appledore (Kent),APD,3.0,363.0,214.0,VIRGIN WEST COAST,ANYTIME S,0.0
Appleford,APF,1.0,587.0,214.5,VIRGIN WEST COAST,ANYTIME S,0.0
Appley Bridge,APB,2.0,180.0,132.0,VIRGIN WEST COAST,ANYTIME S,0.0
Apsley,APS,1.0,336.0,196.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arbroath,ARB,0.0,102.0,27.8,SCOTRAIL,ANYTIME DAY S,0.0
