Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,53.7956274464893,-1.54802567392696,280.22372348470884,233.0,136.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0,0.4871107924145776,0.5858369098712446,1.2026769248270766,0.831478495476898
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,53.7956274464893,-1.54802567392696,272.01141780160793,339.0,67.2,CROSSCOUNTRY,ANYTIME S,700.0,0.24704845312417165,0.19823008849557522,0.8023935628366016,1.2462712144210444
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,53.7956274464893,-1.54802567392696,267.8233425357762,335.0,67.2,CROSSCOUNTRY,ANYTIME S,700.0,0.25091166200729254,0.20059701492537313,0.799472664285899,1.2508245055423064
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,53.7956274464893,-1.54802567392696,264.50686344160647,373.0,67.2,CROSSCOUNTRY,ANYTIME S,700.0,0.25405767973516247,0.1801608579088472,0.709133682149079,1.4101713473395177
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.7956274464893,-1.54802567392696,374.3683911138292,371.0,139.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3712920302551294,0.3746630727762803,1.009079221331076,0.991002469242108
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,53.7956274464893,-1.54802567392696,275.41129240211626,235.0,114.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.41574184922244745,0.48723404255319147,1.171962946391984,0.8532692975307873
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.7956274464893,-1.54802567392696,218.05208050721873,392.0,80.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.37009507000474773,0.2058673469387755,0.5562553074163743,1.7977356560329751
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.7956274464893,-1.54802567392696,213.03128560679804,503.0,86.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.4065130609963164,0.17216699801192842,0.4235214425582466,2.3611555390432697
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,53.7956274464893,-1.54802567392696,241.26043839034733,248.0,87.5,TRANSPENNINE EXPRESS,ANYTIME DAY S,312.0,0.3626786081621446,0.3528225806451613,0.9728243483481748,1.0279347979909925
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,53.7956274464893,-1.54802567392696,145.93779350268235,184.0,52.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.3576866468043493,0.28369565217391307,0.7931401820797954,1.2608111688122656
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,53.7956274464893,-1.54802567392696,228.97135184514815,392.0,83.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.36380097042155407,0.2125,0.5841105914417044,1.7120045666896664
Accrington,ACR,0.0,53.7529733751372,-2.36954810226505,53.7956274464893,-1.54802567392696,54.3703038522711,86.0,29.5,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.5425755956809455,0.3430232558139535,0.6322128354915244,1.5817458043580108
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,53.7956274464893,-1.54802567392696,474.3012064411762,572.0,168.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3552594800766076,0.2945804195804196,0.8291979133586996,1.205984703880235
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,53.7956274464893,-1.54802567392696,475.8669205377837,581.0,168.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3540905928270363,0.29001721170395867,0.8190480560030701,1.2209295812018284
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,53.7956274464893,-1.54802567392696,474.45555994233285,601.0,176.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3709514965350848,0.2928452579034942,0.7894435273582909,1.266715053509011
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,53.7956274464893,-1.54802567392696,168.38380815775247,148.0,60.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.3598920861988472,0.4094594594594595,1.1377284334983275,0.8789443689344782
Acle,ACL,2.0,52.6346777628319,1.54391497575916,53.7956274464893,-1.54802567392696,243.59927662183946,262.0,108.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.44540362149118395,0.41412213740458015,0.9297682313810667,1.075536855582398
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,53.7956274464893,-1.54802567392696,150.92189095032788,204.0,68.55,CROSSCOUNTRY,ANYTIME S,0.0,0.4542084621942717,0.33602941176470585,0.7398131909329798,1.351692578958883
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,53.7956274464893,-1.54802567392696,91.44715800569735,124.0,42.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.466936326193316,0.3443548387096774,0.7374770806911076,1.3559743430438216
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,53.7956274464893,-1.54802567392696,268.92451654742547,215.0,136.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.5075773743221657,0.6348837209302326,1.2508117048717464,0.7994808460019458
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,53.7956274464893,-1.54802567392696,267.94799922620194,202.0,136.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.50942720376414,0.6757425742574258,1.326475243694069,0.7538776202223904
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,53.7956274464893,-1.54802567392696,147.5170143795302,213.0,68.55,CROSSCOUNTRY,ANYTIME S,0.0,0.4646921596693605,0.3218309859154929,0.6925681426269024,1.4439012401104856
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,53.7956274464893,-1.54802567392696,263.5537347660319,241.0,113.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.42875507000617924,0.46887966804979253,1.0935839616847796,0.9144245298361876
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,53.7956274464893,-1.54802567392696,279.04467725538933,249.0,139.5,CROSSCOUNTRY,ANYTIME S,0.0,0.4999199460533905,0.5602409638554217,1.1206613544393145,0.8923302262888476
Adisham,ADM,3.0,51.2411978022143,1.19908904695378,53.7956274464893,-1.54802567392696,339.9013830881543,280.0,154.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.45454360496064833,0.5517857142857143,1.2139335110291225,0.823768345559751
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,53.7956274464893,-1.54802567392696,65.67375775671488,103.0,31.9,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.48573434945160193,0.30970873786407765,0.6376092986088823,1.5683585577904389
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,53.7956274464893,-1.54802567392696,72.57048148522009,105.0,30.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.4244149876044686,0.29333333333333333,0.6911474427163817,1.4468692759243247
Adwick,AWK,0.0,53.5723210050351,-1.180356329611,53.7956274464893,-1.54802567392696,34.7538234099266,39.0,7.4,NORTHERN,ANYTIME DAY S,0.0,0.2129262128288989,0.18974358974358976,0.8911236771776052,1.122178689233386
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,53.7956274464893,-1.54802567392696,103.17503859171315,140.0,35.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.34698315104749955,0.25571428571428567,0.7369645613693796,1.3569173504650822
Ainsdale,ANS,1.0,53.6020355257546,-3.04265252059266,53.7956274464893,-1.54802567392696,101.03940153142247,182.0,38.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.37906004409664873,0.2104395604395604,0.5551615468759477,1.801277494140733
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,53.7956274464893,-1.54802567392696,99.79628311739651,148.0,35.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.3587307951929057,0.24189189189189186,0.6742992102526791,1.483021164484638
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,53.7956274464893,-1.54802567392696,271.4377325539681,269.0,118.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4347221695736015,0.43866171003717475,1.0090622028028553,0.9910191831804983
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,53.7956274464893,-1.54802567392696,278.3506139037564,246.0,118.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4239257760027795,0.4796747967479675,1.1315065605843757,0.8837774652261334
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,53.7956274464893,-1.54802567392696,286.0404946049788,210.0,136.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0,0.4772051600194097,0.65,1.3620975933570418,0.7341617846452457
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,53.7956274464893,-1.54802567392696,137.54211335276653,221.0,68.55,CROSSCOUNTRY,ANYTIME S,0.0,0.49839280733009894,0.31018099547511313,0.6223625038586721,1.6067806042297865
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,53.7956274464893,-1.54802567392696,71.27855595676245,115.0,30.4,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.42649573342143227,0.2643478260869565,0.6198135300588039,1.6133884652455497
Aldermaston,AMT,2.0,51.4019618556841,-1.1374239270022,53.7956274464893,-1.54802567392696,267.811630482968,255.0,147.5,CROSSCOUNTRY,ANYTIME S,0.0,0.5507602479175397,0.5784313725490197,1.050241688168502,0.9521617845354078
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,53.7956274464893,-1.54802567392696,288.6645943072476,257.0,145.0,CROSSCOUNTRY,ANYTIME S,0.0,0.5023130749650077,0.5642023346303502,1.1232085381604966,0.890306622524186
Aldrington,AGT,3.0,50.8363824121951,-0.183821512855377,53.7956274464893,-1.54802567392696,342.1567064753433,281.0,151.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4413182531346392,0.5373665480427047,1.2176395248232859,0.8212611200717458
Alexandra Palace,AAP,1.0,51.5979224924556,-0.120235220128854,53.7956274464893,-1.54802567392696,262.9082693631673,205.0,132.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.5039780617055132,0.6463414634146342,1.2824793627471573,0.7797396426387185
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,53.7956274464893,-1.54802567392696,286.7541622909907,280.0,118.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4115023093553448,0.42142857142857143,1.0241220081821096,0.9764461577923437
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,53.7956274464893,-1.54802567392696,311.7011507809548,329.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4090456505551996,0.38753799392097266,0.9474199111883124,1.055498188491456
Alfreton,ALF,0.0,53.1004322999438,-1.36969621564025,53.7956274464893,-1.54802567392696,78.27338132946512,91.0,24.3,NORTHERN,ANYTIME DAY S,0.0,0.3104503675102195,0.26703296703296703,0.8601470475765398,1.1625919112522622
Allens West,ALW,1.0,54.5246233650745,-1.36111683481751,53.7956274464893,-1.54802567392696,82.05642837040679,104.0,38.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,95.0,0.4643146278316515,0.3663461538461539,0.7890041189462191,1.2674205064171065
Alloa,ALO,1.0,56.1177936041036,-3.79005640302655,53.7956274464893,-1.54802567392696,295.6947485616279,268.0,119.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4024420473439634,0.44402985074626866,1.103338614035925,0.9063400730099344
Alness,ASS,2.0,57.6943991747966,-4.24971726526612,53.7956274464893,-1.54802567392696,465.9677926380763,582.0,168.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3616129755364365,0.28951890034364264,0.8006319461135332,1.2490133635739231
