Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,1.0,128.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aber,ABE,2.0,248.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0
Abercynon,ACY,2.0,270.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0
Aberdare,ABA,2.0,295.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0
Aberdeen,ABD,1.0,481.0,189.9,CROSSCOUNTRY,ANYTIME S,0.0
Aberdour,AUR,2.0,421.0,156.7,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Aberdovey,AVY,1.0,258.0,66.7,CROSSCOUNTRY,ANYTIME S,0.0
Abererch,ABH,1.0,384.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0
Abergavenny,AGV,2.0,192.0,82.7,CROSSCOUNTRY,ANYTIME S,824.0
Abergele & Pensarn,AGL,2.0,261.0,72.05,CROSSCOUNTRY,ANYTIME S,0.0
Aberystwyth,AYW,1.0,261.0,72.05,CROSSCOUNTRY,ANYTIME S,0.0
Accrington,ACR,2.0,243.0,97.45,CROSSCOUNTRY,ANYTIME S,0.0
Achanalt,AAT,3.0,710.0,205.8,CROSSCOUNTRY,ANYTIME S,0.0
Achnasheen,ACN,3.0,719.0,205.8,CROSSCOUNTRY,ANYTIME S,0.0
Achnashellach,ACH,3.0,739.0,211.05,CROSSCOUNTRY,ANYTIME S,0.0
Acklington,ACK,2.0,225.0,122.95,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Acle,ACL,2.0,198.0,66.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Acocks Green,ACG,2.0,97.0,19.8,CROSSCOUNTRY,ANYTIME DAY S,299.0
Acton Bridge (Cheshire),ACB,1.0,174.0,48.3,CROSSCOUNTRY,ANYTIME S,0.0
Acton Central,ACC,2.0,139.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Acton Main Line,AML,2.0,128.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Adderley Park,ADD,1.0,81.0,19.8,CROSSCOUNTRY,ANYTIME DAY S,299.0
Addiewell,ADW,2.0,370.0,156.7,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Addlestone,ASN,2.0,194.0,95.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Adisham,ADM,2.0,214.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Adlington (Cheshire),ADC,2.0,158.0,52.05,CROSSCOUNTRY,ANYTIME S,313.0
Adlington (Lancs),ADL,2.0,228.0,88.05,CROSSCOUNTRY,ANYTIME S,0.0
Adwick,AWK,1.0,146.0,48.1,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Aigburth,AIG,2.0,208.0,62.5,WEST MIDLANDS TRAINS,ANYTIME S,0.0
Ainsdale,ANS,3.0,303.0,65.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aintree,AIN,3.0,204.0,62.5,WEST MIDLANDS TRAINS,ANYTIME S,0.0
Airbles,AIR,2.0,392.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Airdrie,ADR,2.0,403.0,125.5,CROSSCOUNTRY,ANYTIME S,0.0
Albany Park,AYP,2.0,139.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Albrighton,ALB,1.0,112.0,28.9,CROSSCOUNTRY,ANYTIME S,268.0
Alderley Edge,ALD,2.0,157.0,58.45,CROSSCOUNTRY,ANYTIME S,0.0
Aldermaston,AMT,2.0,184.0,95.7,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Aldershot,AHT,2.0,182.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aldrington,AGT,2.0,201.0,117.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Alexandra Palace,AAP,2.0,101.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Alexandra Parade,AXP,3.0,379.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandria,ALX,3.0,396.0,125.5,VIRGIN WEST COAST,ANYTIME S,307.0
Alfreton,ALF,1.0,72.0,39.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Allens West,ALW,2.0,182.0,111.05,CROSSCOUNTRY,ANYTIME S,79.0
Alloa,ALO,3.0,396.0,168.45,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Alness,ASS,3.0,629.0,201.05,CROSSCOUNTRY,ANYTIME S,0.0
Alnmouth,ALM,1.0,286.0,122.95,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Alresford (Essex),ALR,2.0,186.0,118.1,CROSSCOUNTRY,ANYTIME S,0.0
Alsager,ASG,1.0,107.0,47.3,CROSSCOUNTRY,ANYTIME S,0.0
Althorne (Essex),ALN,2.0,168.0,111.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Althorpe,ALP,1.0,152.0,56.3,EAST MIDLANDS TRAINS,ANYTIME S,79.0
Altnabreac,ABC,3.0,831.0,216.55,CROSSCOUNTRY,ANYTIME S,0.0
Alton,AON,2.0,201.0,114.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Altrincham,ALT,2.0,144.0,54.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Alvechurch,ALV,1.0,120.0,24.7,CROSSCOUNTRY,ANYTIME S,299.0
Ambergate,AMB,1.0,73.0,15.3,EAST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Amberley,AMY,2.0,198.0,112.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Amersham,AMR,2.0,173.0,60.8,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ammanford,AMF,2.0,357.0,140.25,CROSSCOUNTRY,ANYTIME S,0.0
Ancaster,ANC,1.0,106.0,40.05,CROSSCOUNTRY,ANYTIME S,0.0
Anderston,AND,2.0,333.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Andover,ADV,2.0,212.0,102.2,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Anerley,ANZ,2.0,122.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Angel Road,AGR,2.0,139.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Angmering,ANG,1.0,204.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Annan,ANN,2.0,305.0,98.5,VIRGIN WEST COAST,ANYTIME S,307.0
Anniesland,ANL,2.0,344.0,125.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ansdell & Fairhaven,AFV,2.0,230.0,91.65,CROSSCOUNTRY,ANYTIME S,0.0
Apperley Bridge,APY,2.0,164.0,66.2,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Appleby,APP,2.0,284.0,82.3,EAST MIDLANDS TRAINS,ANYTIME S,79.0
Appledore (Kent),APD,2.0,152.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Appleford,APF,2.0,188.0,64.4,CROSSCOUNTRY,ANYTIME S,0.0
Appley Bridge,APB,2.0,213.0,79.1,CROSSCOUNTRY,ANYTIME S,0.0
Apsley,APS,2.0,143.0,86.7,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Arbroath,ARB,1.0,424.0,179.3,CROSSCOUNTRY,ANYTIME S,0.0
Ardgay,ARD,3.0,670.0,213.65,CROSSCOUNTRY,ANYTIME S,0.0
Ardlui,AUI,3.0,444.0,128.0,VIRGIN WEST COAST,ANYTIME S,307.0
Ardrossan Harbour,ADS,2.0,399.0,130.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan South Beach,ASB,2.0,394.0,130.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Town,ADN,2.0,397.0,130.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardwick,ADK,2.0,117.0,69.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Argyle Street,AGS,2.0,337.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arisaig,ARG,3.0,657.0,156.0,VIRGIN WEST COAST,ANYTIME S,307.0
Arlesey,ARL,1.0,111.0,49.55,CROSSCOUNTRY,ANYTIME S,700.0
Armadale (West Lothian),ARM,2.0,409.0,125.5,CROSSCOUNTRY,ANYTIME S,0.0
Armathwaite,AWT,2.0,322.0,122.95,CROSSCOUNTRY,ANYTIME S,0.0
Arnside,ARN,2.0,225.0,92.8,CROSSCOUNTRY,ANYTIME S,0.0
Arram,ARR,1.0,204.0,70.1,EAST MIDLANDS TRAINS,ANYTIME S,79.0
Arrochar & Tarbet,ART,3.0,430.0,128.0,VIRGIN WEST COAST,ANYTIME S,307.0
Arundel,ARU,2.0,202.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ascot (Berks),ACT,2.0,181.0,85.05,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ascott-under-Wychwood,AUW,2.0,211.0,71.45,CROSSCOUNTRY,ANYTIME S,0.0
Ash,ASH,2.0,582.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ash Vale,AHV,2.0,176.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ashburys,ABY,2.0,183.0,69.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ashchurch for Tewkesbury,ASC,1.0,130.0,56.6,CROSSCOUNTRY,ANYTIME S,268.0
Ashfield,ASF,3.0,357.0,125.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ashford (Surrey),AFS,2.0,149.0,91.1,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ashford International,AFK,1.0,139.0,117.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,2.0,152.0,54.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ashtead,AHD,2.0,168.0,91.1,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ashton-under-Lyne,AHN,3.0,220.0,54.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Ashurst (Kent),AHS,2.0,166.0,95.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ashurst New Forest,ANF,2.0,242.0,100.35,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ashwell & Morden,AWM,1.0,146.0,114.8,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Askam,ASK,2.0,377.0,107.45,CROSSCOUNTRY,ANYTIME S,0.0
Aslockton,ALK,1.0,71.0,40.05,CROSSCOUNTRY,ANYTIME S,0.0
Aspatria,ASP,2.0,302.0,134.7,CROSSCOUNTRY,ANYTIME S,0.0
Aspley Guise,APG,1.0,103.0,46.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aston,AST,1.0,84.0,19.8,CROSSCOUNTRY,ANYTIME DAY S,299.0
Atherstone,ATH,1.0,37.0,16.5,CROSSCOUNTRY,ANYTIME DAY S,1000.0
Atherton,ATN,2.0,206.0,79.1,CROSSCOUNTRY,ANYTIME S,0.0
Attadale,ATT,3.0,755.0,220.65,CROSSCOUNTRY,ANYTIME S,0.0
Attenborough,ATB,1.0,43.0,13.3,EAST MIDLANDS TRAINS,ANYTIME DAY S,1000.0
Attleborough,ATL,1.0,161.0,58.45,CROSSCOUNTRY,ANYTIME S,700.0
Auchinleck,AUK,2.0,366.0,123.5,VIRGIN WEST COAST,ANYTIME S,307.0
Audley End,AUD,0.0,127.0,114.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Aughton Park,AUG,2.0,261.0,67.6,WEST MIDLANDS TRAINS,ANYTIME S,0.0
Aviemore,AVM,2.0,532.0,189.3,CROSSCOUNTRY,ANYTIME S,0.0
Avoncliff,AVF,2.0,233.0,93.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Avonmouth,AVN,2.0,231.0,85.05,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Axminster,AXM,2.0,286.0,131.1,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Aylesbury,AYS,2.0,199.0,54.95,CROSSCOUNTRY,ANYTIME S,700.0
Aylesbury Vale Parkway,AVP,2.0,187.0,54.95,CROSSCOUNTRY,ANYTIME S,700.0
Aylesford,AYL,2.0,159.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Aylesham,AYH,2.0,216.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Ayr,AYR,2.0,385.0,123.5,VIRGIN WEST COAST,ANYTIME S,307.0
Bache,BAC,2.0,207.0,52.55,CROSSCOUNTRY,ANYTIME S,0.0
Baglan,BAJ,2.0,285.0,122.4,CROSSCOUNTRY,ANYTIME S,0.0
Bagshot,BAG,2.0,174.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Baildon,BLD,3.0,226.0,65.8,EAST MIDLANDS TRAINS,ANYTIME S,79.0
Baillieston,BIO,2.0,368.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Balcombe,BAB,1.0,155.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Baldock,BDK,1.0,153.0,111.6,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Balham,BAL,2.0,142.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Balloch,BHC,3.0,398.0,125.5,VIRGIN WEST COAST,ANYTIME S,307.0
Balmossie,BSI,2.0,600.0,172.05,CROSSCOUNTRY,ANYTIME S,0.0
Bamber Bridge,BMB,2.0,248.0,88.05,CROSSCOUNTRY,ANYTIME S,0.0
Bamford,BAM,1.0,100.0,45.3,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Banavie,BNV,3.0,599.0,148.0,VIRGIN WEST COAST,ANYTIME S,307.0
Banbury,BAN,1.0,140.0,52.55,CROSSCOUNTRY,ANYTIME S,0.0
Bangor (Gwynedd),BNG,1.0,263.0,89.3,CROSSCOUNTRY,ANYTIME S,0.0
Bank Hall,BAH,3.0,246.0,62.5,WEST MIDLANDS TRAINS,ANYTIME S,0.0
Banstead,BAD,2.0,174.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barassie,BSS,2.0,372.0,130.5,VIRGIN WEST COAST,ANYTIME S,0.0
Barbican,ZBB,1.0,101.0,92.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Bardon Mill,BLL,2.0,312.0,124.7,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Bare Lane,BAR,2.0,217.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0
Bargeddie,BGI,2.0,371.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bargoed,BGD,2.0,270.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0
Barking,BKG,2.0,138.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barlaston,BRT,3.0,131.0,39.35,CROSSCOUNTRY,ANYTIME S,0.0
Barming,BMG,2.0,182.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barmouth,BRM,1.0,299.0,72.05,CROSSCOUNTRY,ANYTIME S,0.0
Barnehurst,BNH,2.0,167.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barnes,BNS,2.0,141.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barnes Bridge,BNI,2.0,140.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barnetby,BTB,1.0,198.0,36.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnham,BAA,2.0,196.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barnhill,BNL,3.0,382.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Barnsley,BNY,1.0,107.0,41.3,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barnstaple,BNP,2.0,330.0,137.2,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Barnt Green,BTG,1.0,114.0,24.7,CROSSCOUNTRY,ANYTIME S,299.0
Barrhead,BRR,2.0,357.0,125.5,VIRGIN WEST COAST,ANYTIME S,0.0
Barrhill,BRL,2.0,462.0,128.0,VIRGIN WEST COAST,ANYTIME S,307.0
Barrow Haven,BAV,2.0,210.0,36.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Barrow-in-Furness,BIF,2.0,265.0,107.45,CROSSCOUNTRY,ANYTIME S,0.0
Barrow-Upon-Soar,BWS,0.0,18.0,4.2,EAST MIDLANDS TRAINS,ANYTIME DAY S,1000.0
Barry,BRY,2.0,255.0,111.05,CROSSCOUNTRY,ANYTIME S,0.0
Barry Docks,BYD,2.0,252.0,111.05,CROSSCOUNTRY,ANYTIME S,0.0
Barry Island,BYI,2.0,262.0,111.05,CROSSCOUNTRY,ANYTIME S,0.0
Barry Links,BYL,2.0,607.0,179.3,CROSSCOUNTRY,ANYTIME S,0.0
Barton-on-Humber,BAU,2.0,215.0,36.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Basildon,BSO,2.0,158.0,95.3,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Basingstoke,BSK,1.0,211.0,93.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Bat & Ball,BBL,2.0,175.0,95.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Bath Spa,BTH,1.0,183.0,88.05,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Bathgate,BHG,2.0,387.0,160.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0
Batley,BTL,1.0,439.0,61.1,EAST MIDLANDS TRAINS,ANYTIME S,79.0
Battersby,BTT,3.0,278.0,110.55,CROSSCOUNTRY,ANYTIME S,79.0
Battersea Park,BAK,2.0,121.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Battle,BAT,2.0,200.0,117.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Battlesbridge,BLB,2.0,152.0,111.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Bayford,BAY,2.0,150.0,90.2,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Beaconsfield,BCF,2.0,159.0,91.1,EAST MIDLANDS TRAINS,ANYTIME S,200.0
