Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,1.0,51.4910605627019,0.121394025366647,52.6314253203989,-1.12527556604253,153.00062881439084,128.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5849649161153112,0.69921875,1.1953174126124284,0.8365978688576517
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,52.6314253203989,-1.12527556604253,186.03249117641533,248.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0,0.6125274100207623,0.4594758064516129,0.7501310128081263,1.3331004623532168
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,52.6314253203989,-1.12527556604253,186.47446199308882,270.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0,0.6110756335321844,0.42203703703703704,0.6906461555299586,1.4479194475971022
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,52.6314253203989,-1.12527556604253,188.50718903694116,295.0,113.95,CROSSCOUNTRY,ANYTIME S,0.0,0.6044862298470197,0.386271186440678,0.6390074204642073,1.564927054013785
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,52.6314253203989,-1.12527556604253,506.1678143123195,481.0,189.9,CROSSCOUNTRY,ANYTIME S,0.0,0.37517201732393535,0.3948024948024948,1.0523239382792504,0.9502777268710526
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.6314253203989,-1.12527556604253,406.40030054619683,421.0,156.7,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.38558042351198357,0.372209026128266,0.9653213789695887,1.0359244307501283
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,52.6314253203989,-1.12527556604253,198.92677547906715,258.0,66.7,CROSSCOUNTRY,ANYTIME S,0.0,0.3352992569218957,0.25852713178294573,0.7710340134847564,1.2969596444655036
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,52.6314253203989,-1.12527556604253,221.29100588596836,384.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0,0.395180995494517,0.22773437500000002,0.5762786611613759,1.7352716097186338
Abergavenny,AGV,2.0,51.8166930409601,-3.00964730040687,52.6314253203989,-1.12527556604253,157.47110506058857,192.0,82.7,CROSSCOUNTRY,ANYTIME S,824.0,0.5251757137805082,0.43072916666666666,0.8201620055238988,1.2192713064795353
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,52.6314253203989,-1.12527556604253,180.849443964621,261.0,72.05,CROSSCOUNTRY,ANYTIME S,0.0,0.3983976860558936,0.2760536398467433,0.692909746990885,1.4431893970935217
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,52.6314253203989,-1.12527556604253,202.1189653830038,261.0,72.05,CROSSCOUNTRY,ANYTIME S,0.0,0.35647322785107965,0.2760536398467433,0.7744021662184053,1.2913187018616488
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,52.6314253203989,-1.12527556604253,149.98066568681472,243.0,97.45,CROSSCOUNTRY,ANYTIME S,0.0,0.6497504165203019,0.40102880658436213,0.6172043855424474,1.6202088375005987
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,52.6314253203989,-1.12527556604253,604.3883063658826,710.0,205.8,CROSSCOUNTRY,ANYTIME S,0.0,0.34050956617187345,0.2898591549295775,0.8512511357265953,1.1747414576386304
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,52.6314253203989,-1.12527556604253,605.4523209895882,719.0,205.8,CROSSCOUNTRY,ANYTIME S,0.0,0.3399111587575186,0.286230876216968,0.8420755507504704,1.1875419006154317
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,52.6314253203989,-1.12527556604253,602.9662322241239,739.0,211.05,CROSSCOUNTRY,ANYTIME S,0.0,0.3500196009675584,0.28558863328822737,0.8159218298026034,1.225607605377994
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.6314253203989,-1.12527556604253,299.8097583673305,225.0,122.95,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.41009338945318846,0.5464444444444445,1.3324878149659134,0.7504759058720407
Acle,ACL,2.0,52.6346777628319,1.54391497575916,52.6314253203989,-1.12527556604253,180.70769602081225,198.0,66.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.3663374690603974,0.33434343434343433,0.9126651314182437,1.0956921280054182
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,52.6314253203989,-1.12527556604253,51.24272334841118,97.0,19.8,CROSSCOUNTRY,ANYTIME DAY S,299.0,0.3863963252962806,0.20412371134020618,0.5282754984372287,1.8929516946332938
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,52.6314253203989,-1.12527556604253,121.90837696753776,174.0,48.3,CROSSCOUNTRY,ANYTIME S,0.0,0.39619918828762285,0.2775862068965517,0.7006228561352745,1.4273014236448525
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,52.6314253203989,-1.12527556604253,138.20689656413336,139.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.6475798402612168,0.6438848920863309,0.9942942198858515,1.0057385228637894
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.6314253203989,-1.12527556604253,137.24245066125508,128.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.6521305876481754,0.69921875,1.0722066457910553,0.9326560359661057
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,52.6314253203989,-1.12527556604253,52.232012417070216,81.0,19.8,CROSSCOUNTRY,ANYTIME DAY S,299.0,0.3790778697534744,0.24444444444444446,0.6448396594700027,1.5507731035369408
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,52.6314253203989,-1.12527556604253,392.3620006294516,370.0,156.7,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.39937608572851624,0.42351351351351346,1.0604378395390583,0.943006711675501
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,52.6314253203989,-1.12527556604253,146.76821259210683,194.0,95.3,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.6493231628081108,0.49123711340206183,0.756537178309829,1.32181210477202
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,52.6314253203989,-1.12527556604253,222.4250659386169,214.0,120.4,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.5413058977499732,0.5626168224299065,1.0393694670028828,0.9621217783928094
Adlington (Cheshire),ADC,2.0,53.3195557900317,-2.13356274381038,52.6314253203989,-1.12527556604253,102.23286825587986,158.0,52.05,CROSSCOUNTRY,ANYTIME S,313.0,0.5091317585820192,0.3294303797468354,0.6470434699739231,1.54549121721343
Adlington (Lancs),ADL,2.0,53.6132468473224,-2.6030711963325,52.6314253203989,-1.12527556604253,147.39439461316215,228.0,88.05,CROSSCOUNTRY,ANYTIME S,0.0,0.5973768556876805,0.3861842105263158,0.6464666430401849,1.5468702225643516
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,52.6314253203989,-1.12527556604253,104.77553067232353,146.0,48.1,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.45907665359795335,0.32945205479452055,0.7176406210433118,1.3934551231871348
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,52.6314253203989,-1.12527556604253,145.91285357819424,208.0,62.5,WEST MIDLANDS TRAINS,ANYTIME S,0.0,0.4283378637818665,0.3004807692307692,0.7015041037413184,1.4255084106660518
Ainsdale,ANS,3.0,53.6020355257546,-3.04265252059266,52.6314253203989,-1.12527556604253,167.7669439498666,303.0,65.0,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.38744223665076594,0.2145214521452145,0.553686283662926,1.806076887772032
Aintree,AIN,3.0,53.4739127558616,-2.95628079876913,52.6314253203989,-1.12527556604253,154.47564389852266,204.0,62.5,WEST MIDLANDS TRAINS,ANYTIME S,0.0,0.404594526507086,0.30637254901960786,0.75723354852217,1.3205965345191286
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,52.6314253203989,-1.12527556604253,397.5226242797306,392.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3106741414372806,0.31505102040816324,1.0140883272442107,0.9861073963029474
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,52.6314253203989,-1.12527556604253,405.090697323874,403.0,125.5,CROSSCOUNTRY,ANYTIME S,0.0,0.30980716375143397,0.31141439205955335,1.0051878345505558,0.9948389401739274
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,52.6314253203989,-1.12527556604253,158.35900939502017,139.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5651715070832873,0.6438848920863309,1.1392734488850371,0.8777523964757199
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,52.6314253203989,-1.12527556604253,77.42885946952073,112.0,28.9,CROSSCOUNTRY,ANYTIME S,268.0,0.3732458439656632,0.25803571428571426,0.6913291024064351,1.446489083880771
Alderley Edge,ALD,2.0,53.3037821045932,-2.23679936267512,52.6314253203989,-1.12527556604253,105.71300855300134,157.0,58.45,CROSSCOUNTRY,ANYTIME S,0.0,0.5529120852775173,0.3722929936305733,0.6733312646687983,1.4851530776487634
Aldermaston,AMT,2.0,51.4019618556841,-1.1374239270022,52.6314253203989,-1.12527556604253,136.80206494514266,184.0,95.7,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.6995508440488489,0.5201086956521739,0.7434894833975144,1.3450089373561986
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,52.6314253203989,-1.12527556604253,156.139470013017,182.0,106.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.6840038588007012,0.5868131868131868,0.8579091758956977,1.165624553386963
Aldrington,AGT,2.0,50.8363824121951,-0.183821512855377,52.6314253203989,-1.12527556604253,210.03905603397519,201.0,117.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5594197680120673,0.5845771144278606,1.0449704280297274,0.9569648797483024
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,52.6314253203989,-1.12527556604253,134.02818144827629,101.0,89.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.6677700095075866,0.8861386138613861,1.327011697507686,0.753572859891243
Alexandra Parade,AXP,3.0,55.8631759802332,-4.21064896878422,52.6314253203989,-1.12527556604253,412.0358668448474,379.0,123.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.2997311883203218,0.3258575197889182,1.0871658755800724,0.9198228370315948
Alexandria,ALX,3.0,55.9850887680667,-4.57748537031666,52.6314253203989,-1.12527556604253,435.5867529028522,396.0,125.5,VIRGIN WEST COAST,ANYTIME S,307.0,0.288117118263213,0.31691919191919193,1.0999665477344753,0.9091185564321302
Alfreton,ALF,1.0,53.1004322999438,-1.36969621564025,52.6314253203989,-1.12527556604253,54.72689015274232,72.0,39.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.7217658428928779,0.5486111111111112,0.7600956965658656,1.315623814893347
Allens West,ALW,2.0,54.5246233650745,-1.36111683481751,52.6314253203989,-1.12527556604253,211.2853739262779,182.0,111.05,CROSSCOUNTRY,ANYTIME S,79.0,0.5255924626318326,0.6101648351648351,1.160908647946582,0.8613942206122785
Alloa,ALO,3.0,56.1177936041036,-3.79005640302655,52.6314253203989,-1.12527556604253,424.8802524440414,396.0,168.45,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.39646464864164427,0.42537878787878786,1.072929930414246,0.9320273129242573
Alness,ASS,3.0,57.6943991747966,-4.24971726526612,52.6314253203989,-1.12527556604253,597.6240227328965,629.0,201.05,CROSSCOUNTRY,ANYTIME S,0.0,0.3364155260704066,0.31963434022257553,0.9501176832001534,1.052501198200874
Alnmouth,ALM,1.0,55.3927786386397,-1.63663783937358,52.6314253203989,-1.12527556604253,309.1733160875024,286.0,122.95,LONDON NORTH EASTERN RAILWAY,ANYTIME S,76.0,0.39767338771630156,0.4298951048951049,1.081025580725533,0.9250474899297457
Alresford (Essex),ALR,2.0,51.8539974379073,0.997436403040026,52.6314253203989,-1.12527556604253,168.82850844848878,186.0,118.1,CROSSCOUNTRY,ANYTIME S,0.0,0.6995264075085604,0.6349462365591397,0.9076801529488644,1.1017096680490452
Alsager,ASG,1.0,53.0930054110113,-2.29905784069112,52.6314253203989,-1.12527556604253,94.2754652274585,107.0,47.3,CROSSCOUNTRY,ANYTIME S,0.0,0.5017212048318112,0.4420560747663551,0.881079114275313,1.1349718587104398
Althorne (Essex),ALN,2.0,51.6478675266105,0.75248341471277,52.6314253203989,-1.12527556604253,168.82331465878698,168.0,111.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.6610461370549295,0.6642857142857143,1.0049006824927798,0.995123217071937
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,52.6314253203989,-1.12527556604253,109.37559405640206,152.0,56.3,EAST MIDLANDS TRAINS,ANYTIME S,79.0,0.5147400613976788,0.3703947368421052,0.7195762766868556,1.3897067376988843
Altnabreac,ABC,3.0,58.3881525009701,-3.7062809681672,52.6314253203989,-1.12527556604253,661.2037951202612,831.0,216.55,CROSSCOUNTRY,ANYTIME S,0.0,0.32750870699496426,0.260589651022864,0.7956724369678234,1.2567985939174107
Alton,AON,2.0,51.1519686627366,-0.966913302570746,52.6314253203989,-1.12527556604253,164.9726730075314,201.0,114.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.6958728249178523,0.5711442786069652,0.8207595672016488,1.2183836046035568
Altrincham,ALT,2.0,53.3877187203289,-2.34688910433965,52.6314253203989,-1.12527556604253,117.50153867457624,144.0,54.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.4646747661000101,0.37916666666666665,0.815982907462335,1.225515866637389
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,52.6314253203989,-1.12527556604253,65.44040382788992,120.0,24.7,CROSSCOUNTRY,ANYTIME S,299.0,0.37744265858996967,0.20583333333333334,0.5453366985657494,1.8337295154168567
Ambergate,AMB,1.0,53.0605170840145,-1.48069758186533,52.6314253203989,-1.12527556604253,53.41883434963826,73.0,15.3,EAST MIDLANDS TRAINS,ANYTIME DAY S,0.0,0.28641583415800626,0.2095890410958904,0.7317648541046337,1.3665592087277423
Amberley,AMY,2.0,50.8966791881016,-0.541992407726222,52.6314253203989,-1.12527556604253,197.1669281546014,198.0,112.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5705825061685149,0.5681818181818182,0.9957925664373809,1.0042252108565863
