Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,199.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aber,ABE,2.0,278.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abercynon,ACY,2.0,285.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdare,ABA,2.0,323.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdeen,ABD,1.0,430.0,159.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aberdour,AUR,2.0,247.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdovey,AVY,1.0,250.0,53.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abererch,ABH,1.0,361.0,58.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergavenny,AGV,1.0,195.0,74.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergele & Pensarn,AGL,1.0,99.0,18.3,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberystwyth,AYW,1.0,252.0,55.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Accrington,ACR,1.0,98.0,17.9,NORTHERN,ANYTIME DAY S,0.0
Achanalt,AAT,3.0,646.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnasheen,ACN,3.0,655.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnashellach,ACH,3.0,675.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acklington,ACK,1.0,263.0,88.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Acle,ACL,2.0,397.0,115.8,VIRGIN WEST COAST,ANYTIME S,200.0
Acocks Green,ACG,1.0,139.0,39.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Acton Bridge (Cheshire),ACB,0.0,28.0,7.9,WEST MIDLANDS TRAINS,ANYTIME DAY S,254.0
Acton Central,ACC,2.0,205.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Main Line,AML,2.0,186.0,162.5,VIRGIN WEST COAST,ANYTIME S,700.0
Adderley Park,ADD,1.0,167.0,39.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Addiewell,ADW,2.0,253.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Addlestone,ASN,2.0,241.0,110.55,VIRGIN WEST COAST,ANYTIME S,200.0
Adisham,ADM,2.0,283.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,97.0,25.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Adlington (Lancs),ADL,1.0,116.0,13.8,NORTHERN,ANYTIME DAY S,0.0
Adwick,AWK,1.0,147.0,38.3,TRANSPENNINE EXPRESS,ANYTIME DAY S,79.0
Aigburth,AIG,0.0,20.0,3.3,MERSEYRAIL,ANYTIME DAY S,0.0
Ainsdale,ANS,1.0,91.0,6.25,MERSEYRAIL,ANYTIME DAY S,1000.0
Aintree,AIN,0.0,17.0,3.75,MERSEYRAIL,ANYTIME DAY S,1000.0
Airbles,AIR,2.0,210.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Airdrie,ADR,2.0,267.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Albany Park,AYP,2.0,201.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Albrighton,ALB,1.0,117.0,36.8,WEST MIDLANDS TRAINS,ANYTIME S,287.0
Alderley Edge,ALD,1.0,105.0,15.7,EAST MIDLANDS TRAINS,ANYTIME DAY S,312.0
Aldermaston,AMT,2.0,240.0,105.8,CROSSCOUNTRY,ANYTIME S,267.0
Aldershot,AHT,2.0,258.0,115.4,VIRGIN WEST COAST,ANYTIME S,200.0
