Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,53.40631168010053,-2.984510383414912,299.96748987770957,199.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6367356678480948,0.9597989949748744,1.5073743209935153,0.6634052246166013
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,53.40631168010053,-2.984510383414912,204.46540388816564,278.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4044694037590515,0.2974820143884892,0.7354870643459196,1.3596432194076942
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,53.40631168010053,-2.984510383414912,197.39865488106676,285.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4189491567195682,0.29017543859649125,0.6926268592318132,1.4437788351278953
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,53.40631168010053,-2.984510383414912,190.74986763497256,323.0,82.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4335520701815553,0.2560371517027864,0.5905568657429491,1.693317033478142
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.40631168010053,-2.984510383414912,419.86015409971964,430.0,159.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.3786975221331349,0.3697674418604651,0.9764189630226038,1.0241505315550188
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,53.40631168010053,-2.984510383414912,295.5043696578399,247.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4517699692717832,0.5404858299595142,1.1963739662260724,0.8358590442706401
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.40631168010053,-2.984510383414912,120.00084745309746,250.0,53.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4491634946250434,0.21559999999999999,0.4800033898123899,2.083318620709849
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.40631168010053,-2.984510383414912,108.79054649713301,361.0,58.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.5414073363585153,0.1631578947368421,0.3013588545626953,3.3183030292941265
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,53.40631168010053,-2.984510383414912,176.89924167714224,195.0,74.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.42283957404699923,0.38358974358974357,0.9071755983443192,1.102322418972792
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,53.40631168010053,-2.984510383414912,41.725632765512756,99.0,18.3,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4385793285111159,0.18484848484848485,0.4214710380354824,2.372642268994561
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,53.40631168010053,-2.984510383414912,132.82682914648365,252.0,55.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4200958523105511,0.22142857142857142,0.5270905918511256,1.897207074950876
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,53.40631168010053,-2.984510383414912,56.1038524412083,98.0,17.9,NORTHERN,ANYTIME DAY S,0.0,0.3190511742265392,0.1826530612244898,0.5724882902164112,1.7467606186704383
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,53.40631168010053,-2.984510383414912,483.52858811871954,646.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.38674031814244325,0.2894736842105263,0.7484962664376463,1.3360120081284403
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,53.40631168010053,-2.984510383414912,482.9072001729672,655.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.387237961937657,0.28549618320610687,0.7372629010274309,1.3563682624019537
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,53.40631168010053,-2.984510383414912,477.40914045050727,675.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4304483986336748,0.30444444444444446,0.7072728006674182,1.4138816013514865
