Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km
Abbey Wood,ABW,0.0,51.4910605627019,0.121394025366647,51.51349214773037,-0.11436054290620458,16.55924234540174,45.0,5.5,ATOC,ANYTIME DAY S,0.0,0.33214080000026514
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,51.51349214773037,-0.11436054290620458,216.2220889150549,163.0,121.0,GWR,ANYTIME S,0.0,0.5596098003083122
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,51.51349214773037,-0.11436054290620458,223.16002590706162,175.0,121.0,GWR,ANYTIME S,0.0,0.5422118029794112
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,51.51349214773037,-0.11436054290620458,231.63733083613226,223.0,121.0,GWR,ANYTIME S,0.0,0.5223683055025328
Aberdeen,ABD,0.0,57.1437058328662,-2.09868538622245,51.51349214773037,-0.11436054290620458,639.7896371912869,438.0,181.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.2836869956143638
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,51.51349214773037,-0.11436054290620458,547.1793943022222,362.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.29515000323787616
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.51349214773037,-0.11436054290620458,293.84234874618994,278.0,177.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6023638211280634
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.51349214773037,-0.11436054290620458,329.40535919155207,397.0,189.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.5752790436229792
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,51.51349214773037,-0.11436054290620458,203.12928738270364,155.0,115.5,GWR,ANYTIME S,0.0,0.5686033830384755
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,51.51349214773037,-0.11436054290620458,308.15214324943673,189.0,153.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.49650798591445355
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.51349214773037,-0.11436054290620458,290.48148164273357,266.0,179.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6162182834778918
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,51.51349214773037,-0.11436054290620458,292.22889458295384,177.0,180.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.615955517529784
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,51.51349214773037,-0.11436054290620458,745.7963246270596,664.0,183.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.24604572849264228
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,51.51349214773037,-0.11436054290620458,747.0941330157656,673.0,183.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.24561831219216346
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,51.51349214773037,-0.11436054290620458,744.9640174743058,693.0,190.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.25504587542921586
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,51.51349214773037,-0.11436054290620458,434.3792205872854,250.0,160.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.36949281271558587
Acle,ACL,1.0,52.6346777628319,1.54391497575916,51.51349214773037,-0.11436054290620458,168.78309271195192,140.0,74.4,GREATER ANGLIA,ANYTIME S,0.0,0.4408024453431026
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,51.51349214773037,-0.11436054290620458,156.70572864068862,157.0,89.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.5679435000367381
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,51.51349214773037,-0.11436054290620458,258.3456934795268,121.0,134.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.5206202518357782
Acton Central,ACC,1.0,51.5087150057177,-0.262970693276422,51.51349214773037,-0.11436054290620458,10.330737245136659,30.0,5.5,ATOC,ANYTIME DAY S,0.0,0.5323918196244128
Acton Main Line,AML,0.0,51.5171788796431,-0.266756440210259,51.51349214773037,-0.11436054290620458,10.586844950961256,10.0,-999.0,N/A,no route found,-998.0,nan
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,51.51349214773037,-0.11436054290620458,161.07016355973002,90.0,89.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.5525542287476223
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,51.51349214773037,-0.11436054290620458,534.1503661389739,348.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3023493200376864
Addlestone,ASN,0.0,51.3730447500684,-0.48445679693337,51.51349214773037,-0.11436054290620458,30.104377367510747,79.0,10.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0,0.35543003827568465
Adisham,ADM,0.0,51.2411978022143,1.19908904695378,51.51349214773037,-0.11436054290620458,96.33667508130044,106.0,34.7,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,131.0,0.3601951174951386
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,51.51349214773037,-0.11436054290620458,243.4186894408336,161.0,171.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.7045473804577588
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,51.51349214773037,-0.11436054290620458,288.19247333295453,230.0,179.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.62284763347244
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,51.51349214773037,-0.11436054290620458,240.23819274063985,122.0,107.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4474725636820643
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,51.51349214773037,-0.11436054290620458,281.05575132434586,187.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.578177102707536
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,51.51349214773037,-0.11436054290620458,305.6529104540645,234.0,167.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.548007214297974
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,51.51349214773037,-0.11436054290620458,291.2386263989784,176.0,162.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.5579617031203318
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,51.51349214773037,-0.11436054290620458,539.8113961024603,324.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.34549103880830423
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,51.51349214773037,-0.11436054290620458,547.3114076913847,337.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.34075664672636
Albany Park,AYP,0.0,51.4354507399114,0.12573706592842,51.51349214773037,-0.11436054290620458,18.806152871761093,36.0,6.6,ATOC,ANYTIME DAY S,0.0,0.3509489710631043
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,51.51349214773037,-0.11436054290620458,193.570320645873,131.0,92.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.47527947307743157
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,51.51349214773037,-0.11436054290620458,246.04030576080385,139.0,165.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.6726540169434526
Aldermaston,AMT,0.0,51.4019618556841,-1.1374239270022,51.51349214773037,-0.11436054290620458,72.18166559636343,47.0,26.2,GWR,ANYTIME DAY S,0.0,0.3629730594817415
Aldershot,AHT,0.0,51.2464179114788,-0.759859888333875,51.51349214773037,-0.11436054290620458,53.875717736747674,57.0,16.0,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0,0.29697980225860976
Aldrington,AGT,1.0,50.8363824121951,-0.183821512855377,51.51349214773037,-0.11436054290620458,75.48600644755165,83.0,30.9,SOUTHERN,ANYTIME DAY S,0.0,0.409347393698322
Alexandra Palace,AAP,0.0,51.5979224924556,-0.120235220128854,51.51349214773037,-0.11436054290620458,9.402459094880566,23.0,4.6,ATOC,ANYTIME DAY S,0.0,0.4892337157313026
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,51.51349214773037,-0.11436054290620458,554.3930711635737,316.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.33640391574261425
