Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,53.47826324565094,-2.24163921811783,273.22124307145964,217.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6990671656890344,0.880184331797235,1.259084069453731,0.7942281411231438
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,53.47826324565094,-2.24163921811783,222.15296241371308,248.0,81.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3673144805876466,0.3290322580645161,0.895778074248843,1.1163479311977496
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,53.47826324565094,-2.24163921811783,216.89705486243562,255.0,81.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3762153435036443,0.31999999999999995,0.8505766857350416,1.1756729484488884
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,53.47826324565094,-2.24163921811783,212.41820019497152,293.0,81.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.38414787398208866,0.2784982935153583,0.7249767924743056,1.3793544984896076
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.47826324565094,-2.24163921811783,408.17117341217477,389.0,126.0,TRANSPENNINE EXPRESS,ANYTIME S,307.0,0.30869401909665023,0.32390745501285345,1.0492832221392667,0.9530315351475946
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,53.47826324565094,-2.24163921811783,294.77340736046284,254.0,71.0,VIRGIN WEST COAST,ANYTIME S,317.0,0.24086297551657312,0.2795275590551181,1.1605252258285939,0.8616788138198532
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.47826324565094,-2.24163921811783,160.17417919142943,222.0,48.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3034196912719406,0.21891891891891893,0.7215053116731055,1.3859911823533086
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.47826324565094,-2.24163921811783,156.45851014727307,333.0,54.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.34897430602276275,0.16396396396396395,0.46984537581763686,2.1283597784904758
Abergavenny,AGV,0.0,51.8166930409601,-3.00964730040687,53.47826324565094,-2.24163921811783,192.06357077102064,157.0,63.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3316610211102632,0.40573248407643314,1.2233348456752906,0.8174376815433488
Abergele & Pensarn,AGL,0.0,53.2945771647609,-3.58262268840784,53.47826324565094,-2.24163921811783,91.53453444895014,107.0,30.1,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3288376368679421,0.28130841121495326,0.8554629387752349,1.1689577124541461
