Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,54.9684027908736,-1.61727998629735,404.0043376738765,281.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0,0.40098579369900456,0.5765124555160143,1.4377378564906635,0.6955370866013597
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,54.9684027908736,-1.61727998629735,392.6555195086487,402.0,184.55,CROSSCOUNTRY,ANYTIME S,700.0,0.470004853697046,0.45907960199004977,0.976755023653355,1.0237981641084393
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,54.9684027908736,-1.61727998629735,387.02875794827685,424.0,184.55,CROSSCOUNTRY,ANYTIME S,700.0,0.47683795121153133,0.4352594339622642,0.9128036744063133,1.0955258266794325
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,54.9684027908736,-1.61727998629735,381.9151859360727,445.0,184.55,CROSSCOUNTRY,ANYTIME S,700.0,0.48322247136538615,0.41471910112359556,0.8582363728900511,1.1651801666626758
Aberdeen,ABD,0.0,57.1437058328662,-2.09868538622245,54.9684027908736,-1.61727998629735,244.05259754669532,250.0,99.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.40769900013443766,0.398,0.9762103901867814,1.0243693470714514
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,54.9684027908736,-1.61727998629735,161.02832345512326,147.0,65.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4067607399405987,0.445578231292517,1.0954307718035596,0.9128828820040917
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,54.9684027908736,-1.61727998629735,314.13845748839185,431.0,139.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.44470836559437243,0.32412993039443155,0.7288595301354799,1.3720064822560811
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,54.9684027908736,-1.61727998629735,292.9740713722578,550.0,147.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.5017508863889164,0.2672727272727273,0.5326801297677415,1.8772992347884625
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,54.9684027908736,-1.61727998629735,362.7700715636643,345.0,179.3,CROSSCOUNTRY,ANYTIME S,700.0,0.4942524592151582,0.5197101449275363,1.0515074538077227,0.9510156075249836
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,54.9684027908736,-1.61727998629735,226.29028669505414,286.0,93.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.41097654414714496,0.32517482517482516,0.7912247786540354,1.2638633508181016
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,54.9684027908736,-1.61727998629735,327.5690431025303,433.0,143.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.43715974697638893,0.330715935334873,0.7565104921536497,1.3218587321283268
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,54.9684027908736,-1.61727998629735,143.8564338429895,199.0,70.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.49076706626173966,0.35477386934673366,0.7228966524773341,1.3833236003694929
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,54.9684027908736,-1.61727998629735,357.9086664523914,475.0,119.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3338840637319291,0.25157894736842107,0.7534919293734555,1.327154228223149
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,54.9684027908736,-1.61727998629735,360.9134395349155,484.0,119.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3311043228370534,0.246900826446281,0.7456889246589163,1.3410417761768523
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,54.9684027908736,-1.61727998629735,362.46779588504523,504.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3683085822121942,0.2648809523809524,0.7191821346925501,1.3904683553179464
Acklington,ACK,0.0,55.3070993237817,-1.65183479633575,54.9684027908736,-1.61727998629735,37.77009415291284,42.0,10.7,NORTHERN,ANYTIME DAY S,274.0,0.28329291308305654,0.25476190476190474,0.8992879560217343,1.1119908737839603
Acle,ACL,2.0,52.6346777628319,1.54391497575916,54.9684027908736,-1.61727998629735,332.87091987699455,261.0,152.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.4581355441212863,0.5842911877394636,1.2753675091072587,0.7840877181354474
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,54.9684027908736,-1.61727998629735,280.68806307225714,292.0,118.3,CROSSCOUNTRY,ANYTIME S,0.0,0.42146430705015836,0.40513698630136985,0.9612604899734833,1.0403007409860205
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,54.9684027908736,-1.61727998629735,200.0962237855166,254.0,90.9,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.454281436602401,0.3578740157480315,0.787780408604396,1.2693892727943878
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,54.9684027908736,-1.61727998629735,395.4857309918634,258.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4096228695627275,0.627906976744186,1.5328904302010211,0.6523623478221215
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,54.9684027908736,-1.61727998629735,394.50934013934796,226.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4106366656434005,0.7168141592920354,1.7456165492891502,0.5728634965148675
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,54.9684027908736,-1.61727998629735,277.06295267745145,254.0,118.3,CROSSCOUNTRY,ANYTIME S,0.0,0.42697877452320876,0.465748031496063,1.090799026289179,0.9167591608528742
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,54.9684027908736,-1.61727998629735,159.26538126503368,145.0,61.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.38300853277392305,0.4206896551724138,1.098381939758853,0.9104301188888334
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,54.9684027908736,-1.61727998629735,407.21832186542383,315.0,163.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4002766851287887,0.5174603174603175,1.2927565773505518,0.7735408332243463
Adisham,ADM,3.0,51.2411978022143,1.19908904695378,54.9684027908736,-1.61727998629735,455.57561232589484,312.0,172.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3786418660984043,0.5528846153846154,1.4601782446342784,0.6848478969432007
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,54.9684027908736,-1.61727998629735,186.6032400220088,231.0,80.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.43300427147176057,0.34978354978354975,0.80780623386151,1.2379206275987216
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,54.9684027908736,-1.61727998629735,163.92958457243174,239.0,70.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.430672719534683,0.2953974895397489,0.6858978433992959,1.4579430590480065
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,54.9684027908736,-1.61727998629735,157.98265627772565,107.0,68.8,LONDON NORTH EASTERN RAILWAY,ANYTIME DAY S,0.0,0.4354908419760522,0.6429906542056074,1.4764734231563146,0.6772895362127557
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,54.9684027908736,-1.61727998629735,197.95247142257986,218.0,80.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.40817878867251856,0.37064220183486235,0.9080388597366049,1.1012744545867457
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,54.9684027908736,-1.61727998629735,178.17376233797074,269.0,83.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.4663986375410926,0.30892193308550187,0.6623559938214526,1.5097621359633444
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,54.9684027908736,-1.61727998629735,187.87638977687138,226.0,80.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.4300700055816536,0.3575221238938053,0.8313114591896964,1.2029185799684865
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,54.9684027908736,-1.61727998629735,175.8466296484285,176.0,74.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.42366464542964755,0.42329545454545453,0.9991285775478892,1.0008721824915163
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,54.9684027908736,-1.61727998629735,179.94582063902038,158.0,74.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4140135054842448,0.47151898734177217,1.1388975989811416,0.878042065322291
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,54.9684027908736,-1.61727998629735,410.0371455801264,242.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0,0.39508615681830506,0.6694214876033058,1.6943683701658114,0.5901904317903076
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,54.9684027908736,-1.61727998629735,262.9087367364397,327.0,124.7,CROSSCOUNTRY,ANYTIME S,0.0,0.47430907602362804,0.3813455657492355,0.8040022530166352,1.2437776091397463
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,54.9684027908736,-1.61727998629735,189.6558296675662,198.0,78.4,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.4133803856038679,0.395959595959596,0.9578577255937687,1.0439963820097684
Aldermaston,AMT,1.0,51.4019618556841,-1.1374239270022,54.9684027908736,-1.61727998629735,398.1994901900689,405.0,168.5,CROSSCOUNTRY,ANYTIME S,0.0,0.42315473563155853,0.4160493827160494,0.9832086177532565,1.0170781479571585
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,54.9684027908736,-1.61727998629735,418.1653252866644,288.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3969721781360092,0.5763888888888888,1.4519629350231404,0.6887228150793413
Aldrington,AGT,3.0,50.8363824121951,-0.183821512855377,54.9684027908736,-1.61727998629735,469.80932196865274,312.0,169.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3607846674683684,0.5432692307692307,1.505799108873887,0.6640992109152267
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,54.9684027908736,-1.61727998629735,388.14346291216407,226.0,160.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.41221871624360606,0.7079646017699115,1.7174489509387791,0.5822589366940936
