Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,193.0,91.5,GREATER ANGLIA,ANYTIME S,0.0
Aber,ABE,3.0,329.0,183.3,GREATER ANGLIA,ANYTIME S,200.0
Abercynon,ACY,3.0,351.0,183.3,GREATER ANGLIA,ANYTIME S,200.0
Aberdare,ABA,3.0,389.0,183.3,GREATER ANGLIA,ANYTIME S,200.0
Aberdeen,ABD,1.0,506.0,178.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Aberdour,AUR,2.0,456.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Aberdovey,AVY,2.0,460.0,102.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Abererch,ABH,2.0,586.0,134.2,CROSSCOUNTRY,ANYTIME S,700.0
Abergavenny,AGV,3.0,336.0,124.7,CROSSCOUNTRY,ANYTIME S,700.0
Abergele & Pensarn,AGL,1.0,410.0,107.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aberystwyth,AYW,2.0,463.0,103.5,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Accrington,ACR,2.0,366.0,105.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Achanalt,AAT,3.0,764.0,182.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Achnasheen,ACN,3.0,773.0,182.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Achnashellach,ACH,3.0,793.0,191.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Acklington,ACK,2.0,394.0,156.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Acle,ACL,0.0,25.0,5.5,GREATER ANGLIA,ANYTIME DAY S,1000.0
Acocks Green,ACG,3.0,302.0,88.05,VIRGIN WEST COAST,ANYTIME S,200.0
Acton Bridge (Cheshire),ACB,2.0,731.0,85.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Acton Central,ACC,1.0,173.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Acton Main Line,AML,2.0,202.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Adderley Park,ADD,2.0,306.0,88.05,VIRGIN WEST COAST,ANYTIME S,200.0
Addiewell,ADW,2.0,426.0,158.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Addlestone,ASN,2.0,250.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Adisham,ADM,2.0,293.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,294.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Adlington (Lancs),ADL,1.0,376.0,105.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Adwick,AWK,2.0,204.0,84.7,LONDON NORTH EASTERN RAILWAY,ANYTIME DAY S,700.0
Aigburth,AIG,1.0,341.0,107.1,VIRGIN WEST COAST,ANYTIME S,200.0
Ainsdale,ANS,5.0,398.0,112.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aintree,AIN,1.0,372.0,107.1,VIRGIN WEST COAST,ANYTIME S,200.0
Airbles,AIR,2.0,484.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Airdrie,ADR,2.0,437.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Albany Park,AYP,2.0,195.0,93.2,GREATER ANGLIA,ANYTIME S,0.0
Albrighton,ALB,2.0,298.0,102.2,CROSSCOUNTRY,ANYTIME S,700.0
Alderley Edge,ALD,1.0,305.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aldermaston,AMT,2.0,225.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Aldershot,AHT,2.0,230.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Aldrington,AGT,2.0,299.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Alexandra Palace,AAP,2.0,166.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Alexandra Parade,AXP,3.0,473.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alexandria,ALX,3.0,520.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alfreton,ALF,0.0,190.0,67.0,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Allens West,ALW,2.0,290.0,141.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alloa,ALO,3.0,512.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alness,ASS,3.0,618.0,182.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alnmouth,ALM,1.0,313.0,156.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alresford (Essex),ALR,1.0,116.0,20.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Alsager,ASG,2.0,324.0,85.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Althorne (Essex),ALN,1.0,157.0,95.5,GREATER ANGLIA,ANYTIME S,0.0
Althorpe,ALP,2.0,266.0,90.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Altnabreac,ABC,3.0,856.0,191.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Alton,AON,2.0,250.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Altrincham,ALT,1.0,319.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Alvechurch,ALV,2.0,318.0,89.8,VIRGIN WEST COAST,ANYTIME S,200.0
Ambergate,AMB,2.0,261.0,60.5,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Amberley,AMY,2.0,274.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Amersham,AMR,2.0,228.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Ammanford,AMF,3.0,429.0,189.2,GREATER ANGLIA,ANYTIME S,200.0
Ancaster,ANC,1.0,172.0,51.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Anderston,AND,2.0,516.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Andover,ADV,2.0,258.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Anerley,ANZ,2.0,184.0,91.5,GREATER ANGLIA,ANYTIME S,0.0
Angel Road,AGR,1.0,157.0,81.4,GREATER ANGLIA,ANYTIME S,0.0
Angmering,ANG,2.0,300.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Annan,ANN,2.0,474.0,125.0,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Anniesland,ANL,2.0,463.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ansdell & Fairhaven,AFV,2.0,406.0,112.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Apperley Bridge,APY,2.0,246.0,107.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Appleby,APP,2.0,392.0,136.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Appledore (Kent),APD,3.0,234.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Appleford,APF,2.0,264.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Appley Bridge,APB,4.0,295.0,102.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Apsley,APS,2.0,193.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Arbroath,ARB,1.0,449.0,172.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardgay,ARD,3.0,659.0,191.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardlui,AUI,3.0,562.0,167.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardrossan Harbour,ADS,2.0,582.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardrossan South Beach,ASB,2.0,548.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardrossan Town,ADN,2.0,580.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ardwick,ADK,1.0,300.0,99.9,VIRGIN WEST COAST,ANYTIME S,200.0
Argyle Street,AGS,2.0,509.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Arisaig,ARG,3.0,777.0,189.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Arlesey,ARL,1.0,173.0,34.7,GREATER ANGLIA,ANYTIME S,700.0
Armadale (West Lothian),ARM,2.0,442.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Armathwaite,AWT,2.0,477.0,121.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Arnside,ARN,1.0,470.0,105.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Arram,ARR,2.0,252.0,113.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Arrochar & Tarbet,ART,3.0,543.0,167.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Arundel,ARU,2.0,283.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Ascot (Berks),ACT,2.0,236.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Ascott-under-Wychwood,AUW,3.0,284.0,118.5,GREATER ANGLIA,ANYTIME S,200.0
Ash,ASH,3.0,238.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Ash Vale,AHV,2.0,225.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Ashburys,ABY,1.0,304.0,99.9,VIRGIN WEST COAST,ANYTIME S,200.0
Ashchurch for Tewkesbury,ASC,3.0,317.0,86.7,GREATER ANGLIA,ANYTIME S,827.0
Ashfield,ASF,3.0,481.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Ashford (Surrey),AFS,2.0,228.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Ashford International,AFK,2.0,215.0,94.4,GREATER ANGLIA,ANYTIME S,0.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,1.0,327.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Ashtead,AHD,2.0,221.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Ashton-under-Lyne,AHN,2.0,343.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Ashurst (Kent),AHS,2.0,235.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Ashurst New Forest,ANF,2.0,311.0,116.9,GREATER ANGLIA,ANYTIME S,0.0
Ashwell & Morden,AWM,1.0,119.0,29.3,GREATER ANGLIA,ANYTIME S,700.0
Askam,ASK,2.0,469.0,113.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aslockton,ALK,0.0,147.0,51.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aspatria,ASP,3.0,436.0,137.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aspley Guise,APG,3.0,226.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Aston,AST,2.0,282.0,88.05,VIRGIN WEST COAST,ANYTIME S,200.0
Atherstone,ATH,2.0,228.0,76.7,CROSSCOUNTRY,ANYTIME S,700.0
Atherton,ATN,2.0,339.0,102.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Attadale,ATT,3.0,809.0,191.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Attenborough,ATB,1.0,230.0,56.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Attleborough,ATL,0.0,21.0,6.9,GREATER ANGLIA,ANYTIME DAY S,1000.0
Auchinleck,AUK,2.0,551.0,137.9,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Audley End,AUD,1.0,105.0,30.1,GREATER ANGLIA,ANYTIME S,0.0
Aughton Park,AUG,4.0,374.0,112.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Aviemore,AVM,2.0,522.0,178.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Avoncliff,AVF,3.0,301.0,165.1,GREATER ANGLIA,ANYTIME S,200.0
Avonmouth,AVN,3.0,369.0,165.1,GREATER ANGLIA,ANYTIME S,200.0
Axminster,AXM,2.0,336.0,155.5,GREATER ANGLIA,ANYTIME S,0.0
Aylesbury,AYS,2.0,241.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Aylesbury Vale Parkway,AVP,2.0,257.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Aylesford,AYL,3.0,231.0,94.4,GREATER ANGLIA,ANYTIME S,0.0
Aylesham,AYH,2.0,295.0,113.3,GREATER ANGLIA,ANYTIME S,0.0
Ayr,AYR,2.0,561.0,137.9,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Bache,BAC,3.0,302.0,107.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Baglan,BAJ,3.0,353.0,183.3,GREATER ANGLIA,ANYTIME S,200.0
Bagshot,BAG,2.0,238.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Baildon,BLD,2.0,302.0,109.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Baillieston,BIO,2.0,512.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Balcombe,BAB,1.0,236.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
Baldock,BDK,1.0,132.0,91.6,GREATER ANGLIA,ANYTIME S,0.0
Balham,BAL,2.0,191.0,89.7,GREATER ANGLIA,ANYTIME S,0.0
