Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,52.62714971818,1.30681996029555,150.29589186843896,193.0,91.5,GREATER ANGLIA,ANYTIME S,0.0,0.6087990753605843,0.4740932642487047,0.7787351910281811,1.2841335687933637
Aber,ABE,3.0,51.5749691125956,-3.22982905106563,52.62714971818,1.30681996029555,332.10941295659757,329.0,183.3,GREATER ANGLIA,ANYTIME S,200.0,0.5519265424252067,0.5571428571428572,1.0094511032115427,0.9906373838401143
Abercynon,ACY,3.0,51.6447124034837,-3.32698855170195,52.62714971818,1.30681996029555,335.50713419283625,351.0,183.3,GREATER ANGLIA,ANYTIME S,200.0,0.5463371157247774,0.5222222222222223,0.9558607811761717,1.0461774556431909
Aberdare,ABA,3.0,51.7150618291708,-3.44308409477462,52.62714971818,1.30681996029555,340.37267562563403,389.0,183.3,GREATER ANGLIA,ANYTIME S,200.0,0.5385273646395938,0.4712082262210797,0.8749940247445605,1.1428649473257064
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,52.62714971818,1.30681996029555,548.0667563178959,506.0,178.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.32569025204014457,0.35276679841897235,1.0831358820511776,0.9232451962594574
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.62714971818,1.30681996029555,484.9048495811787,456.0,162.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.33408616172826977,0.35526315789473684,1.0633878280289006,0.9403906774573519
Aberdovey,AVY,2.0,52.5439615025967,-4.05706796158074,52.62714971818,1.30681996029555,363.58926914165386,460.0,102.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.2813614390807119,0.22239130434782609,0.7904114546557692,1.2651638511938168
Abererch,ABH,2.0,52.8985884658899,-4.37417647351973,52.62714971818,1.30681996029555,384.57898372683496,586.0,134.2,CROSSCOUNTRY,ANYTIME S,700.0,0.3489530257205156,0.2290102389078498,0.6562781292266808,1.5237442106722963
Abergavenny,AGV,3.0,51.8166930409601,-3.00964730040687,52.62714971818,1.30681996029555,308.3996236890037,336.0,124.7,CROSSCOUNTRY,ANYTIME S,700.0,0.40434549986918905,0.3711309523809524,0.9178560228839396,1.089495492831175
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,52.62714971818,1.30681996029555,336.7778009400226,410.0,107.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.31949849336762753,0.2624390243902439,0.8214092705854209,1.2174199096721867
Aberystwyth,AYW,2.0,52.4140498933205,-4.08189442746786,52.62714971818,1.30681996029555,366.45960786672225,463.0,103.5,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.2824322183896511,0.22354211663066956,0.7914894338374131,1.2634407450667484
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,52.62714971818,1.30681996029555,275.7875139331718,366.0,105.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.3814530922726684,0.28743169398907104,0.753517797631617,1.3271086670322874
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,52.62714971818,1.30681996029555,681.4587226223676,764.0,182.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2670741366397563,0.23821989528795812,0.8919616788250886,1.1211243977624934
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,52.62714971818,1.30681996029555,684.7403617310266,773.0,182.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2657941756783596,0.23544631306597671,0.8858219427309529,1.1288950428536921
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,52.62714971818,1.30681996029555,686.4869522796696,793.0,191.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.2789565036364804,0.24148802017654478,0.8656834202770108,1.1551566965207778
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.62714971818,1.30681996029555,355.8469954157395,394.0,156.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.4383906623062636,0.39593908629441626,0.9031649629841104,1.1072174419786402
Acle,ACL,0.0,52.6346777628319,1.54391497575916,52.62714971818,1.30681996029555,16.075145517658694,25.0,5.5,GREATER ANGLIA,ANYTIME DAY S,1000.0,0.3421430925124877,0.22,0.6430058207063477,1.555195875056762
Acocks Green,ACG,3.0,52.4493240670217,-1.81897562150643,52.62714971818,1.30681996029555,212.99339489496222,302.0,88.05,VIRGIN WEST COAST,ANYTIME S,200.0,0.41339310096175463,0.2915562913907285,0.7052761420362987,1.4178843440141955
Acton Bridge (Cheshire),ACB,2.0,53.2665097605329,-2.60312690733168,52.62714971818,1.30681996029555,272.24641793360394,731.0,85.6,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.3144210331570875,0.11709986320109439,0.37243012029220784,2.685067467731671
Acton Central,ACC,1.0,51.5087150057177,-0.262970693276422,52.62714971818,1.30681996029555,164.53627118427,173.0,89.7,GREATER ANGLIA,ANYTIME S,0.0,0.5451685476665616,0.5184971098265896,0.9510767120478034,1.0514398968374041
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.62714971818,1.30681996029555,163.98923751723297,202.0,89.7,GREATER ANGLIA,ANYTIME S,0.0,0.5469871154841719,0.44405940594059407,0.8118279085011533,1.2317881530412789
Adderley Park,ADD,2.0,52.4830872932844,-1.85594463679675,52.62714971818,1.30681996029555,215.09608206393602,306.0,88.05,VIRGIN WEST COAST,ANYTIME S,200.0,0.40935194706999667,0.28774509803921566,0.7029283727579608,1.4226200545533103
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,52.62714971818,1.30681996029555,480.1883758214759,426.0,158.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.33007879403337953,0.3720657276995305,1.1272027601443098,0.8871518375912913
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,52.62714971818,1.30681996029555,186.01480779209686,250.0,84.1,GREATER ANGLIA,ANYTIME S,0.0,0.45211454398832607,0.3364,0.7440592311683875,1.343979024935571
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,52.62714971818,1.30681996029555,154.38730751564765,293.0,113.3,GREATER ANGLIA,ANYTIME S,0.0,0.7338686179789532,0.3866894197952218,0.5269191382786609,1.8978244048352453
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,52.62714971818,1.30681996029555,243.59715582901444,294.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.4101033103609869,0.33979591836734696,0.8285617545204573,1.2069106431044059
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,52.62714971818,1.30681996029555,283.79353242078065,376.0,105.2,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.37069202776622817,0.2797872340425532,0.754770033033991,1.324906867301348
Adwick,AWK,2.0,53.5723210050351,-1.180356329611,52.62714971818,1.30681996029555,197.007566914197,204.0,84.7,LONDON NORTH EASTERN RAILWAY,ANYTIME DAY S,700.0,0.42993272454803483,0.4151960784313726,0.9657233672264559,1.0354932208713
Aigburth,AIG,1.0,53.3645680055959,-2.92715540113816,52.62714971818,1.30681996029555,295.8408585787146,341.0,107.1,VIRGIN WEST COAST,ANYTIME S,200.0,0.36201896017518426,0.31407624633431086,0.8675685002308345,1.1526467359452646
Ainsdale,ANS,5.0,53.6020355257546,-3.04265252059266,52.62714971818,1.30681996029555,310.72698473912163,398.0,112.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.36141051635500593,0.2821608040201005,0.7807210671837227,1.2808671906437432
Aintree,AIN,1.0,53.4739127558616,-2.95628079876913,52.62714971818,1.30681996029555,300.9535968706419,372.0,107.1,VIRGIN WEST COAST,ANYTIME S,200.0,0.35586881537101056,0.2879032258064516,0.8090150453511878,1.2360709553502889
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,52.62714971818,1.30681996029555,492.7185764969139,484.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.3237142003737686,0.32954545454545453,1.018013587803541,0.982305159754884
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,52.62714971818,1.30681996029555,498.44628104282504,437.0,159.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0,0.3199943626147674,0.36498855835240274,1.1406093387707668,0.8767243665370116
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,52.62714971818,1.30681996029555,155.40599648218551,195.0,93.2,GREATER ANGLIA,ANYTIME S,0.0,0.5997194581271109,0.47794871794871796,0.7969538281137719,1.254777836210157
Albrighton,ALB,2.0,52.6379442676754,-2.26890024505565,52.62714971818,1.30681996029555,242.0752295063062,298.0,102.2,CROSSCOUNTRY,ANYTIME S,700.0,0.4221828074207718,0.3429530201342282,0.8123329849204906,1.231022276040998
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,52.62714971818,1.30681996029555,249.69036314853244,305.0,99.9,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.40009553728981057,0.3275409836065574,0.818656928355844,1.2215129016355577
Aldermaston,AMT,2.0,51.4019618556841,-1.1374239270022,52.62714971818,1.30681996029555,216.18464652195834,225.0,113.3,GREATER ANGLIA,ANYTIME S,0.0,0.5240890221521438,0.5035555555555555,0.9608206512087037,1.040776963673719
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,52.62714971818,1.30681996029555,209.27755723605324,230.0,89.7,GREATER ANGLIA,ANYTIME S,0.0,0.4286173882411265,0.39,0.9099024227654489,1.0990189442080167
Aldrington,AGT,2.0,50.8363824121951,-0.183821512855377,52.62714971818,1.30681996029555,224.27436737230457,299.0,113.3,GREATER ANGLIA,ANYTIME S,0.0,0.5051847936412519,0.37892976588628763,0.7500814962284433,1.333188466890859
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,52.62714971818,1.30681996029555,150.56771623704398,166.0,89.7,GREATER ANGLIA,ANYTIME S,0.0,0.5957452383669164,0.5403614457831325,0.9070344351629156,1.102493975127181
