Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,1.0,51.4910605627019,0.121394025366647,52.9470746023914,-1.14638184532088,183.71854880315155,161.0,97.5,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5307030816168055,0.6055900621118012,1.1411089987773388,0.8763404732339044
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,52.9470746023914,-1.14638184532088,208.66038072962644,237.0,114.6,CROSSCOUNTRY,ANYTIME S,0.0,0.5492178227571336,0.4835443037974683,0.88042354738239,1.1358169632935486
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,52.9470746023914,-1.14638184532088,207.66880215344685,259.0,114.6,CROSSCOUNTRY,ANYTIME S,0.0,0.5518402321949247,0.44247104247104246,0.8018100469245052,1.2471781861996991
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,52.9470746023914,-1.14638184532088,208.08455782767177,286.0,114.6,CROSSCOUNTRY,ANYTIME S,0.0,0.5507376481771782,0.40069930069930065,0.7275683840128384,1.3744412511228008
Aberdeen,ABD,2.0,57.1437058328662,-2.09868538622245,52.9470746023914,-1.14638184532088,471.12306058023785,456.0,189.9,CROSSCOUNTRY,ANYTIME S,0.0,0.40307939875861326,0.4164473684210526,1.0331646065356093,0.967899978061757
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.9470746023914,-1.14638184532088,372.95756852461994,340.0,156.7,CROSSCOUNTRY,ANYTIME S,79.0,0.4201550343109763,0.4608823529411764,1.0969340250724116,0.9116318549185192
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,52.9470746023914,-1.14638184532088,201.6007760862999,267.0,83.2,CROSSCOUNTRY,ANYTIME S,0.0,0.41269682396651247,0.31161048689138576,0.7550590864655427,1.3243996634502262
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,52.9470746023914,-1.14638184532088,217.14009478604325,386.0,91.65,CROSSCOUNTRY,ANYTIME S,0.0,0.4220777378323722,0.2374352331606218,0.5625391056633244,1.777654193161982
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,52.9470746023914,-1.14638184532088,178.64534634072373,248.0,110.55,CROSSCOUNTRY,ANYTIME S,0.0,0.6188238443622932,0.44576612903225804,0.7203441384706603,1.3882253586779623
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,52.9470746023914,-1.14638184532088,167.61837290617524,239.0,48.7,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.2905409422346555,0.20376569037656905,0.7013321042099382,1.4258580121988225
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,52.9470746023914,-1.14638184532088,207.18756329841295,274.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0,0.42208131901259666,0.31916058394160585,0.7561589901401933,1.322473200794185
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,52.9470746023914,-1.14638184532088,121.15434003327654,229.0,50.2,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.4143475172759965,0.21921397379912666,0.5290582534204216,1.890151025023968
Achanalt,AAT,3.0,57.6096018732679,-4.91385256332031,52.9470746023914,-1.14638184532088,571.4156827178714,680.0,208.7,CROSSCOUNTRY,ANYTIME S,0.0,0.36523323792469786,0.30691176470588233,0.840317180467458,1.190026841345446
Achnasheen,ACN,3.0,57.5792959197415,-5.07233352893289,52.9470746023914,-1.14638184532088,572.6918680577357,689.0,208.7,CROSSCOUNTRY,ANYTIME S,0.0,0.3644193529546677,0.3029027576197387,0.8311928418835062,1.2030902452600194
Achnashellach,ACH,3.0,57.4820809030767,-5.33305678830677,52.9470746023914,-1.14638184532088,570.6326412624167,709.0,213.65,CROSSCOUNTRY,ANYTIME S,0.0,0.3744090059891068,0.30133991537376587,0.8048415250527738,1.2424806236661676
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.9470746023914,-1.14638184532088,264.756281424132,227.0,117.0,CROSSCOUNTRY,ANYTIME S,0.0,0.4419158607707189,0.5154185022026432,1.1663272309433128,0.8573923110679761
Acle,ACL,1.0,52.6346777628319,1.54391497575916,52.9470746023914,-1.14638184532088,184.7783300516123,186.0,68.0,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.3680085212427574,0.3655913978494624,0.9934318819979155,1.006611543399307
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,52.9470746023914,-1.14638184532088,71.66242626590069,110.0,34.2,CROSSCOUNTRY,ANYTIME S,0.0,0.47723753969900784,0.3109090909090909,0.651476602417279,1.5349745428915456
Acton Bridge (Cheshire),ACB,2.0,53.2665097605329,-2.60312690733168,52.9470746023914,-1.14638184532088,103.83300800723924,153.0,30.1,EAST MIDLANDS TRAINS,ANYTIME S,313.0,0.28988854871565917,0.19673202614379087,0.6786471111584265,1.4735198655646462
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,52.9470746023914,-1.14638184532088,171.04968608846792,174.0,96.6,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.5647481863839136,0.5551724137931034,0.9830441729222295,1.0172482860331364
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.9470746023914,-1.14638184532088,170.07536511878357,180.0,96.6,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.5679834932738959,0.5366666666666666,0.9448631395487976,1.0583543352929738
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,52.9470746023914,-1.14638184532088,70.46395496095842,99.0,34.2,CROSSCOUNTRY,ANYTIME S,0.0,0.48535453366120324,0.34545454545454546,0.7117571208177618,1.4049736500719041
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,52.9470746023914,-1.14638184532088,359.77029244510396,347.0,150.8,CROSSCOUNTRY,ANYTIME S,0.0,0.41915634271834723,0.4345821325648415,1.0368019955190315,0.9645043164672844
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,52.9470746023914,-1.14638184532088,180.90356570730225,208.0,100.7,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.5566501666580207,0.4841346153846154,0.8697286812851069,1.1497838596312642
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,52.9470746023914,-1.14638184532088,248.70353271540912,256.0,137.4,EAST MIDLANDS TRAINS,ANYTIME S,200.0,0.5524650112518767,0.53671875,0.9714981746695669,1.0293380122305709
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,52.9470746023914,-1.14638184532088,77.99824325213214,126.0,42.9,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.550012387603708,0.3404761904761905,0.6190336766042234,1.615420998556345
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,52.9470746023914,-1.14638184532088,122.21475459869963,205.0,58.2,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.4762109140676477,0.2839024390243903,0.5961695346278031,1.6773752127812334
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,52.9470746023914,-1.14638184532088,69.62131551473897,127.0,33.6,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.48261081755754554,0.26456692913385826,0.5481993347617241,1.8241539830300084
Aigburth,AIG,1.0,53.3645680055959,-2.92715540113816,52.9470746023914,-1.14638184532088,127.8611593692197,177.0,55.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.4364108715678739,0.31525423728813556,0.7223794314645181,1.3843140549733635
Ainsdale,ANS,3.0,53.6020355257546,-3.04265252059266,52.9470746023914,-1.14638184532088,145.99210896206927,236.0,62.3,EAST MIDLANDS TRAINS,ANYTIME S,0.0,0.42673539304912966,0.2639830508474576,0.6186106311952088,1.6165257264782442
