Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,-999.0,51.4910605627019,0.121394025366647,53.7568621014464,-2.70812828060979,316.62918181814223,-999.0,192.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.6079667038098954,-999.0,-999.0,-999.0
Aber,ABE,-999.0,51.5749691125956,-3.22982905106563,53.7568621014464,-2.70812828060979,245.35098466202373,-999.0,94.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.3831246087293557,-999.0,-999.0,-999.0
Abercynon,ACY,-999.0,51.6447124034837,-3.32698855170195,53.7568621014464,-2.70812828060979,238.73280337720246,-999.0,94.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.3937456380951476,-999.0,-999.0,-999.0
Aberdare,ABA,-999.0,51.7150618291708,-3.44308409477462,53.7568621014464,-2.70812828060979,232.57059213309665,-999.0,94.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.4041783577960072,-999.0,-999.0,-999.0
Aberdeen,ABD,-999.0,57.1437058328662,-2.09868538622245,53.7568621014464,-2.70812828060979,379.0256207138122,-999.0,159.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.41949670763828084,-999.0,-999.0,-999.0
Aberdour,AUR,-999.0,56.0545955695197,-3.30056061487314,53.7568621014464,-2.70812828060979,258.5924256081405,-999.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.5162564204502261,-999.0,-999.0,-999.0
Aberdovey,AVY,-999.0,52.5439615025967,-4.05706796158074,53.7568621014464,-2.70812828060979,162.36691694688002,-999.0,51.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.3171828409900075,-999.0,-999.0,-999.0
Abererch,ABH,-999.0,52.8985884658899,-4.37417647351973,53.7568621014464,-2.70812828060979,146.43779991532827,-999.0,58.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.39948701792723773,-999.0,-999.0,-999.0
Abergavenny,AGV,-999.0,51.8166930409601,-3.00964730040687,53.7568621014464,-2.70812828060979,216.86198887986907,-999.0,78.0,VIRGIN WEST COAST,ANYTIME S,822.0,0.3596757569313273,-999.0,-999.0,-999.0
Abergele & Pensarn,AGL,-999.0,53.2945771647609,-3.58262268840784,53.7568621014464,-2.70812828060979,77.52724445842853,-999.0,36.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.469512366320698,-999.0,-999.0,-999.0
Aberystwyth,AYW,-999.0,52.4140498933205,-4.08189442746786,53.7568621014464,-2.70812828060979,175.50545532080582,-999.0,54.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.30768274354374675,-999.0,-999.0,-999.0
Accrington,ACR,-999.0,53.7529733751372,-2.36954810226505,53.7568621014464,-2.70812828060979,22.337037621819512,-999.0,8.3,NORTHERN,ANYTIME DAY S,314.0,0.3715801593982321,-999.0,-999.0,-999.0
Achanalt,AAT,-999.0,57.6096018732679,-4.91385256332031,53.7568621014464,-2.70812828060979,450.7671861656797,-999.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4148482980552805,-999.0,-999.0,-999.0
Achnasheen,ACN,-999.0,57.5792959197415,-5.07233352893289,53.7568621014464,-2.70812828060979,450.75716322681836,-999.0,187.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4148575225323767,-999.0,-999.0,-999.0
Achnashellach,ACH,-999.0,57.4820809030767,-5.33305678830677,53.7568621014464,-2.70812828060979,446.4201900894577,-999.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.46032864230181897,-999.0,-999.0,-999.0
Acklington,ACK,-999.0,55.3070993237817,-1.65183479633575,53.7568621014464,-2.70812828060979,185.61358445778848,-999.0,76.4,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0,0.41160780458595475,-999.0,-999.0,-999.0
Acle,ACL,-999.0,52.6346777628319,1.54391497575916,53.7568621014464,-2.70812828060979,310.3443142180198,-999.0,112.3,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.3618561541330775,-999.0,-999.0,-999.0
Acocks Green,ACG,-999.0,52.4493240670217,-1.81897562150643,53.7568621014464,-2.70812828060979,157.22508462337873,-999.0,47.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.30211464101789354,-999.0,-999.0,-999.0
Acton Bridge (Cheshire),ACB,-999.0,53.2665097605329,-2.60312690733168,53.7568621014464,-2.70812828060979,55.016944278281095,-999.0,23.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.42714113457728037,-999.0,-999.0,-999.0
Acton Central,ACC,-999.0,51.5087150057177,-0.262970693276422,53.7568621014464,-2.70812828060979,299.9480773403231,-999.0,180.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.600103863295549,-999.0,-999.0,-999.0
Acton Main Line,AML,-999.0,51.5171788796431,-0.266756440210259,53.7568621014464,-2.70812828060979,299.012952444877,-999.0,177.5,VIRGIN WEST COAST,ANYTIME S,700.0,0.5936197698082063,-999.0,-999.0,-999.0
Adderley Park,ADD,-999.0,52.4830872932844,-1.85594463679675,53.7568621014464,-2.70812828060979,152.80457288782125,-999.0,47.5,VIRGIN WEST COAST,ANYTIME S,0.0,0.3108545713148996,-999.0,-999.0,-999.0
