Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,51.4571434625168,-0.9809963349747686,76.68610421148438,168.0,29.8,GWR,ANYTIME DAY S,0.0,0.38859712990267153,0.1773809523809524,0.45646490602074036,2.1907489202566715
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,51.4571434625168,-0.9809963349747686,156.64840565992512,130.0,108.0,GWR,ANYTIME S,0.0,0.6894420632308377,0.8307692307692308,1.2049877358455778,0.8298839650000823
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,51.4571434625168,-0.9809963349747686,164.05064421219518,152.0,108.0,GWR,ANYTIME S,0.0,0.6583332879833428,0.7105263157894737,1.0792805540275998,0.9265431460506306
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,51.4571434625168,-0.9809963349747686,173.03344660431543,190.0,108.0,GWR,ANYTIME S,0.0,0.624156786560284,0.5684210526315789,0.9107023505490286,1.0980536059856847
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,51.4571434625168,-0.9809963349747686,637.1182889931746,609.0,191.5,CROSSCOUNTRY,ANYTIME S,0.0,0.3005721281406372,0.31444991789819376,1.0461712462942112,0.9558664545046897
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,51.4571434625168,-0.9809963349747686,534.0012136885254,480.0,173.5,CROSSCOUNTRY,ANYTIME S,0.0,0.3249056285875782,0.3614583333333333,1.1125025285177612,0.8988743615103028
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.4571434625168,-0.9809963349747686,243.38836728822574,307.0,85.05,CROSSCOUNTRY,ANYTIME S,700.0,0.3494415158275907,0.2770358306188925,0.7927959846522011,1.2613585580137607
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.4571434625168,-0.9809963349747686,282.08928550107953,433.0,93.95,CROSSCOUNTRY,ANYTIME S,700.0,0.33305057947562655,0.21697459584295611,0.6514764099332091,1.534974996412414
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,51.4571434625168,-0.9809963349747686,146.02844554700508,126.0,89.5,GWR,ANYTIME S,0.0,0.6128942868955682,0.7103174603174603,1.1589559170397228,0.8628455882552134
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,51.4571434625168,-0.9809963349747686,270.5082177643554,253.0,104.05,CROSSCOUNTRY,ANYTIME S,267.0,0.3846463551456313,0.41126482213438736,1.0692024417563453,0.9352765771441106
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.4571434625168,-0.9809963349747686,238.34151734339105,310.0,88.55,CROSSCOUNTRY,ANYTIME S,700.0,0.3715257039016891,0.2856451612903226,0.7688436043335195,1.3006546381651454
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,51.4571434625168,-0.9809963349747686,272.2325434285389,270.0,88.0,VIRGIN WEST COAST,ANYTIME S,200.0,0.3232530501008966,0.32592592592592595,1.008268679364959,0.9917991309913873
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,51.4571434625168,-0.9809963349747686,730.3421457056431,812.0,205.0,CROSSCOUNTRY,ANYTIME S,0.0,0.2806903602720787,0.2524630541871921,0.8994361400315802,1.1118076709313558
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,51.4571434625168,-0.9809963349747686,730.8456516995896,821.0,205.0,CROSSCOUNTRY,ANYTIME S,0.0,0.2804969825342331,0.2496954933008526,0.8901895879410348,1.1233562081005142
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,51.4571434625168,-0.9809963349747686,727.2325452459716,841.0,212.0,CROSSCOUNTRY,ANYTIME S,0.0,0.2915161063484794,0.2520808561236623,0.8647235972009174,1.1564388935805243
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,51.4571434625168,-0.9809963349747686,430.7878510645829,390.0,167.5,CROSSCOUNTRY,ANYTIME S,0.0,0.38882247859605656,0.42948717948717946,1.1045842334989306,0.9053180098654452
Acle,ACL,3.0,52.6346777628319,1.54391497575916,51.4571434625168,-0.9809963349747686,217.17643316030464,240.0,94.4,GREATER ANGLIA,ANYTIME S,0.0,0.43466963070675557,0.39333333333333337,0.9049018048346027,1.1050922814578532
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,51.4571434625168,-0.9809963349747686,124.52243460027984,129.0,60.8,VIRGIN WEST COAST,ANYTIME S,200.0,0.48826542939968637,0.47131782945736433,0.9652901906998437,1.0359579011934135
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,51.4571434625168,-0.9809963349747686,229.65329857051069,187.0,93.3,VIRGIN WEST COAST,ANYTIME S,200.0,0.4062645761273662,0.49893048128342243,1.2280925057246561,0.8142709082081188
Acton Central,ACC,1.0,51.5087150057177,-0.262970693276422,51.4571434625168,-0.9809963349747686,50.20741879571835,87.0,18.5,GWR,ANYTIME DAY S,200.0,0.3684714419451029,0.21264367816091953,0.5770967677668776,1.7328116459039973
Acton Main Line,AML,0.0,51.5171788796431,-0.266756440210259,51.4571434625168,-0.9809963349747686,50.05853470912948,52.0,18.7,GWR,ANYTIME DAY S,0.0,0.3735626723526441,0.3596153846153846,0.9626641290217208,1.0387839017292777
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,51.4571434625168,-0.9809963349747686,129.0193074821126,117.0,60.8,VIRGIN WEST COAST,ANYTIME S,200.0,0.4712472976839485,0.5196581196581196,1.1027291237787402,0.9068410169247035
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,51.4571434625168,-0.9809963349747686,518.0395168284692,479.0,170.0,CROSSCOUNTRY,ANYTIME S,0.0,0.32816029371807476,0.35490605427974947,1.0815021228151758,0.9246398864173989
