Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,1.0,207.0,106.1,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Aber,ABE,2.0,265.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0
Abercynon,ACY,2.0,284.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0
Aberdare,ABA,2.0,318.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0
Aberdeen,ABD,1.0,403.0,206.4,CROSSCOUNTRY,ANYTIME S,0.0
Aberdour,AUR,1.0,279.0,127.15,CROSSCOUNTRY,ANYTIME S,0.0
Aberdovey,AVY,1.0,319.0,74.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abererch,ABH,1.0,430.0,82.0,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergavenny,AGV,1.0,222.0,59.6,CROSSCOUNTRY,ANYTIME S,700.0
Abergele & Pensarn,AGL,1.0,187.0,39.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,92.0
Aberystwyth,AYW,1.0,314.0,77.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Accrington,ACR,1.0,162.0,21.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Achanalt,AAT,2.0,618.0,221.8,CROSSCOUNTRY,ANYTIME S,0.0
Achnasheen,ACN,2.0,627.0,221.8,CROSSCOUNTRY,ANYTIME S,0.0
Achnashellach,ACH,2.0,647.0,248.45,CROSSCOUNTRY,ANYTIME S,0.0
Acklington,ACK,1.0,163.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0
Acle,ACL,1.0,250.0,90.7,EAST MIDLANDS TRAINS,ANYTIME S,700.0
Acocks Green,ACG,2.0,146.0,47.9,CROSSCOUNTRY,ANYTIME S,0.0
Acton Bridge (Cheshire),ACB,2.0,127.0,26.1,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,325.0
Acton Central,ACC,3.0,208.0,117.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acton Main Line,AML,2.0,203.0,117.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adderley Park,ADD,1.0,135.0,47.9,CROSSCOUNTRY,ANYTIME S,0.0
Addiewell,ADW,1.0,286.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0
Addlestone,ASN,2.0,277.0,126.0,CROSSCOUNTRY,ANYTIME S,0.0
Adisham,ADM,2.0,289.0,141.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,70.0,26.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Adlington (Lancs),ADL,1.0,124.0,27.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Adwick,AWK,0.0,52.0,5.3,SOUTH YORKSHIRE PTE,ANYTIME DAY S,53.0
Aigburth,AIG,1.0,120.0,29.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Ainsdale,ANS,2.0,204.0,28.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Aintree,AIN,1.0,151.0,29.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Airbles,AIR,1.0,314.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0
Airdrie,ADR,1.0,291.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0
Albany Park,AYP,2.0,218.0,106.1,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Albrighton,ALB,1.0,176.0,48.3,CROSSCOUNTRY,ANYTIME S,0.0
Alderley Edge,ALD,1.0,81.0,21.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,325.0
Aldermaston,AMT,1.0,239.0,138.0,CROSSCOUNTRY,ANYTIME S,0.0
Aldershot,AHT,2.0,254.0,129.0,CROSSCOUNTRY,ANYTIME S,0.0
Aldrington,AGT,2.0,289.0,140.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandra Palace,AAP,2.0,206.0,108.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alexandra Parade,AXP,2.0,325.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0
Alexandria,ALX,2.0,374.0,163.7,CROSSCOUNTRY,ANYTIME S,0.0
Alfreton,ALF,0.0,27.0,10.8,EAST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Allens West,ALW,1.0,122.0,66.7,CROSSCOUNTRY,ANYTIME S,95.0
Alloa,ALO,1.0,314.0,163.2,CROSSCOUNTRY,ANYTIME S,0.0
Alness,ASS,2.0,628.0,221.8,CROSSCOUNTRY,ANYTIME S,0.0
Alnmouth,ALM,0.0,170.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0
Alresford (Essex),ALR,2.0,242.0,140.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Alsager,ASG,1.0,154.0,30.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Althorne (Essex),ALN,2.0,250.0,127.0,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Althorpe,ALP,0.0,75.0,14.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Altnabreac,ABC,2.0,711.0,248.45,CROSSCOUNTRY,ANYTIME S,0.0
Alton,AON,2.0,274.0,115.4,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Altrincham,ALT,1.0,69.0,22.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0
Alvechurch,ALV,1.0,164.0,52.05,CROSSCOUNTRY,ANYTIME S,0.0
Ambergate,AMB,1.0,97.0,24.9,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Amberley,AMY,2.0,301.0,128.8,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Amersham,AMR,2.0,229.0,117.0,CROSSCOUNTRY,ANYTIME S,0.0
Ammanford,AMF,2.0,351.0,69.8,CROSSCOUNTRY,ANYTIME S,700.0
Ancaster,ANC,1.0,138.0,29.1,EAST MIDLANDS TRAINS,ANYTIME S,0.0
