Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,1.0,51.4910605627019,0.121394025366647,53.3782206064748,-1.46211098820667,235.98584889428273,207.0,106.1,EAST MIDLANDS TRAINS,ANYTIME S,129.0,0.4496032304357827,0.5125603864734299,1.140028255527936,0.8771712412837609
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,53.3782206064748,-1.46211098820667,233.8430006104367,265.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0,0.25059548435072815,0.2211320754716981,0.8824264173978743,1.133238965067286
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,53.3782206064748,-1.46211098820667,230.72133770829564,284.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0,0.2539860447328406,0.2063380281690141,0.8123990764376607,1.2309221280567701
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,53.3782206064748,-1.46211098820667,228.69740619577863,318.0,58.6,CROSSCOUNTRY,ANYTIME S,700.0,0.2562337762144749,0.18427672955974844,0.7191742333200586,1.3904836320171161
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.3782206064748,-1.46211098820667,421.14873063623793,403.0,206.4,CROSSCOUNTRY,ANYTIME S,0.0,0.49008814460437133,0.5121588089330025,1.0450340710576624,0.9569066001722948
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,53.3782206064748,-1.46211098820667,320.59369945763103,279.0,127.15,CROSSCOUNTRY,ANYTIME S,0.0,0.3966079190424136,0.45573476702508964,1.1490813600631937,0.8702603964831568
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.3782206064748,-1.46211098820667,197.53310953398838,319.0,74.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.37816445139869986,0.2341692789968652,0.6192260486958884,1.6149191431885574
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.3782206064748,-1.46211098820667,202.04361175427812,430.0,82.0,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.40585297049493924,0.19069767441860466,0.46986886454483284,2.128253381863706
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,53.3782206064748,-1.46211098820667,202.94186161277025,222.0,59.6,CROSSCOUNTRY,ANYTIME S,700.0,0.2936801679375628,0.2684684684684685,0.9141525297872534,1.0939093503714588
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,53.3782206064748,-1.46211098820667,141.55741498007973,187.0,39.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,92.0,0.2804515751123788,0.21229946524064172,0.7569915239576456,1.3210187543076783
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,53.3782206064748,-1.46211098820667,206.37032863043981,314.0,77.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.37747674540704146,0.24808917197452232,0.6572303459568147,1.521536560434031
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,53.3782206064748,-1.46211098820667,73.17342143496494,162.0,21.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.2883560668097672,0.13024691358024693,0.451687786635586,2.2139186172124306
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,53.3782206064748,-1.46211098820667,518.9938389580249,618.0,221.8,CROSSCOUNTRY,ANYTIME S,0.0,0.4273653815338234,0.35889967637540454,0.8397958559191341,1.1907655806487956
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,53.3782206064748,-1.46211098820667,520.2717363073866,627.0,221.8,CROSSCOUNTRY,ANYTIME S,0.0,0.42631568182853635,0.35374800637958537,0.8297794837438383,1.205139461255601
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,53.3782206064748,-1.46211098820667,518.26402826535,647.0,248.45,CROSSCOUNTRY,ANYTIME S,0.0,0.4793888567407849,0.38400309119010817,0.8010263188027048,1.248398431520579
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,53.3782206064748,-1.46211098820667,215.06010905246308,163.0,87.45,CROSSCOUNTRY,ANYTIME S,0.0,0.4066305015155875,0.5365030674846626,1.3193871721010004,0.7579276357580419
Acle,ACL,1.0,52.6346777628319,1.54391497575916,53.3782206064748,-1.46211098820667,218.07117317317076,250.0,90.7,EAST MIDLANDS TRAINS,ANYTIME S,700.0,0.415919255535783,0.3628,0.872284692692683,1.1464147065484647
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,53.3782206064748,-1.46211098820667,106.12252352231019,146.0,47.9,CROSSCOUNTRY,ANYTIME S,0.0,0.45136506756673533,0.32808219178082193,0.726866599467878,1.3757682643996527
Acton Bridge (Cheshire),ACB,2.0,53.2665097605329,-2.60312690733168,53.3782206064748,-1.46211098820667,77.04173427360003,127.0,26.1,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,325.0,0.33877742039542474,0.20551181102362207,0.6066278289259844,1.6484571797018752
Acton Central,ACC,3.0,51.5087150057177,-0.262970693276422,53.3782206064748,-1.46211098820667,223.4311780145249,208.0,117.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.5236511799279598,0.5625,1.0741883558390621,0.9309354309830397
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,53.3782206064748,-1.46211098820667,222.4577742440056,203.0,117.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.5259425093036626,0.5763546798029556,1.095851104650274,0.9125327298174659
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,53.3782206064748,-1.46211098820667,103.07470063616444,135.0,47.9,CROSSCOUNTRY,ANYTIME S,0.0,0.46471151217871176,0.3548148148148148,0.7635163010086254,1.309729731610148
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,53.3782206064748,-1.46211098820667,307.37536383423696,286.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0,0.3921914837163425,0.4215034965034965,1.074739034385444,0.9304584350300619
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,53.3782206064748,-1.46211098820667,232.84065406367648,277.0,126.0,CROSSCOUNTRY,ANYTIME S,0.0,0.541142613203371,0.4548736462093863,0.8405799785692292,1.189654792518522
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,53.3782206064748,-1.46211098820667,299.1018053918374,289.0,141.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.47308306887224694,0.48961937716262977,1.0349543439163924,0.9662261972019742
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,53.3782206064748,-1.46211098820667,45.18914653688916,70.0,26.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.5886369192276221,0.38,0.6455592362412738,1.5490445242832158
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,53.3782206064748,-1.46211098820667,80.11023283993006,124.0,27.1,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.3382838750968192,0.2185483870967742,0.6460502648381456,1.5478671775647812
Adwick,AWK,0.0,53.5723210050351,-1.180356329611,53.3782206064748,-1.46211098820667,28.577028334322268,52.0,5.3,SOUTH YORKSHIRE PTE,ANYTIME DAY S,53.0,0.18546365066358095,0.10192307692307692,0.5495582371985052,1.8196433650011716
Aigburth,AIG,1.0,53.3645680055959,-2.92715540113816,53.3782206064748,-1.46211098820667,97.52304000821132,120.0,29.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.3035180199213203,0.24666666666666667,0.8126920000684277,1.2304784591404876
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,53.3782206064748,-1.46211098820667,107.82184848020248,204.0,28.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.2596876272728822,0.13725490196078433,0.528538472942169,1.8920098558452845
Aintree,AIN,1.0,53.4739127558616,-2.95628079876913,53.3782206064748,-1.46211098820667,99.89156509651411,151.0,29.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,325.0,0.2963213157327229,0.19602649006622516,0.661533543685524,1.5116391444473363
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,53.3782206064748,-1.46211098820667,313.72542284351226,314.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0,0.3842532074939012,0.3839171974522293,0.9991255504570454,1.0008752148742013
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,53.3782206064748,-1.46211098820667,321.01284373265065,291.0,120.55,CROSSCOUNTRY,ANYTIME S,0.0,0.37553014576699534,0.4142611683848797,1.103136920043473,0.9065057853023281
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,53.3782206064748,-1.46211098820667,241.66927734352814,218.0,106.1,EAST MIDLANDS TRAINS,ANYTIME S,129.0,0.43902974000779144,0.486697247706422,1.1085746667134317,0.9020592207511643
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,53.3782206064748,-1.46211098820667,98.58720756315198,176.0,48.3,CROSSCOUNTRY,ANYTIME S,0.0,0.48992157495748606,0.27443181818181817,0.5601545884269998,1.7852214739651666
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,53.3782206064748,-1.46211098820667,52.260261583049946,81.0,21.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,325.0,0.41140245664161185,0.2654320987654321,0.6451884146055549,1.5499348366497936
Aldermaston,AMT,1.0,51.4019618556841,-1.1374239270022,53.3782206064748,-1.46211098820667,221.01513383317257,239.0,138.0,CROSSCOUNTRY,ANYTIME S,0.0,0.6243916314987084,0.5774058577405857,0.9247495139463288,1.0813739125231254
