Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,3.0,251.0,153.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aber,ABE,1.0,139.0,51.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abercynon,ACY,1.0,161.0,51.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdare,ABA,1.0,199.0,51.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberdeen,ABD,2.0,401.0,168.5,VIRGIN WEST COAST,ANYTIME S,287.0
Aberdour,AUR,2.0,271.0,124.5,VIRGIN WEST COAST,ANYTIME S,287.0
Aberdovey,AVY,0.0,100.0,21.1,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abererch,ABH,0.0,219.0,23.0,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergavenny,AGV,0.0,72.0,31.0,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Abergele & Pensarn,AGL,1.0,119.0,29.1,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aberystwyth,AYW,0.0,109.0,21.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Accrington,ACR,2.0,163.0,39.5,VIRGIN WEST COAST,ANYTIME S,0.0
Achanalt,AAT,3.0,673.0,182.0,VIRGIN WEST COAST,ANYTIME S,287.0
Achnasheen,ACN,3.0,682.0,182.0,VIRGIN WEST COAST,ANYTIME S,287.0
Achnashellach,ACH,3.0,702.0,186.0,VIRGIN WEST COAST,ANYTIME S,287.0
Acklington,ACK,2.0,340.0,120.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Acle,ACL,3.0,346.0,112.3,CROSSCOUNTRY,ANYTIME S,700.0
Acocks Green,ACG,1.0,94.0,15.8,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Acton Bridge (Cheshire),ACB,1.0,96.0,15.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Acton Central,ACC,3.0,221.0,152.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acton Main Line,AML,2.0,557.0,114.5,VIRGIN WEST COAST,ANYTIME S,268.0
Adderley Park,ADD,1.0,86.0,15.8,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Addiewell,ADW,2.0,278.0,124.5,VIRGIN WEST COAST,ANYTIME S,287.0
Addlestone,ASN,3.0,247.0,83.2,VIRGIN WEST COAST,ANYTIME S,268.0
Adisham,ADM,2.0,318.0,188.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adlington (Cheshire),ADC,1.0,161.0,31.0,CROSSCOUNTRY,ANYTIME S,0.0
Adlington (Lancs),ADL,1.0,175.0,37.5,VIRGIN WEST COAST,ANYTIME S,0.0
Adwick,AWK,2.0,224.0,59.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Aigburth,AIG,2.0,101.0,28.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Ainsdale,ANS,2.0,197.0,30.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Aintree,AIN,2.0,132.0,28.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Airbles,AIR,2.0,320.0,115.0,VIRGIN WEST COAST,ANYTIME S,287.0
Airdrie,ADR,2.0,286.0,131.5,VIRGIN WEST COAST,ANYTIME S,287.0
Albany Park,AYP,3.0,261.0,153.5,VIRGIN WEST COAST,ANYTIME S,0.0
Albrighton,ALB,0.0,36.0,8.9,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Alderley Edge,ALD,1.0,95.0,37.05,CROSSCOUNTRY,ANYTIME S,0.0
Aldermaston,AMT,2.0,227.0,92.8,CROSSCOUNTRY,ANYTIME S,700.0
Aldershot,AHT,3.0,297.0,89.3,VIRGIN WEST COAST,ANYTIME S,268.0
Aldrington,AGT,4.0,282.0,182.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Palace,AAP,3.0,216.0,153.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandra Parade,AXP,3.0,312.0,115.0,VIRGIN WEST COAST,ANYTIME S,287.0
Alexandria,ALX,3.0,359.0,120.2,VIRGIN WEST COAST,ANYTIME S,287.0
Alfreton,ALF,1.0,157.0,70.9,CROSSCOUNTRY,ANYTIME S,0.0
Allens West,ALW,2.0,272.0,101.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,95.0
Alloa,ALO,2.0,298.0,159.05,CROSSCOUNTRY,ANYTIME S,0.0
Alness,ASS,3.0,592.0,178.5,VIRGIN WEST COAST,ANYTIME S,287.0
Alnmouth,ALM,1.0,361.0,120.2,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Alresford (Essex),ALR,3.0,327.0,141.0,VIRGIN WEST COAST,ANYTIME S,268.0
Alsager,ASG,1.0,100.0,16.5,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Althorne (Essex),ALN,2.0,266.0,172.0,VIRGIN WEST COAST,ANYTIME S,0.0
Althorpe,ALP,1.0,225.0,70.8,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Altnabreac,ABC,3.0,706.0,191.0,VIRGIN WEST COAST,ANYTIME S,287.0
Alton,AON,3.0,324.0,93.95,VIRGIN WEST COAST,ANYTIME S,268.0
Altrincham,ALT,1.0,128.0,38.7,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0
Alvechurch,ALV,1.0,117.0,19.1,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Ambergate,AMB,2.0,173.0,50.1,CROSSCOUNTRY,ANYTIME S,0.0
Amberley,AMY,2.0,278.0,173.5,VIRGIN WEST COAST,ANYTIME S,0.0
Amersham,AMR,3.0,282.0,71.45,VIRGIN WEST COAST,ANYTIME S,268.0
Ammanford,AMF,0.0,195.0,19.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,824.0
Ancaster,ANC,2.0,238.0,76.2,CROSSCOUNTRY,ANYTIME S,268.0
Anderston,AND,2.0,253.0,115.0,VIRGIN WEST COAST,ANYTIME S,287.0
Andover,ADV,2.0,248.0,98.8,VIRGIN WEST COAST,ANYTIME S,268.0
Anerley,ANZ,3.0,263.0,153.5,VIRGIN WEST COAST,ANYTIME S,0.0
Angel Road,AGR,2.0,207.0,153.5,VIRGIN WEST COAST,ANYTIME S,0.0
Angmering,ANG,2.0,384.0,188.5,VIRGIN WEST COAST,ANYTIME S,0.0
Annan,ANN,2.0,218.0,83.5,VIRGIN WEST COAST,ANYTIME S,287.0
Anniesland,ANL,2.0,264.0,117.6,VIRGIN WEST COAST,ANYTIME S,287.0
Ansdell & Fairhaven,AFV,2.0,141.0,42.5,VIRGIN WEST COAST,ANYTIME S,0.0
Apperley Bridge,APY,2.0,186.0,59.6,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Appleby,APP,2.0,239.0,63.3,NORTHERN,ANYTIME DAY S,0.0
Appledore (Kent),APD,3.0,299.0,188.5,VIRGIN WEST COAST,ANYTIME S,0.0
Appleford,APF,2.0,220.0,64.4,CROSSCOUNTRY,ANYTIME S,700.0
Appley Bridge,APB,1.0,177.0,31.0,VIRGIN WEST COAST,ANYTIME S,0.0
Apsley,APS,1.0,197.0,106.0,VIRGIN WEST COAST,ANYTIME S,700.0
