Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,155.0,48.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,703.0
Aber,ABE,1.0,192.0,132.5,GWR,ANYTIME S,700.0
Abercynon,ACY,1.0,214.0,132.5,GWR,ANYTIME S,700.0
Aberdare,ABA,1.0,252.0,132.5,GWR,ANYTIME S,700.0
Aberdeen,ABD,1.0,673.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdour,AUR,1.0,544.0,184.0,CROSSCOUNTRY,ANYTIME S,0.0
Aberdovey,AVY,1.0,368.0,63.4,CROSSCOUNTRY,ANYTIME S,700.0
Abererch,ABH,1.0,494.0,67.5,CROSSCOUNTRY,ANYTIME S,700.0
Abergavenny,AGV,1.0,188.0,43.3,GWR,ANYTIME DAY S,618.0
Abergele & Pensarn,AGL,2.0,312.0,62.4,CROSSCOUNTRY,ANYTIME S,700.0
Aberystwyth,AYW,1.0,371.0,58.8,CROSSCOUNTRY,ANYTIME S,700.0
Accrington,ACR,2.0,328.0,112.0,VIRGIN WEST COAST,ANYTIME S,200.0
Achanalt,AAT,2.0,945.0,216.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnasheen,ACN,2.0,954.0,216.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Achnashellach,ACH,2.0,974.0,228.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acklington,ACK,1.0,458.0,179.5,CROSSCOUNTRY,ANYTIME S,0.0
Acle,ACL,3.0,296.0,116.9,GREATER ANGLIA,ANYTIME S,0.0
Acocks Green,ACG,1.0,194.0,94.75,CROSSCOUNTRY,ANYTIME S,700.0
Acton Bridge (Cheshire),ACB,1.0,279.0,116.95,CROSSCOUNTRY,ANYTIME S,700.0
Acton Central,ACC,2.0,129.0,45.4,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Acton Main Line,AML,1.0,115.0,47.8,GWR,ANYTIME DAY S,0.0
Adderley Park,ADD,1.0,178.0,94.75,CROSSCOUNTRY,ANYTIME S,700.0
Addiewell,ADW,1.0,553.0,181.0,CROSSCOUNTRY,ANYTIME S,0.0
Addlestone,ASN,1.0,93.0,31.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,700.0
Adisham,ADM,1.0,279.0,80.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Adlington (Cheshire),ADC,1.0,270.0,127.15,CROSSCOUNTRY,ANYTIME S,700.0
Adlington (Lancs),ADL,1.0,339.0,108.0,VIRGIN WEST COAST,ANYTIME S,200.0
Adwick,AWK,1.0,356.0,148.0,CROSSCOUNTRY,ANYTIME S,0.0
Aigburth,AIG,2.0,295.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Ainsdale,ANS,2.0,699.0,139.55,VIRGIN WEST COAST,ANYTIME S,200.0
Aintree,AIN,2.0,320.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Airbles,AIR,1.0,578.0,223.5,VIRGIN WEST COAST,ANYTIME S,0.0
Airdrie,ADR,1.0,551.0,223.5,CROSSCOUNTRY,ANYTIME S,0.0
Albany Park,AYP,2.0,150.0,48.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,703.0
Albrighton,ALB,1.0,259.0,97.45,CROSSCOUNTRY,ANYTIME S,700.0
Alderley Edge,ALD,1.0,270.0,127.15,VIRGIN WEST COAST,ANYTIME S,200.0
Aldermaston,AMT,1.0,85.0,29.6,GWR,ANYTIME DAY S,830.0
Aldershot,AHT,1.0,75.0,27.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Aldrington,AGT,1.0,123.0,64.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Alexandra Palace,AAP,2.0,171.0,47.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Alexandra Parade,AXP,2.0,592.0,223.5,VIRGIN WEST COAST,ANYTIME S,0.0
Alexandria,ALX,2.0,641.0,228.0,VIRGIN WEST COAST,ANYTIME S,0.0
Alfreton,ALF,1.0,274.0,116.95,EAST MIDLANDS TRAINS,ANYTIME S,200.0
