Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,50.9074490473836,-1.41359601975752,125.40306791659351,155.0,48.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,703.0,0.38436061254943277,0.3109677419354839,0.8090520510747968,1.2360144179494206
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,50.9074490473836,-1.41359601975752,146.96894215838995,192.0,132.5,GWR,ANYTIME S,700.0,0.9015510219649222,0.6901041666666666,0.765463240408281,1.3063984620170948
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,50.9074490473836,-1.41359601975752,156.69140316211835,214.0,132.5,GWR,ANYTIME S,700.0,0.8456111651697376,0.6191588785046729,0.7322028185145717,1.3657418063873497
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,50.9074490473836,-1.41359601975752,167.61567709034017,252.0,132.5,GWR,ANYTIME S,700.0,0.7904988501080731,0.5257936507936508,0.6651415757553182,1.5034393224696938
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,50.9074490473836,-1.41359601975752,695.568380313498,673.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.2954418369440249,0.30534918276374445,1.0335339974940534,0.9675540450770257
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,50.9074490473836,-1.41359601975752,586.3305859127672,544.0,184.0,CROSSCOUNTRY,ANYTIME S,0.0,0.3138161378935382,0.3382352941176471,1.077813577045528,0.9278042337721999
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,50.9074490473836,-1.41359601975752,257.87615470230276,368.0,63.4,CROSSCOUNTRY,ANYTIME S,700.0,0.24585444929249153,0.17228260869565218,0.7007504203866922,1.4270415984169857
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,50.9074490473836,-1.41359601975752,300.95252815502215,494.0,67.5,CROSSCOUNTRY,ANYTIME S,700.0,0.22428786497925818,0.13663967611336034,0.6092156440385064,1.641454893329682
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,50.9074490473836,-1.41359601975752,150.2951130203576,188.0,43.3,GWR,ANYTIME DAY S,618.0,0.2880998532143555,0.2303191489361702,0.7994420905338171,1.250872341900666
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,50.9074490473836,-1.41359601975752,304.33635707387845,312.0,62.4,CROSSCOUNTRY,ANYTIME S,700.0,0.20503629799594478,0.19999999999999998,0.9754370419034566,1.025181489979724
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,50.9074490473836,-1.41359601975752,249.34603246088204,371.0,58.8,CROSSCOUNTRY,ANYTIME S,700.0,0.2358168663029546,0.15849056603773584,0.6720917317004906,1.487892132625785
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,50.9074490473836,-1.41359601975752,323.2602869079522,328.0,112.0,VIRGIN WEST COAST,ANYTIME S,200.0,0.3464700259697901,0.34146341463414637,0.9855496552071714,1.0146622189115282
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,50.9074490473836,-1.41359601975752,779.8418760944825,945.0,216.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.2769792269706613,0.22857142857142856,0.8252294985126799,1.2117841179966433
