Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,53.38891476507425,-2.597766621328865,280.65605884479174,182.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.6805482867042849,1.0494505494505495,1.5420662573889656,0.6484805663883763
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,53.38891476507425,-2.597766621328865,206.36422355749033,265.0,76.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.372642111478091,0.290188679245283,0.7787329190848692,1.2841373152365945
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,53.38891476507425,-2.597766621328865,200.30029024236651,287.0,76.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.38392355750932655,0.26794425087108015,0.6979104189629495,1.4328486476615958
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,53.38891476507425,-2.597766621328865,194.8844622452676,325.0,76.9,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3945927710913104,0.23661538461538464,0.599644499216208,1.6676547542870725
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.38891476507425,-2.597766621328865,419.21359370292174,342.0,159.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3792815938900023,0.4649122807017544,1.2257707418214085,0.8158132396879295
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,53.38891476507425,-2.597766621328865,300.1704076266357,203.0,133.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.4447473721861776,0.6576354679802956,1.4786719587519002,0.6762825210022027
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.38891476507425,-2.597766621328865,135.84593539645894,235.0,58.8,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.4328432781473764,0.2502127659574468,0.5780678101976976,1.7299008565413851
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.38891476507425,-2.597766621328865,130.7887049484887,346.0,66.6,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.5092182847611382,0.19248554913294796,0.3780020374233777,2.645488386296604
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,53.38891476507425,-2.597766621328865,177.16555082844306,199.0,52.4,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.2957685608459014,0.2633165829145729,0.8902791498916737,1.1232431986323355
Abergele & Pensarn,AGL,0.0,53.2945771647609,-3.58262268840784,53.38891476507425,-2.597766621328865,66.43156746385031,75.0,20.2,TRANSPORT FOR WALES RAIL,ANYTIME DAY S,1000.0,0.3040723073558684,0.2693333333333333,0.8857542328513375,1.1289813391925807
