Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Abbey Wood,ABW,2.0,117.0,14.5,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Aber,ABE,3.0,230.0,128.5,GWR,ANYTIME S,0.0
Abercynon,ACY,3.0,252.0,128.5,GWR,ANYTIME S,0.0
Aberdare,ABA,3.0,290.0,128.5,GWR,ANYTIME S,0.0
Aberdeen,ABD,1.0,503.0,186.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aberdour,AUR,1.0,366.0,169.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aberdovey,AVY,1.0,303.0,138.5,VIRGIN WEST COAST,ANYTIME S,700.0
Abererch,ABH,1.0,422.0,149.0,VIRGIN WEST COAST,ANYTIME S,700.0
Abergavenny,AGV,1.0,262.0,121.5,GWR,ANYTIME S,0.0
Abergele & Pensarn,AGL,1.0,291.0,148.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aberystwyth,AYW,1.0,249.0,143.5,VIRGIN WEST COAST,ANYTIME S,700.0
Accrington,ACR,1.0,248.0,178.0,VIRGIN WEST COAST,ANYTIME S,700.0
Achanalt,AAT,2.0,885.0,193.0,VIRGIN WEST COAST,ANYTIME S,0.0
Achnasheen,ACN,2.0,894.0,193.0,VIRGIN WEST COAST,ANYTIME S,0.0
Achnashellach,ACH,2.0,914.0,199.5,VIRGIN WEST COAST,ANYTIME S,0.0
Acklington,ACK,2.0,363.0,162.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Acle,ACL,3.0,220.0,84.1,GREATER ANGLIA,ANYTIME S,0.0
Acocks Green,ACG,2.0,156.0,39.0,VIRGIN WEST COAST,ANYTIME S,200.0
Acton Bridge (Cheshire),ACB,1.0,158.0,45.5,WEST MIDLANDS TRAINS,ANYTIME S,42.0
Acton Central,ACC,1.0,61.0,5.9,LONDON OVERGROUND,ANYTIME DAY S,1000.0
Acton Main Line,AML,2.0,86.0,13.7,ATOC,ANYTIME DAY S,200.0
Adderley Park,ADD,1.0,117.0,39.0,VIRGIN WEST COAST,ANYTIME S,200.0
Addiewell,ADW,1.0,372.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Addlestone,ASN,1.0,136.0,22.2,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Adisham,ADM,2.0,180.0,51.3,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,0.0
Adlington (Cheshire),ADC,1.0,122.0,164.0,VIRGIN WEST COAST,ANYTIME S,200.0
Adlington (Lancs),ADL,1.0,252.0,178.0,VIRGIN WEST COAST,ANYTIME S,200.0
Adwick,AWK,3.0,196.0,121.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aigburth,AIG,2.0,170.0,154.0,VIRGIN WEST COAST,ANYTIME S,200.0
Ainsdale,ANS,3.0,259.0,162.5,VIRGIN WEST COAST,ANYTIME S,700.0
Aintree,AIN,2.0,159.0,154.0,VIRGIN WEST COAST,ANYTIME S,200.0
Airbles,AIR,1.0,391.0,193.5,VIRGIN WEST COAST,ANYTIME S,0.0
Airdrie,ADR,1.0,378.0,193.5,VIRGIN WEST COAST,ANYTIME S,0.0
Albany Park,AYP,2.0,99.0,14.5,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Albrighton,ALB,1.0,140.0,39.0,VIRGIN WEST COAST,ANYTIME S,200.0
Alderley Edge,ALD,1.0,138.0,149.5,VIRGIN WEST COAST,ANYTIME S,200.0
Aldermaston,AMT,2.0,124.0,42.0,WEST MIDLANDS TRAINS,ANYTIME DAY S,200.0
