Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance,Journey time,fare,company,fare type,route code,cost per km,cost per min,speed (linear),minutes to travel 1km linear
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,51.663961640202366,-0.3927180131327333,40.49972702937568,117.0,14.5,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0,0.35802710446622793,0.12393162393162394,0.346151513071587,2.88890836017577
Aber,ABE,3.0,51.5749691125956,-3.22982905106563,51.663961640202366,-0.3927180131327333,196.7318173592698,230.0,128.5,GWR,ANYTIME S,0.0,0.6531734506642335,0.558695652173913,0.8553557276489991,1.1691042307608848
Abercynon,ACY,3.0,51.6447124034837,-3.32698855170195,51.663961640202366,-0.3927180131327333,203.06594162882905,252.0,128.5,GWR,ANYTIME S,0.0,0.6327993703389057,0.5099206349206349,0.8058172286858296,1.2409761970848578
Aberdare,ABA,3.0,51.7150618291708,-3.44308409477462,51.663961640202366,-0.3927180131327333,211.00056346604535,290.0,128.5,GWR,ANYTIME S,0.0,0.6090031130209682,0.44310344827586207,0.727588149882915,1.3744039126543253
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,51.663961640202366,-0.3927180131327333,619.889297582311,503.0,186.0,VIRGIN WEST COAST,ANYTIME S,0.0,0.3000535752519623,0.3697813121272366,1.2323842894280537,0.8114352061921346
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,51.663961640202366,-0.3927180131327333,524.6876000883158,366.0,169.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0,0.3230493725627776,0.46311475409836067,1.4335726778369284,0.6975579372152012
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.663961640202366,-0.3927180131327333,269.4560731764204,303.0,138.5,VIRGIN WEST COAST,ANYTIME S,700.0,0.5139984353194378,0.4570957095709571,0.8892939708792752,1.1244875516374704
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.663961640202366,-0.3927180131327333,304.41771436582695,422.0,149.0,VIRGIN WEST COAST,ANYTIME S,700.0,0.4894590326663536,0.35308056872037913,0.7213689913882155,1.3862530992295385
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,51.663961640202366,-0.3927180131327333,181.55059335516023,262.0,121.5,GWR,ANYTIME S,0.0,0.6692349375158161,0.4637404580152672,0.6929411960120619,1.4431238981822536
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,51.663961640202366,-0.3927180131327333,282.6097624817643,291.0,148.0,VIRGIN WEST COAST,ANYTIME S,700.0,0.5236903307951007,0.5085910652920962,0.9711675686658566,1.0296884206849617
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.663961640202366,-0.3927180131327333,266.5125461025974,249.0,143.5,VIRGIN WEST COAST,ANYTIME S,700.0,0.5384361903351366,0.5763052208835341,1.0703315104521984,0.9342899748672404
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,51.663961640202366,-0.3927180131327333,268.1033077882438,248.0,178.0,VIRGIN WEST COAST,ANYTIME S,700.0,0.6639231774812336,0.717741935483871,1.081061724952596,0.925016561883966
