Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,1.0,51.4910605627019,0.121394025366647,52.6314253203989,-1.12527556604253,1.6895611414629723
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,52.6314253203989,-1.12527556604253,2.3548344082608
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,52.6314253203989,-1.12527556604253,2.412704385462216
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,52.6314253203989,-1.12527556604253,2.4923800721236242
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,52.6314253203989,-1.12527556604253,4.616080816148578
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.6314253203989,-1.12527556604253,4.0558549774531825
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,52.6314253203989,-1.12527556604253,2.9330967542786945
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,52.6314253203989,-1.12527556604253,3.2598670606199303
Abergavenny,AGV,2.0,51.8166930409601,-3.00964730040687,52.6314253203989,-1.12527556604253,2.052960184813825
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,52.6314253203989,-1.12527556604253,2.5452554387482995
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,52.6314253203989,-1.12527556604253,2.964598989413835
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,52.6314253203989,-1.12527556604253,1.6751370640890553
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,52.6314253203989,-1.12527556604253,6.255841866274835
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,52.6314253203989,-1.12527556604253,6.329351469957653
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,52.6314253203989,-1.12527556604253,6.421392558955017
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.6314253203989,-1.12527556604253,2.726993948542156
Acle,ACL,2.0,52.6346777628319,1.54391497575916,52.6314253203989,-1.12527556604253,2.669192523372074
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,52.6314253203989,-1.12527556604253,0.717203341760316
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,52.6314253203989,-1.12527556604253,1.6085325091680485
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,52.6314253203989,-1.12527556604253,1.4156440740128617
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.6314253203989,-1.12527556604253,1.4066272498984136
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,52.6314253203989,-1.12527556604253,0.7455745846292354
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,52.6314253203989,-1.12527556604253,4.058752844628788
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,52.6314253203989,-1.12527556604253,1.412150967364283
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,52.6314253203989,-1.12527556604253,2.7083949871588495
Adlington (Cheshire),ADC,2.0,53.3195557900317,-2.13356274381038,52.6314253203989,-1.12527556604253,1.2207237918907445
Adlington (Lancs),ADL,2.0,53.6132468473224,-2.6030711963325,52.6314253203989,-1.12527556604253,1.7742191058701093
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,52.6314253203989,-1.12527556604253,0.9425065410289284
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,52.6314253203989,-1.12527556604253,1.945319803266837
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,52.6314253203989,-1.12527556604253,2.149050617500801
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,52.6314253203989,-1.12527556604253,2.0155310072496304
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,52.6314253203989,-1.12527556604253,4.261700349298484
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,52.6314253203989,-1.12527556604253,4.31457109637678
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,52.6314253203989,-1.12527556604253,1.730718868714131
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,52.6314253203989,-1.12527556604253,1.143643258678796
Alderley Edge,ALD,2.0,53.3037821045932,-2.23679936267512,52.6314253203989,-1.12527556604253,1.2990568870271373
Aldermaston,AMT,2.0,51.4019618556841,-1.1374239270022,52.6314253203989,-1.12527556604253,1.2295234823875956
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,52.6314253203989,-1.12527556604253,1.432401528999056
