Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,53.40631168010053,-2.984510383414912,3.64894903214411
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,53.40631168010053,-2.984510383414912,1.8477004216737782
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,53.40631168010053,-2.984510383414912,1.7945816523998497
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,53.40631168010053,-2.984510383414912,1.7523172963307896
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,53.40631168010053,-2.984510383414912,3.84093751300097
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,53.40631168010053,-2.984510383414912,2.6670761720959377
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,53.40631168010053,-2.984510383414912,1.3762367482093443
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,53.40631168010053,-2.984510383414912,1.4795116438323777
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,53.40631168010053,-2.984510383414912,1.5898173739453667
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,53.40631168010053,-2.984510383414912,0.6084594738371114
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,53.40631168010053,-2.984510383414912,1.4794712547548516
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,53.40631168010053,-2.984510383414912,0.7059411718002718
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,53.40631168010053,-2.984510383414912,4.6249334800772095
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,53.40631168010053,-2.984510383414912,4.666133619095417
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,53.40631168010053,-2.984510383414912,4.703994576409527
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,53.40631168010053,-2.984510383414912,2.3214258305549635
Acle,ACL,1.0,52.6346777628319,1.54391497575916,53.40631168010053,-2.984510383414912,4.59369732741396
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,53.40631168010053,-2.984510383414912,1.5080771110269457
Acton Bridge (Cheshire),ACB,0.0,53.2665097605329,-2.60312690733168,53.40631168010053,-2.984510383414912,0.40619937536156253
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,53.40631168010053,-2.984510383414912,3.3177780853498766
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,53.40631168010053,-2.984510383414912,3.309835227555683
Adderley Park,ADD,0.0,52.4830872932844,-1.85594463679675,53.40631168010053,-2.984510383414912,1.4580822723193057
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,53.40631168010053,-2.984510383414912,2.515227238001682
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,53.40631168010053,-2.984510383414912,3.2224900843976996
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,53.40631168010053,-2.984510383414912,4.710649880642455
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,53.40631168010053,-2.984510383414912,0.8553586790406463
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,53.40631168010053,-2.984510383414912,0.4339562384333647
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,53.40631168010053,-2.984510383414912,1.8117756334111355
Aigburth,AIG,0.0,53.3645680055959,-2.92715540113816,53.40631168010053,-2.984510383414912,0.07093749610125141
Ainsdale,ANS,0.0,53.6020355257546,-3.04265252059266,53.40631168010053,-2.984510383414912,0.20417720703647393
Aintree,AIN,0.0,53.4739127558616,-2.95628079876913,53.40631168010053,-2.984510383414912,0.07325854826112155
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,53.40631168010053,-2.984510383414912,2.582118546859305
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,53.40631168010053,-2.984510383414912,2.652726611292881
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,53.40631168010053,-2.984510383414912,3.6821097270056837
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,53.40631168010053,-2.984510383414912,1.0499935002653347
Alderley Edge,ALD,0.0,53.3037821045932,-2.23679936267512,53.40631168010053,-2.984510383414912,0.7547079464199737
Aldermaston,AMT,2.0,51.4019618556841,-1.1374239270022,53.40631168010053,-2.984510383414912,2.725646087829717
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,53.40631168010053,-2.984510383414912,3.1006791057759067
Aldrington,AGT,2.0,50.8363824121951,-0.183821512855377,53.40631168010053,-2.984510383414912,3.8011043910570232
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,53.40631168010053,-2.984510383414912,3.3873800591324934
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,53.40631168010053,-2.984510383414912,2.7458328462959742
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,53.40631168010053,-2.984510383414912,3.031115401682015
Alfreton,ALF,0.0,53.1004322999438,-1.36969621564025,53.40631168010053,-2.984510383414912,1.643528822884114
Allens West,ALW,1.0,54.5246233650745,-1.36111683481751,53.40631168010053,-2.984510383414912,1.9713010014650172
Alloa,ALO,2.0,56.1177936041036,-3.79005640302655,53.40631168010053,-2.984510383414912,2.8286107215217093
Alness,ASS,2.0,57.6943991747966,-4.24971726526612,53.40631168010053,-2.984510383414912,4.4708436358312165
Alnmouth,ALM,1.0,55.3927786386397,-1.63663783937358,53.40631168010053,-2.984510383414912,2.4005856311217695
Alresford (Essex),ALR,2.0,51.8539974379073,0.997436403040026,53.40631168010053,-2.984510383414912,4.273824951571454
Alsager,ASG,1.0,53.0930054110113,-2.29905784069112,53.40631168010053,-2.984510383414912,0.7536617321962988
Althorne (Essex),ALN,2.0,51.6478675266105,0.75248341471277,53.40631168010053,-2.984510383414912,4.1300421896377815
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,53.40631168010053,-2.984510383414912,2.2584478655930167
Altnabreac,ABC,2.0,58.3881525009701,-3.7062809681672,53.40631168010053,-2.984510383414912,5.033854461691962
Alton,AON,2.0,51.1519686627366,-0.966913302570746,53.40631168010053,-2.984510383414912,3.025352941487721
Altrincham,ALT,1.0,53.3877187203289,-2.34688910433965,53.40631168010053,-2.984510383414912,0.6378923057089205
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,53.40631168010053,-2.984510383414912,1.4690442974095064
Ambergate,AMB,2.0,53.0605170840145,-1.48069758186533,53.40631168010053,-2.984510383414912,1.5430576284723467
Amberley,AMY,2.0,50.8966791881016,-0.541992407726222,53.40631168010053,-2.984510383414912,3.502020746149161
Amersham,AMR,2.0,51.6742050968552,-0.607596139216709,53.40631168010053,-2.984510383414912,2.941073705297801
Ammanford,AMF,1.0,51.7959795450084,-3.99673575596767,53.40631168010053,-2.984510383414912,1.9020435826105417
Ancaster,ANC,1.0,52.9876865844111,-0.535623734022494,53.40631168010053,-2.984510383414912,2.484409948521662
Anderston,AND,2.0,55.8599021238713,-4.27098003165416,53.40631168010053,-2.984510383414912,2.7703989282419355
Andover,ADV,2.0,51.2115476149434,-1.49223307188506,53.40631168010053,-2.984510383414912,2.654031061651656
Anerley,ANZ,2.0,51.4121513855632,-0.0658859220340606,53.40631168010053,-2.984510383414912,3.534832956007947
Angel Road,AGR,2.0,51.61240330726,-0.0487914234374522,53.40631168010053,-2.984510383414912,3.4404291973703636
Angmering,ANG,2.0,50.8165743892467,-0.489394019247872,53.40631168010053,-2.984510383414912,3.5961569635338586
Annan,ANN,2.0,54.9838388790739,-3.2625810423293,53.40631168010053,-2.984510383414912,1.6018474817690516
Anniesland,ANL,2.0,55.8893555064876,-4.32195784208586,53.40631168010053,-2.984510383414912,2.8203319571398517
Ansdell & Fairhaven,AFV,1.0,53.7414654744213,-2.99303444657805,53.40631168010053,-2.984510383414912,0.3352621742762169
Apperley Bridge,APY,1.0,53.8417501065548,-1.70582867126391,53.40631168010053,-2.984510383414912,1.350789970433001
Appleby,APP,1.0,54.5803488158896,-2.48669258391647,53.40631168010053,-2.984510383414912,1.2752198860232993
Appledore (Kent),APD,2.0,51.0332342031393,0.816341504124954,53.40631168010053,-2.984510383414912,4.480844985343281
Appleford,APF,2.0,51.6396415502262,-1.24214153179695,53.40631168010053,-2.984510383414912,2.481324759655348
Appley Bridge,APB,2.0,53.5786734960166,-2.71925251339081,53.40631168010053,-2.984510383414912,0.3163389530165523
Apsley,APS,1.0,51.7325208234117,-0.462934812195194,53.40631168010053,-2.984510383414912,3.0265358404134557
Arbroath,ARB,1.0,56.5595762979872,-2.58893177406225,53.40631168010053,-2.984510383414912,3.1779805201721034
Ardgay,ARD,2.0,57.8814576101148,-4.36209023833324,53.40631168010053,-2.984510383414912,4.682377318371524
Ardlui,AUI,2.0,56.3019723653141,-4.72165858161935,53.40631168010053,-2.984510383414912,3.3767639340671196
Ardrossan Harbour,ADS,2.0,55.6398782290401,-4.82111163323781,53.40631168010053,-2.984510383414912,2.89169909904071
Ardrossan South Beach,ASB,2.0,55.641422142645,-4.80121264089138,53.40631168010053,-2.984510383414912,2.880299614987275
