Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,54.9684027908736,-1.61727998629735,3.887788097448458
Aber,ABE,2.0,51.5749691125956,-3.22982905106563,54.9684027908736,-1.61727998629735,3.7570875176333556
Abercynon,ACY,2.0,51.6447124034837,-3.32698855170195,54.9684027908736,-1.61727998629735,3.7376491501806113
Aberdare,ABA,2.0,51.7150618291708,-3.44308409477462,54.9684027908736,-1.61727998629735,3.7306551777972943
Aberdeen,ABD,0.0,57.1437058328662,-2.09868538622245,54.9684027908736,-1.61727998629735,2.227935026785865
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,54.9684027908736,-1.61727998629735,2.0033093687499806
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,54.9684027908736,-1.61727998629735,3.439546616145674
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,54.9684027908736,-1.61727998629735,3.447406210641098
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,54.9684027908736,-1.61727998629735,3.4455712276922066
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,54.9684027908736,-1.61727998629735,2.5815236127857744
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,54.9684027908736,-1.61727998629735,3.5495130748969106
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,54.9684027908736,-1.61727998629735,1.4293970697251719
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,54.9684027908736,-1.61727998629735,4.224135810839928
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,54.9684027908736,-1.61727998629735,4.330607106728571
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,54.9684027908736,-1.61727998629735,4.486153685967558
Acklington,ACK,0.0,55.3070993237817,-1.65183479633575,54.9684027908736,-1.61727998629735,0.34045466115293394
Acle,ACL,2.0,52.6346777628319,1.54391497575916,54.9684027908736,-1.61727998629735,3.929303512664768
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,54.9684027908736,-1.61727998629735,2.527140428671446
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,54.9684027908736,-1.61727998629735,1.966808083783244
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,54.9684027908736,-1.61727998629735,3.7153187254823483
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,54.9684027908736,-1.61727998629735,3.7060572491510166
