Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,51.449146420501,-2.58131562733598,2.7030346394614315
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,51.449146420501,-2.58131562733598,0.6606065475027366
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,51.449146420501,-2.58131562733598,0.7708917977462771
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,51.449146420501,-2.58131562733598,0.9018624596021102
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,51.449146420501,-2.58131562733598,5.714974965001545
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,51.449146420501,-2.58131562733598,4.66127399069121
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.449146420501,-2.58131562733598,1.8375159906822776
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.449146420501,-2.58131562733598,2.305478747835223
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,51.449146420501,-2.58131562733598,0.5644099045610462
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,51.449146420501,-2.58131562733598,2.09957863925408
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.449146420501,-2.58131562733598,1.7840334770581985
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,51.449146420501,-2.58131562733598,2.313539306254159
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,51.449146420501,-2.58131562733598,6.587255873522491
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,51.449146420501,-2.58131562733598,6.616940612482083
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,51.449146420501,-2.58131562733598,6.630865545917197
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,51.449146420501,-2.58131562733598,3.9683416207691646
Acle,ACL,2.0,52.6346777628319,1.54391497575916,51.449146420501,-2.58131562733598,4.292203640597868
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,51.449146420501,-2.58131562733598,1.2575840365907478
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,51.449146420501,-2.58131562733598,1.8174942205209184
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,51.449146420501,-2.58131562733598,2.319110098642222
Acton Main Line,AML,1.0,51.5171788796431,-0.266756440210259,51.449146420501,-2.58131562733598,2.3155588194224306
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,51.449146420501,-2.58131562733598,1.2630110064159998
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,51.449146420501,-2.58131562733598,4.512276375379428
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,51.449146420501,-2.58131562733598,2.098239361674457
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,51.449146420501,-2.58131562733598,3.786119666523922
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,51.449146420501,-2.58131562733598,1.9232560553222529
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,51.449146420501,-2.58131562733598,2.164209777759754
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,51.449146420501,-2.58131562733598,2.5437290088163103
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,51.449146420501,-2.58131562733598,1.9463928169285334
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,51.449146420501,-2.58131562733598,2.2017636632026085
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,51.449146420501,-2.58131562733598,2.0591934325355323
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,51.449146420501,-2.58131562733598,4.558190940293288
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,51.449146420501,-2.58131562733598,4.631982463240757
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,51.449146420501,-2.58131562733598,2.7070873380400666
