Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,51.47503531074714,-3.1719622835054033,3.2933952975443974
Aber,ABE,0.0,51.5749691125956,-3.22982905106563,51.47503531074714,-3.1719622835054033,0.11547868868218747
Abercynon,ACY,0.0,51.6447124034837,-3.32698855170195,51.47503531074714,-3.1719622835054033,0.22983354766108435
Aberdare,ABA,0.0,51.7150618291708,-3.44308409477462,51.47503531074714,-3.1719622835054033,0.36210463417703603
Aberdeen,ABD,2.0,57.1437058328662,-2.09868538622245,51.47503531074714,-3.1719622835054033,5.769380277515338
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,51.47503531074714,-3.1719622835054033,4.581365483625985
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.47503531074714,-3.1719622835054033,1.3878095204253396
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.47503531074714,-3.1719622835054033,1.8632827332932378
Abergavenny,AGV,0.0,51.8166930409601,-3.00964730040687,51.47503531074714,-3.1719622835054033,0.37825409231434337
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,51.47503531074714,-3.1719622835054033,1.8653081586329048
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.47503531074714,-3.1719622835054033,1.3075644890029487
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,51.47503531074714,-3.1719622835054033,2.4151336077850387
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,51.47503531074714,-3.1719622835054033,6.377075243159001
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,51.47503531074714,-3.1719622835054033,6.393231456233052
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,51.47503531074714,-3.1719622835054033,6.383958506053174
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,51.47503531074714,-3.1719622835054033,4.122560148408179
Acle,ACL,2.0,52.6346777628319,1.54391497575916,51.47503531074714,-3.1719622835054033,4.856363757084698
Acocks Green,ACG,2.0,52.4493240670217,-1.81897562150643,51.47503531074714,-3.1719622835054033,1.6672766681478375
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,51.47503531074714,-3.1719622835054033,1.8796154897802613
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,51.47503531074714,-3.1719622835054033,2.9091865519206994
Acton Main Line,AML,1.0,51.5171788796431,-0.266756440210259,51.47503531074714,-3.1719622835054033,2.9055114992571514
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,51.47503531074714,-3.1719622835054033,1.657730751945527
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,51.47503531074714,-3.1719622835054033,4.389939741992991
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,51.47503531074714,-3.1719622835054033,2.6894400560009406
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,51.47503531074714,-3.1719622835054033,4.377301647579915
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,51.47503531074714,-3.1719622835054033,2.1167261047520967
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,51.47503531074714,-3.1719622835054033,2.2125970361112555
Adwick,AWK,2.0,53.5723210050351,-1.180356329611,51.47503531074714,-3.1719622835054033,2.892248529959445
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,51.47503531074714,-3.1719622835054033,1.9053252254029465
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,51.47503531074714,-3.1719622835054033,2.130927246394476
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,51.47503531074714,-3.1719622835054033,2.0104799286352875
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,51.47503531074714,-3.1719622835054033,4.385570256867734
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,51.47503531074714,-3.1719622835054033,4.46323954840396
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,51.47503531074714,-3.1719622835054033,3.297936921395634
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,51.47503531074714,-3.1719622835054033,1.47237165396275
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,51.47503531074714,-3.1719622835054033,2.053982600826523
Aldermaston,AMT,1.0,51.4019618556841,-1.1374239270022,51.47503531074714,-3.1719622835054033,2.03585020419421
Aldershot,AHT,2.0,51.2464179114788,-0.759859888333875,51.47503531074714,-3.1719622835054033,2.4229122724606524
Aldrington,AGT,1.0,50.8363824121951,-0.183821512855377,51.47503531074714,-3.1719622835054033,3.0556280516531875
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,51.47503531074714,-3.1719622835054033,3.054200276467329
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,51.47503531074714,-3.1719622835054033,4.509395587589659
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,51.47503531074714,-3.1719622835054033,4.723989557084097
Alfreton,ALF,1.0,53.1004322999438,-1.36969621564025,51.47503531074714,-3.1719622835054033,2.426948362010961
Allens West,ALW,2.0,54.5246233650745,-1.36111683481751,51.47503531074714,-3.1719622835054033,3.5467095370399
Alloa,ALO,2.0,56.1177936041036,-3.79005640302655,51.47503531074714,-3.1719622835054033,4.683721267445027
Alness,ASS,2.0,57.6943991747966,-4.24971726526612,51.47503531074714,-3.1719622835054033,6.312055344668193
Alnmouth,ALM,1.0,55.3927786386397,-1.63663783937358,51.47503531074714,-3.1719622835054033,4.207841956632325
Alresford (Essex),ALR,2.0,51.8539974379073,0.997436403040026,51.47503531074714,-3.1719622835054033,4.1865854465409535
Alsager,ASG,1.0,53.0930054110113,-2.29905784069112,51.47503531074714,-3.1719622835054033,1.8384203577075966
Althorne (Essex),ALN,2.0,51.6478675266105,0.75248341471277,51.47503531074714,-3.1719622835054033,3.928249611863198
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,51.47503531074714,-3.1719622835054033,3.225168298711138
Altnabreac,ABC,2.0,58.3881525009701,-3.7062809681672,51.47503531074714,-3.1719622835054033,6.933735338368125
Alton,AON,2.0,51.1519686627366,-0.966913302570746,51.47503531074714,-3.1719622835054033,2.22858992804368
Altrincham,ALT,1.0,53.3877187203289,-2.34688910433965,51.47503531074714,-3.1719622835054033,2.083051505908577
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,51.47503531074714,-3.1719622835054033,1.4862864269151452
Ambergate,AMB,1.0,53.0605170840145,-1.48069758186533,51.47503531074714,-3.1719622835054033,2.3182167164388883
