Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Abbey Wood,ABW,2.0
Aber,ABE,2.0
Abercynon,ACY,2.0
Aberdare,ABA,2.0
Aberdeen,ABD,1.0
Aberdour,AUR,1.0
Aberdovey,AVY,1.0
Abererch,ABH,1.0
Abergavenny,AGV,1.0
Abergele & Pensarn,AGL,1.0
Aberystwyth,AYW,1.0
Accrington,ACR,0.0
Achanalt,AAT,2.0
Achnasheen,ACN,2.0
Achnashellach,ACH,2.0
Acklington,ACK,2.0
Acle,ACL,2.0
Acocks Green,ACG,2.0
Acton Bridge (Cheshire),ACB,1.0
Acton Central,ACC,2.0
Acton Main Line,AML,2.0
Adderley Park,ADD,1.0
Addiewell,ADW,1.0
Addlestone,ASN,2.0
Adisham,ADM,2.0
Adlington (Cheshire),ADC,1.0
Adlington (Lancs),ADL,0.0
Adwick,AWK,1.0
Aigburth,AIG,1.0
Ainsdale,ANS,2.0
Aintree,AIN,1.0
Airbles,AIR,1.0
Airdrie,ADR,1.0
Albany Park,AYP,2.0
Albrighton,ALB,1.0
Alderley Edge,ALD,1.0
Aldermaston,AMT,2.0
Aldershot,AHT,2.0
Aldrington,AGT,2.0
Alexandra Palace,AAP,2.0
Alexandra Parade,AXP,2.0
Alexandria,ALX,2.0
Alfreton,ALF,1.0
Allens West,ALW,2.0
Alloa,ALO,1.0
Alness,ASS,2.0
Alnmouth,ALM,1.0
Alresford (Essex),ALR,2.0
Alsager,ASG,1.0
Althorne (Essex),ALN,2.0
Althorpe,ALP,1.0
Altnabreac,ABC,2.0
Alton,AON,2.0
Altrincham,ALT,1.0
Alvechurch,ALV,1.0
Ambergate,AMB,2.0
Amberley,AMY,2.0
Amersham,AMR,2.0
Ammanford,AMF,1.0
Ancaster,ANC,2.0
Anderston,AND,1.0
Andover,ADV,2.0
Anerley,ANZ,2.0
Angel Road,AGR,2.0
Angmering,ANG,2.0
Annan,ANN,1.0
Anniesland,ANL,1.0
Ansdell & Fairhaven,AFV,0.0
Apperley Bridge,APY,1.0
Appleby,APP,1.0
Appledore (Kent),APD,2.0
Appleford,APF,2.0
Appley Bridge,APB,2.0
Apsley,APS,1.0
Arbroath,ARB,1.0
Ardgay,ARD,2.0
Ardlui,AUI,2.0
Ardrossan Harbour,ADS,1.0
Ardrossan South Beach,ASB,1.0
Ardrossan Town,ADN,1.0
Ardwick,ADK,1.0
