Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,52.7119312404429,-2.7497615909892,3.119945477904943
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,52.7119312404429,-2.7497615909892,1.2341586795802595
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,52.7119312404429,-2.7497615909892,1.213320654293095
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,52.7119312404429,-2.7497615909892,1.2142671523949204
Aberdeen,ABD,2.0,57.1437058328662,-2.09868538622245,52.7119312404429,-2.7497615909892,4.479344400965637
Aberdour,AUR,2.0,56.0545955695197,-3.30056061487314,52.7119312404429,-2.7497615909892,3.3877403061028653
Aberdovey,AVY,0.0,52.5439615025967,-4.05706796158074,52.7119312404429,-2.7497615909892,1.3180530260279162
Abererch,ABH,0.0,52.8985884658899,-4.37417647351973,52.7119312404429,-2.7497615909892,1.635103859208414
Abergavenny,AGV,0.0,51.8166930409601,-3.00964730040687,52.7119312404429,-2.7497615909892,0.9321974124469232
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,52.7119312404429,-2.7497615909892,1.0164319360969325
Aberystwyth,AYW,0.0,52.4140498933205,-4.08189442746786,52.7119312404429,-2.7497615909892,1.3650315714254142
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,52.7119312404429,-2.7497615909892,1.108300962381905
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,52.7119312404429,-2.7497615909892,5.354481054608506
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,52.7119312404429,-2.7497615909892,5.393104794847495
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,52.7119312404429,-2.7497615909892,5.42473426818396
Acklington,ACK,2.0,55.3070993237817,-1.65183479633575,52.7119312404429,-2.7497615909892,2.8178610021075152
Acle,ACL,2.0,52.6346777628319,1.54391497575916,52.7119312404429,-2.7497615909892,4.294371497628841
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,52.7119312404429,-2.7497615909892,0.9671220442727243
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,52.7119312404429,-2.7497615909892,0.5736367015773592
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,52.7119312404429,-2.7497615909892,2.7625818135312157
Acton Main Line,AML,2.0,51.5171788796431,-0.266756440210259,52.7119312404429,-2.7497615909892,2.755494108582244
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,52.7119312404429,-2.7497615909892,0.9226474406581052
Addiewell,ADW,2.0,55.8434130805542,-3.60652712168835,52.7119312404429,-2.7497615909892,3.2465713744720044
Addlestone,ASN,2.0,51.3730447500684,-0.48445679693337,52.7119312404429,-2.7497615909892,2.631391807405288
Adisham,ADM,2.0,51.2411978022143,1.19908904695378,52.7119312404429,-2.7497615909892,4.213843638189059
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,52.7119312404429,-2.7497615909892,0.8653950615340359
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,52.7119312404429,-2.7497615909892,0.9131746246414755
Adwick,AWK,2.0,53.5723210050351,-1.180356329611,52.7119312404429,-2.7497615909892,1.78977747819571
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,52.7119312404429,-2.7497615909892,0.6763159846614116
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,52.7119312404429,-2.7497615909892,0.9370542862471908
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,52.7119312404429,-2.7497615909892,0.7894719836839198
Airbles,AIR,2.0,55.7828378389089,-3.99419330717581,52.7119312404429,-2.7497615909892,3.3134691235551212
Airdrie,ADR,2.0,55.8639835131324,-3.98291292517007,52.7119312404429,-2.7497615909892,3.3846854717623494
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,52.7119312404429,-2.7497615909892,3.146092019342756
Albrighton,ALB,0.0,52.6379442676754,-2.26890024505565,52.7119312404429,-2.7497615909892,0.48651999563463394
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,52.7119312404429,-2.7497615909892,0.783209865280313
