Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,2.0,51.4910605627019,0.121394025366647,50.9074490473836,-1.41359601975752,1.642192692543238
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,50.9074490473836,-1.41359601975752,1.9350156230571582
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,50.9074490473836,-1.41359601975752,2.050519016626937
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,50.9074490473836,-1.41359601975752,2.184275681305515
Aberdeen,ABD,1.0,57.1437058328662,-2.09868538622245,50.9074490473836,-1.41359601975752,6.2737744727174505
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,50.9074490473836,-1.41359601975752,5.482130307057429
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,50.9074490473836,-1.41359601975752,3.109037941755333
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,50.9074490473836,-1.41359601975752,3.5678667025448783
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,50.9074490473836,-1.41359601975752,1.8368735205008984
Abergele & Pensarn,AGL,2.0,53.2945771647609,-3.58262268840784,50.9074490473836,-1.41359601975752,3.2253770846351597
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,50.9074490473836,-1.41359601975752,3.064255619488577
Accrington,ACR,2.0,53.7529733751372,-2.36954810226505,50.9074490473836,-1.41359601975752,3.001808302321797
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,50.9074490473836,-1.41359601975752,7.561127453777182
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,50.9074490473836,-1.41359601975752,7.609198436710574
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,50.9074490473836,-1.41359601975752,7.6542770236052435
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,50.9074490473836,-1.41359601975752,4.40609580800002
Acle,ACL,2.0,52.6346777628319,1.54391497575916,50.9074490473836,-1.41359601975752,3.4249365430721834
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,50.9074490473836,-1.41359601975752,1.594274505127047
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,50.9074490473836,-1.41359601975752,2.6419975739613086
Acton Central,ACC,2.0,51.5087150057177,-0.262970693276422,50.9074490473836,-1.41359601975752,1.2982524387002523
Acton Main Line,AML,1.0,51.5171788796431,-0.266756440210259,50.9074490473836,-1.41359601975752,1.2988500643120173
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,50.9074490473836,-1.41359601975752,1.636553751314592
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,50.9074490473836,-1.41359601975752,5.401174664327134
Addlestone,ASN,1.0,51.3730447500684,-0.48445679693337,50.9074490473836,-1.41359601975752,1.0392685185979702
Adisham,ADM,1.0,51.2411978022143,1.19908904695378,50.9074490473836,-1.41359601975752,2.633915619219278
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,50.9074490473836,-1.41359601975752,2.5172626048292677
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,50.9074490473836,-1.41359601975752,2.95570514934114
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,50.9074490473836,-1.41359601975752,2.6750594953639775
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,50.9074490473836,-1.41359601975752,2.8858786488297867
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,50.9074490473836,-1.41359601975752,3.1487491758368216
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,50.9074490473836,-1.41359601975752,2.9944302119649966
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,50.9074490473836,-1.41359601975752,5.516239500634569
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,50.9074490473836,-1.41359601975752,5.582886643179717
Albany Park,AYP,2.0,51.4354507399114,0.12573706592842,50.9074490473836,-1.41359601975752,1.627369698624016
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,50.9074490473836,-1.41359601975752,1.9303261447914963
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,50.9074490473836,-1.41359601975752,2.533786862556958
Aldermaston,AMT,1.0,51.4019618556841,-1.1374239270022,50.9074490473836,-1.41359601975752,0.5664043982792674
Aldershot,AHT,1.0,51.2464179114788,-0.759859888333875,50.9074490473836,-1.41359601975752,0.7363903994178248
Aldrington,AGT,0.0,50.8363824121951,-0.183821512855377,50.9074490473836,-1.41359601975752,1.2318262070858146
Alexandra Palace,AAP,2.0,51.5979224924556,-0.120235220128854,50.9074490473836,-1.41359601975752,1.4661295087289188
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,50.9074490473836,-1.41359601975752,5.69058297827471
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,50.9074490473836,-1.41359601975752,5.982693453256678
Alfreton,ALF,1.0,53.1004322999438,-1.36969621564025,50.9074490473836,-1.41359601975752,2.1934226083477473
Allens West,ALW,1.0,54.5246233650745,-1.36111683481751,50.9074490473836,-1.41359601975752,3.617554990517016
Alloa,ALO,2.0,56.1177936041036,-3.79005640302655,50.9074490473836,-1.41359601975752,5.726714097367612
Alness,ASS,2.0,57.6943991747966,-4.24971726526612,50.9074490473836,-1.41359601975752,7.355696822954069
Alnmouth,ALM,0.0,55.3927786386397,-1.63663783937358,50.9074490473836,-1.41359601975752,4.490871763421355
Alresford (Essex),ALR,2.0,51.8539974379073,0.997436403040026,50.9074490473836,-1.41359601975752,2.590179761982557
Alsager,ASG,1.0,53.0930054110113,-2.29905784069112,50.9074490473836,-1.41359601975752,2.3581134949201594
Althorne (Essex),ALN,2.0,51.6478675266105,0.75248341471277,50.9074490473836,-1.41359601975752,2.289130760969281
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,50.9074490473836,-1.41359601975752,2.7631361978555113
Altnabreac,ABC,2.0,58.3881525009701,-3.7062809681672,50.9074490473836,-1.41359601975752,7.824150332986022
Alton,AON,1.0,51.1519686627366,-0.966913302570746,50.9074490473836,-1.41359601975752,0.5092300974272221
Altrincham,ALT,1.0,53.3877187203289,-2.34688910433965,50.9074490473836,-1.41359601975752,2.650051628225571
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,50.9074490473836,-1.41359601975752,1.541630318172228
Ambergate,AMB,1.0,53.0605170840145,-1.48069758186533,50.9074490473836,-1.41359601975752,2.154113411591632
Amberley,AMY,0.0,50.8966791881016,-0.541992407726222,50.9074490473836,-1.41359601975752,0.871670147690604
Amersham,AMR,2.0,51.6742050968552,-0.607596139216709,50.9074490473836,-1.41359601975752,1.1124525368900415
Ammanford,AMF,1.0,51.7959795450084,-3.99673575596767,50.9074490473836,-1.41359601975752,2.7316839754988527
Ancaster,ANC,2.0,52.9876865844111,-0.535623734022494,50.9074490473836,-1.41359601975752,2.2579246101181116
Anderston,AND,2.0,55.8599021238713,-4.27098003165416,50.9074490473836,-1.41359601975752,5.717642422035067
Andover,ADV,1.0,51.2115476149434,-1.49223307188506,50.9074490473836,-1.41359601975752,0.3141014561558582
Anerley,ANZ,1.0,51.4121513855632,-0.0658859220340606,50.9074490473836,-1.41359601975752,1.439113253941374
Angel Road,AGR,2.0,51.61240330726,-0.0487914234374522,50.9074490473836,-1.41359601975752,1.536115911855049
Angmering,ANG,0.0,50.8165743892467,-0.489394019247872,50.9074490473836,-1.41359601975752,0.9286590015918292
Annan,ANN,2.0,54.9838388790739,-3.2625810423293,50.9074490473836,-1.41359601975752,4.476125520313616
Anniesland,ANL,1.0,55.8893555064876,-4.32195784208586,50.9074490473836,-1.41359601975752,5.768705266941547
Ansdell & Fairhaven,AFV,2.0,53.7414654744213,-2.99303444657805,50.9074490473836,-1.41359601975752,3.2444221138496787
Apperley Bridge,APY,1.0,53.8417501065548,-1.70582867126391,50.9074490473836,-1.41359601975752,2.9488171575158177
Appleby,APP,1.0,54.5803488158896,-2.48669258391647,50.9074490473836,-1.41359601975752,3.8264512208443437
Appledore (Kent),APD,2.0,51.0332342031393,0.816341504124954,50.9074490473836,-1.41359601975752,2.233482318225865
Appleford,APF,1.0,51.6396415502262,-1.24214153179695,50.9074490473836,-1.41359601975752,0.7519990044280199
Appley Bridge,APB,1.0,53.5786734960166,-2.71925251339081,50.9074490473836,-1.41359601975752,2.9732438403772807
Apsley,APS,2.0,51.7325208234117,-0.462934812195194,50.9074490473836,-1.41359601975752,1.2587693065697212
Arbroath,ARB,1.0,56.5595762979872,-2.58893177406225,50.9074490473836,-1.41359601975752,5.773037033690573
Ardgay,ARD,2.0,57.8814576101148,-4.36209023833324,50.9074490473836,-1.41359601975752,7.571684990147341
Ardlui,AUI,2.0,56.3019723653141,-4.72165858161935,50.9074490473836,-1.41359601975752,6.328045491373125
Ardrossan Harbour,ADS,1.0,55.6398782290401,-4.82111163323781,50.9074490473836,-1.41359601975752,5.831556277316198
Ardrossan South Beach,ASB,2.0,55.641422142645,-4.80121264089138,50.9074490473836,-1.41359601975752,5.821206716690377
Ardrossan Town,ADN,1.0,55.6397124556587,-4.81267645169651,50.9074490473836,-1.41359601975752,5.826496781779772
Ardwick,ADK,1.0,53.471345820655,-2.21388417456067,50.9074490473836,-1.41359601975752,2.685894226269854
Argyle Street,AGS,2.0,55.8573090626122,-4.25069486323156,50.9074490473836,-1.41359601975752,5.705282115548768
Arisaig,ARG,2.0,56.9125537431151,-5.83907949880085,50.9074490473836,-1.41359601975752,7.459637151362117
Arlesey,ARL,1.0,52.0260300130868,-0.266319838272065,50.9074490473836,-1.41359601975752,1.602331430583996
Armadale (West Lothian),ARM,1.0,55.8857140292087,-3.69541334262219,50.9074490473836,-1.41359601975752,5.476295511035845
Armathwaite,AWT,1.0,54.8094679848183,-2.77207147292765,50.9074490473836,-1.41359601975752,4.131731761013146
Arnside,ARN,1.0,54.2027315043991,-2.82824189170434,50.9074490473836,-1.41359601975752,3.586099470808118
Arram,ARR,1.0,53.8843427696163,-0.426570132093475,50.9074490473836,-1.41359601975752,3.13625833380917
Arrochar & Tarbet,ART,2.0,56.2039766194239,-4.72277124702392,50.9074490473836,-1.41359601975752,6.245305837678145
Arundel,ARU,0.0,50.84821399905,-0.546174298416944,50.9074490473836,-1.41359601975752,0.8694419092754452
Ascot (Berks),ACT,1.0,51.406243053303,-0.675833255037063,50.9074490473836,-1.41359601975752,0.8905556452850629
Ascott-under-Wychwood,AUW,1.0,51.8673416456497,-1.56405280921503,50.9074490473836,-1.41359601975752,0.9716126006284135
Ash,ASH,1.0,51.2495967734882,-0.712805474371656,50.9074490473836,-1.41359601975752,0.7798541241673115
Ash Vale,AHV,1.0,51.2722464128127,-0.72164859629209,50.9074490473836,-1.41359601975752,0.7822201446296674
Ashburys,ABY,1.0,53.471639721401,-2.19443661452133,50.9074490473836,-1.41359601975752,2.6804450837778586
Ashchurch for Tewkesbury,ASC,0.0,51.9989057939667,-2.10876020926952,50.9074490473836,-1.41359601975752,1.2940367382890017
Ashfield,ASF,2.0,55.8889269328418,-4.24921509407071,50.9074490473836,-1.41359601975752,5.732002918519657
Ashford (Surrey),AFS,1.0,51.4365062586203,-0.468070995385795,50.9074490473836,-1.41359601975752,1.0834754747915167
Ashford International,AFK,2.0,51.1437026741936,0.876197214386404,50.9074490473836,-1.41359601975752,2.301948920222203
Ashford International (Eurostar),ASI,-999.0,nan,nan,50.9074490473836,-1.41359601975752,nan
Ashley,ASY,1.0,53.3557258053839,-2.34146074338483,50.9074490473836,-1.41359601975752,2.618203970113182
Ashtead,AHD,1.0,51.317872587997,-0.307571763628547,50.9074490473836,-1.41359601975752,1.1797190927654293
Ashton-under-Lyne,AHN,2.0,53.4912746360398,-2.09431253377749,50.9074490473836,-1.41359601975752,2.671989828770694
Ashurst (Kent),AHS,1.0,51.1286608253579,0.152652111896866,50.9074490473836,-1.41359601975752,1.581792609865593
Ashurst New Forest,ANF,0.0,50.8898511647037,-1.52663085660955,50.9074490473836,-1.41359601975752,0.11439650264313413
Ashwell & Morden,AWM,2.0,52.0307706434447,-0.109788918120069,50.9074490473836,-1.41359601975752,1.7209777356077267
Askam,ASK,2.0,54.1889331625586,-3.20451175494515,50.9074490473836,-1.41359601975752,3.738384299224531
Aslockton,ALK,2.0,52.9515495737311,-0.898097621841918,50.9074490473836,-1.41359601975752,2.108099988157031
Aspatria,ASP,2.0,54.7589599137074,-3.33187421074512,50.9074490473836,-1.41359601975752,4.302781329724875
Aspley Guise,APG,2.0,52.0212361960308,-0.632334507265971,50.9074490473836,-1.41359601975752,1.3604746831133017
Aston,AST,1.0,52.5042320347358,-1.8719337575538,50.9074490473836,-1.41359601975752,1.6612613853893148
Atherstone,ATH,1.0,52.5789720633612,-1.55281147568713,50.9074490473836,-1.41359601975752,1.677310387528956
Atherton,ATN,2.0,53.5291462480773,-2.47897234425216,50.9074490473836,-1.41359601975752,2.829898041435222
Attadale,ATT,2.0,57.3950433711996,-5.4555786528295,50.9074490473836,-1.41359601975752,7.6437231580209035
Attenborough,ATB,1.0,52.9062133028873,-1.23141560765685,50.9074490473836,-1.41359601975752,2.007049638557162
Attleborough,ATL,2.0,52.5145445883409,1.02234755537498,50.9074490473836,-1.41359601975752,2.918317525389266
Auchinleck,AUK,2.0,55.4702784722357,-4.29535018687193,50.9074490473836,-1.41359601975752,5.396658173349262
Audley End,AUD,2.0,52.0044405435161,0.207160027997398,50.9074490473836,-1.41359601975752,1.957100025272381
Aughton Park,AUG,2.0,53.5542504500956,-2.89522128047861,50.9074490473836,-1.41359601975752,3.033277283501304
Aviemore,AVM,1.0,57.1885162452285,-3.82886797624022,50.9074490473836,-1.41359601975752,6.7294385923058195
Avoncliff,AVF,0.0,51.3396528744674,-2.28132558221387,50.9074490473836,-1.41359601975752,0.9694094809246342
Avonmouth,AVN,1.0,51.5003648679963,-2.69946651797304,50.9074490473836,-1.41359601975752,1.4159845015090613
Axminster,AXM,1.0,50.7792744117621,-3.00472359764506,50.9074490473836,-1.41359601975752,1.5962818380007253
Aylesbury,AYS,1.0,51.8138902206829,-0.815095998270687,50.9074490473836,-1.41359601975752,1.08620342310819
Aylesbury Vale Parkway,AVP,2.0,51.8311587338339,-0.860182437861177,50.9074490473836,-1.41359601975752,1.0768036856685876
Aylesford,AYL,2.0,51.3013153585378,0.466170568242092,50.9074490473836,-1.41359601975752,1.9205866542340437
Aylesham,AYH,1.0,51.2272505439136,1.2094526827124,50.9074490473836,-1.41359601975752,2.642471852775722
Ayr,AYR,2.0,55.4581477383334,-4.62587677242484,50.9074490473836,-1.41359601975752,5.570242921971102
Bache,BAC,2.0,53.2087886904783,-2.89167051075084,50.9074490473836,-1.41359601975752,2.735117612426274
Baglan,BAJ,1.0,51.615545271975,-3.81113654529303,50.9074490473836,-1.41359601975752,2.4999201656984344
Bagshot,BAG,2.0,51.3643669407293,-0.688661997063008,50.9074490473836,-1.41359601975752,0.8569149890855666
Baildon,BLD,2.0,53.8502255005868,-1.75363638811678,50.9074490473836,-1.41359601975752,2.962357288653939
Baillieston,BIO,2.0,55.844505909339,-4.11369931815988,50.9074490473836,-1.41359601975752,5.6271740936480885
Balcombe,BAB,1.0,51.0555201604538,-0.136933757536862,50.9074490473836,-1.41359601975752,1.2852204426884195
Baldock,BDK,1.0,51.9928698318742,-0.187563753520231,50.9074490473836,-1.41359601975752,1.6374655407852512
Balham,BAL,1.0,51.4432234163815,-0.152424495700288,50.9074490473836,-1.41359601975752,1.3702582922821296
Balloch,BHC,2.0,56.0029392993731,-4.58348654319574,50.9074490473836,-1.41359601975752,6.001018816726323
Balmossie,BSI,2.0,56.4745685552318,-2.83895622541232,50.9074490473836,-1.41359601975752,5.746692207742489
Bamber Bridge,BMB,2.0,53.7268691714662,-2.6607753764786,50.9074490473836,-1.41359601975752,3.0829508889882007
Bamford,BAM,1.0,53.3390008432273,-1.68908191470249,50.9074490473836,-1.41359601975752,2.447107805999639
Banavie,BNV,2.0,56.8433146084024,-5.09542698683765,50.9074490473836,-1.41359601975752,6.985011039979768
Banbury,BAN,0.0,52.0603086671337,-1.32813289497966,50.9074490473836,-1.41359601975752,1.1560230311490909
Bangor (Gwynedd),BNG,1.0,53.2222875881889,-4.1358808597691,50.9074490473836,-1.41359601975752,3.5734174427506327
Bank Hall,BAH,2.0,53.4374965462522,-2.98751189569183,50.9074490473836,-1.41359601975752,2.979656277332893
Banstead,BAD,1.0,51.3293474848423,-0.213158931277083,50.9074490473836,-1.41359601975752,1.272417971788155
Barassie,BSS,2.0,55.5610644543682,-4.65113966824502,50.9074490473836,-1.41359601975752,5.669023304942941
Barbican,ZBB,1.0,nan,nan,50.9074490473836,-1.41359601975752,nan
Bardon Mill,BLL,1.0,54.9744957852522,-2.34650475516335,50.9074490473836,-1.41359601975752,4.172671551488822
Bare Lane,BAR,2.0,54.0745443408907,-2.83533086719705,50.9074490473836,-1.41359601975752,3.4715735012496425
Bargeddie,BGI,2.0,55.8512961462984,-4.07380825280165,50.9074490473836,-1.41359601975752,5.614120880626452
Bargoed,BGD,1.0,51.6923127611933,-3.22968013064506,50.9074490473836,-1.41359601975752,1.97842678587643
Barking,BKG,2.0,51.5394928787692,0.0809024258638578,50.9074490473836,-1.41359601975752,1.6226536934162215
Barlaston,BRT,2.0,nan,nan,50.9074490473836,-1.41359601975752,nan
Barming,BMG,1.0,51.2848926922128,0.478958086821072,50.9074490473836,-1.41359601975752,1.9298250571876827
Barmouth,BRM,1.0,52.7228954666472,-4.05659664341287,50.9074490473836,-1.41359601975752,3.2064463191919494
Barnehurst,BNH,2.0,51.4649571594916,0.159646215915891,50.9074490473836,-1.41359601975752,1.6691034800673368
Barnes,BNS,1.0,51.4670847781107,-0.242164290131055,50.9074490473836,-1.41359601975752,1.2982466823689975
Barnes Bridge,BNI,1.0,51.4720072305495,-0.252630234454485,50.9074490473836,-1.41359601975752,1.2909560398494886
Barnetby,BTB,1.0,53.575120046432,-0.409679706265516,50.9074490473836,-1.41359601975752,2.850318670545321
Barnham,BAA,0.0,50.8309058508596,-0.639679954401345,50.9074490473836,-1.41359601975752,0.7776920580477179
Barnhill,BNL,2.0,55.8774948886876,-4.22300584363342,50.9074490473836,-1.41359601975752,5.70912771123169
Barnsley,BNY,1.0,53.5543015489003,-1.47716484028851,50.9074490473836,-1.41359601975752,2.6476157500152664
Barnstaple,BNP,2.0,51.0739744679973,-4.06311775092404,50.9074490473836,-1.41359601975752,2.654749728248259
Barnt Green,BTG,1.0,52.3610898378667,-1.99246673824797,50.9074490473836,-1.41359601975752,1.5646606202247118
Barrhead,BRR,2.0,55.8037583421428,-4.39728431394783,50.9074490473836,-1.41359601975752,5.733780650394084
Barrhill,BRL,2.0,55.0970106102442,-4.78178229089313,50.9074490473836,-1.41359601975752,5.37560274258295
Barrow Haven,BAV,2.0,53.697419946542,-0.392955239385703,50.9074490473836,-1.41359601975752,2.9707987512971505
Barrow-in-Furness,BIF,1.0,54.1190037011827,-3.22612090695349,50.9074490473836,-1.41359601975752,3.6877269097702188
Barrow-Upon-Soar,BWS,2.0,52.7493358553102,-1.14484305880024,50.9074490473836,-1.41359601975752,1.8613906541178673
Barry,BRY,1.0,51.3967862682376,-3.28498495899336,50.9074490473836,-1.41359601975752,1.9343080100147847
Barry Docks,BYD,1.0,51.4024452836283,-3.26070393235989,50.9074490473836,-1.41359601975752,1.9122836909555827
Barry Island,BYI,1.0,51.3924170726249,-3.27336400852697,50.9074490473836,-1.41359601975752,1.9219601862572526
Barry Links,BYL,2.0,56.4931516826701,-2.74544214683501,50.9074490473836,-1.41359601975752,5.7422894420307555
Barton-on-Humber,BAU,2.0,53.6889177395454,-0.44343673614012,50.9074490473836,-1.41359601975752,2.945806701239121
Basildon,BSO,2.0,51.5681040297501,0.456788850539816,50.9074490473836,-1.41359601975752,1.98363418219259
Basingstoke,BSK,0.0,51.2683569850094,-1.08726383162934,50.9074490473836,-1.41359601975752,0.4865667851896919
Bat & Ball,BBL,2.0,51.2897587469008,0.194227480292899,50.9074490473836,-1.41359601975752,1.6526515403010131
Bath Spa,BTH,0.0,51.3776883852266,-2.3570184714201,50.9074490473836,-1.41359601975752,1.0541209404788683
Bathgate,BHG,1.0,55.8971563834902,-3.63609679157923,50.9074490473836,-1.41359601975752,5.462297042521955
Batley,BTL,1.0,53.7099423400798,-1.6229526318262,50.9074490473836,-1.41359601975752,2.8103022696187065
Battersby,BTT,2.0,54.457680170473,-1.09297186288525,50.9074490473836,-1.41359601975752,3.564679631793389
Battersea Park,BAK,1.0,51.4769582891996,-0.147533519657093,50.9074490473836,-1.41359601975752,1.3882561113405476
Battle,BAT,2.0,50.9129130238687,0.494702777064857,50.9074490473836,-1.41359601975752,1.908306619228881
Battlesbridge,BLB,2.0,51.624822766888,0.56528550890708,50.9074490473836,-1.41359601975752,2.104898372350913
Bayford,BAY,2.0,51.7577148923117,-0.0956100209046352,50.9074490473836,-1.41359601975752,1.5684511787822806
Beaconsfield,BCF,1.0,51.6112905925788,-0.643822282354315,50.9074490473836,-1.41359601975752,1.043045793596072
Bearley,BER,1.0,52.2444115945748,-1.75025547969474,50.9074490473836,-1.41359601975752,1.378698097683898
Bearsden,BRN,1.0,55.9171345827093,-4.3320211452141,50.9074490473836,-1.41359601975752,5.797771500822347
Bearsted,BSD,1.0,51.2758187894535,0.577580355704965,50.9074490473836,-1.41359601975752,2.0249641046380464
Beasdale,BSL,2.0,56.8995610683265,-5.76380325043513,50.9074490473836,-1.41359601975752,7.40470859800493
Beaulieu Road,BEU,0.0,50.8550493435382,-1.50474962699015,50.9074490473836,-1.41359601975752,0.10514137660600838
Beauly,BEL,2.0,57.4782879378611,-4.46986686037102,50.9074490473836,-1.41359601975752,7.246841738012214
Bebington,BEB,2.0,53.3576570664328,-3.00363517233964,50.9074490473836,-1.41359601975752,2.920914898342139
Beccles,BCC,2.0,52.4585181871493,1.5694932615698,50.9074490473836,-1.41359601975752,3.3622369245345367
Beckenham Hill,BEC,2.0,51.4245808668055,-0.0159511139458484,50.9074490473836,-1.41359601975752,1.4902471611782788
Beckenham Junction,BKJ,2.0,51.4111718661491,-0.0260225635677561,50.9074490473836,-1.41359601975752,1.4761764035735916
